===2023-04-27 18:39:12===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[16,33,50,67,84,31,11,23,35,47,48,58,116,35,70,]
label set of clients: [10, 10, 10, 10, 10, 10, 7, 10, 10, 10, 10, 10, 10, 9, 10, ]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart   | Train Loss: 2.3149 | Train Acc: 0.0625
 Site-Clipart   | Train Loss: 2.2079 | Train Acc: 0.2121
 Site-Clipart   | Train Loss: 2.2803 | Train Acc: 0.1600
 Site-Clipart   | Train Loss: 2.2831 | Train Acc: 0.1791
 Site-Clipart   | Train Loss: 2.2799 | Train Acc: 0.1429
 Site-Infograph | Train Loss: 2.2768 | Train Acc: 0.1935
 Site-Painting  | Train Loss: 2.2522 | Train Acc: 0.3636
 Site-Painting  | Train Loss: 2.2931 | Train Acc: 0.1739
 Site-Painting  | Train Loss: 2.2616 | Train Acc: 0.1714
 Site-Painting  | Train Loss: 2.2938 | Train Acc: 0.0638
 Site-QuickDraw | Train Loss: 2.3141 | Train Acc: 0.0833
 Site-Real      | Train Loss: 2.3058 | Train Acc: 0.1724
 Site-Real      | Train Loss: 2.2851 | Train Acc: 0.1724
 Site-Sketch    | Train Loss: 2.2852 | Train Acc: 0.1429
 Site-Sketch    | Train Loss: 2.2959 | Train Acc: 0.1286
 Site-Clipart   | Val  Loss: 2.2831 | Val  Acc: 0.2727
 Site-Clipart   | Val  Loss: 2.2612 | Val  Acc: 0.2727
 Site-Clipart   | Val  Loss: 2.2642 | Val  Acc: 0.1515
 Site-Clipart   | Val  Loss: 2.3012 | Val  Acc: 0.0682
 Site-Clipart   | Val  Loss: 2.2697 | Val  Acc: 0.1250
 Site-Infograph | Val  Loss: 2.2437 | Val  Acc: 0.2500
 Site-Painting  | Val  Loss: 2.2924 | Val  Acc: 0.1429
 Site-Painting  | Val  Loss: 2.2800 | Val  Acc: 0.0000
 Site-Painting  | Val  Loss: 2.3190 | Val  Acc: 0.0435
 Site-Painting  | Val  Loss: 2.2953 | Val  Acc: 0.1613
 Site-QuickDraw | Val  Loss: 2.3314 | Val  Acc: 0.0625
 Site-Real      | Val  Loss: 2.2845 | Val  Acc: 0.1579
 Site-Real      | Val  Loss: 2.2810 | Val  Acc: 0.1429
 Site-Sketch    | Val  Loss: 2.2830 | Val  Acc: 0.2174
 Site-Sketch    | Val  Loss: 2.2990 | Val  Acc: 0.1304
Average Valid Accuracy: 0.1466
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2727
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2727
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1515
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0682
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1250
 Best site-Infograph  | Epoch:0 | Val Acc: 0.2500
 Best site-Painting   | Epoch:0 | Val Acc: 0.1429
 Best site-Painting   | Epoch:0 | Val Acc: 0.0000
 Best site-Painting   | Epoch:0 | Val Acc: 0.0435
 Best site-Painting   | Epoch:0 | Val Acc: 0.1613
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.0625
 Best site-Real       | Epoch:0 | Val Acc: 0.1579
 Best site-Real       | Epoch:0 | Val Acc: 0.1429
 Best site-Sketch     | Epoch:0 | Val Acc: 0.2174
 Best site-Sketch     | Epoch:0 | Val Acc: 0.1304
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-3_1/drfl...
============ Train epoch 1 ============
 Site-Clipart   | Train Loss: 2.3053 | Train Acc: 0.0000
 Site-Clipart   | Train Loss: 2.2865 | Train Acc: 0.3030
 Site-Clipart   | Train Loss: 2.2523 | Train Acc: 0.2400
 Site-Clipart   | Train Loss: 2.2729 | Train Acc: 0.2090
 Site-Clipart   | Train Loss: 2.2576 | Train Acc: 0.2500
 Site-Infograph | Train Loss: 2.2883 | Train Acc: 0.2258
 Site-Painting  | Train Loss: 2.2160 | Train Acc: 0.5455
 Site-Painting  | Train Loss: 2.2825 | Train Acc: 0.1739
 Site-Painting  | Train Loss: 2.3019 | Train Acc: 0.2286
 Site-Painting  | Train Loss: 2.2659 | Train Acc: 0.1489
 Site-QuickDraw | Train Loss: 2.3043 | Train Acc: 0.0625
 Site-Real      | Train Loss: 2.2843 | Train Acc: 0.2931
 Site-Real      | Train Loss: 2.2552 | Train Acc: 0.1897
 Site-Sketch    | Train Loss: 2.2301 | Train Acc: 0.1714
 Site-Sketch    | Train Loss: 2.2857 | Train Acc: 0.1143
 Site-Clipart   | Val  Loss: 2.2715 | Val  Acc: 0.2727
 Site-Clipart   | Val  Loss: 2.2371 | Val  Acc: 0.2727
 Site-Clipart   | Val  Loss: 2.2370 | Val  Acc: 0.2121
 Site-Clipart   | Val  Loss: 2.2768 | Val  Acc: 0.2273
 Site-Clipart   | Val  Loss: 2.2534 | Val  Acc: 0.2143
 Site-Infograph | Val  Loss: 2.2886 | Val  Acc: 0.1500
 Site-Painting  | Val  Loss: 2.2659 | Val  Acc: 0.2857
 Site-Painting  | Val  Loss: 2.2935 | Val  Acc: 0.0667
 Site-Painting  | Val  Loss: 2.2976 | Val  Acc: 0.1304
 Site-Painting  | Val  Loss: 2.2701 | Val  Acc: 0.2581
 Site-QuickDraw | Val  Loss: 2.3239 | Val  Acc: 0.0938
 Site-Real      | Val  Loss: 2.2606 | Val  Acc: 0.1842
