===2023-04-26 22:55:17===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[16,33,50,67,84,31,11,23,35,47,48,58,116,35,70,]
label set of clients: [10, 10, 10, 10, 10, 10, 7, 10, 10, 10, 10, 10, 10, 9, 10, ]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart   | Train Loss: 1.7868 | Train Acc: 0.5000
 Site-Clipart   | Train Loss: 1.5459 | Train Acc: 0.7576
 Site-Clipart   | Train Loss: 1.5882 | Train Acc: 0.6400
 Site-Clipart   | Train Loss: 1.5465 | Train Acc: 0.7910
 Site-Clipart   | Train Loss: 1.5538 | Train Acc: 0.7619
 Site-Infograph | Train Loss: 2.0939 | Train Acc: 0.2258
 Site-Painting  | Train Loss: 1.6227 | Train Acc: 0.8182
 Site-Painting  | Train Loss: 1.6500 | Train Acc: 0.6957
 Site-Painting  | Train Loss: 1.5847 | Train Acc: 0.6286
 Site-Painting  | Train Loss: 1.4808 | Train Acc: 0.8085
 Site-QuickDraw | Train Loss: 2.1717 | Train Acc: 0.1667
 Site-Real      | Train Loss: 1.4681 | Train Acc: 0.9310
 Site-Real      | Train Loss: 1.4183 | Train Acc: 0.9397
 Site-Sketch    | Train Loss: 1.6676 | Train Acc: 0.6857
 Site-Sketch    | Train Loss: 1.6149 | Train Acc: 0.8143
 Site-Clipart   | Val  Loss: 1.6929 | Val  Acc: 0.6364
 Site-Clipart   | Val  Loss: 1.5213 | Val  Acc: 0.8182
 Site-Clipart   | Val  Loss: 1.4497 | Val  Acc: 0.8788
 Site-Clipart   | Val  Loss: 1.5854 | Val  Acc: 0.6591
 Site-Clipart   | Val  Loss: 1.7025 | Val  Acc: 0.6607
 Site-Infograph | Val  Loss: 2.2936 | Val  Acc: 0.2500
 Site-Painting  | Val  Loss: 1.3572 | Val  Acc: 1.0000
 Site-Painting  | Val  Loss: 1.5470 | Val  Acc: 0.8000
 Site-Painting  | Val  Loss: 1.6376 | Val  Acc: 0.7826
 Site-Painting  | Val  Loss: 1.6656 | Val  Acc: 0.8065
 Site-QuickDraw | Val  Loss: 2.1774 | Val  Acc: 0.0312
 Site-Real      | Val  Loss: 1.3234 | Val  Acc: 1.0000
 Site-Real      | Val  Loss: 1.4115 | Val  Acc: 0.9481
 Site-Sketch    | Val  Loss: 1.5051 | Val  Acc: 0.7826
 Site-Sketch    | Val  Loss: 1.5945 | Val  Acc: 0.7826
Average Valid Accuracy: 0.7224
 Best site-Clipart    | Epoch:0 | Val Acc: 0.6364
 Best site-Clipart    | Epoch:0 | Val Acc: 0.8182
 Best site-Clipart    | Epoch:0 | Val Acc: 0.8788
