===2023-04-27 18:13:06===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[16,33,50,67,84,31,11,23,35,47,48,58,116,35,70,]
label set of clients: [10, 10, 10, 10, 10, 10, 7, 10, 10, 10, 10, 10, 10, 9, 10, ]
domain number = 6
============ Train epoch 0 ============
denominator: 34508.3359375
 Site-Clipart   | Train Loss: 2.3172 | Train Acc: 0.0625
 Site-Clipart   | Train Loss: 2.2154 | Train Acc: 0.1818
 Site-Clipart   | Train Loss: 2.2834 | Train Acc: 0.1600
 Site-Clipart   | Train Loss: 2.2872 | Train Acc: 0.1642
 Site-Clipart   | Train Loss: 2.2850 | Train Acc: 0.1310
 Site-Infograph | Train Loss: 2.2778 | Train Acc: 0.1935
 Site-Painting  | Train Loss: 2.2561 | Train Acc: 0.3636
 Site-Painting  | Train Loss: 2.2974 | Train Acc: 0.1739
 Site-Painting  | Train Loss: 2.2643 | Train Acc: 0.1714
 Site-Painting  | Train Loss: 2.2986 | Train Acc: 0.0638
 Site-QuickDraw | Train Loss: 2.3148 | Train Acc: 0.0833
 Site-Real      | Train Loss: 2.3114 | Train Acc: 0.1552
 Site-Real      | Train Loss: 2.2923 | Train Acc: 0.1293
 Site-Sketch    | Train Loss: 2.2907 | Train Acc: 0.1429
 Site-Sketch    | Train Loss: 2.3002 | Train Acc: 0.1286
 Site-Clipart   | Val  Loss: 2.2863 | Val  Acc: 0.2727
 Site-Clipart   | Val  Loss: 2.2651 | Val  Acc: 0.2727
 Site-Clipart   | Val  Loss: 2.2699 | Val  Acc: 0.1515
 Site-Clipart   | Val  Loss: 2.3055 | Val  Acc: 0.0682
 Site-Clipart   | Val  Loss: 2.2732 | Val  Acc: 0.1071
 Site-Infograph | Val  Loss: 2.2437 | Val  Acc: 0.2500
 Site-Painting  | Val  Loss: 2.2979 | Val  Acc: 0.1429
 Site-Painting  | Val  Loss: 2.2840 | Val  Acc: 0.0000
 Site-Painting  | Val  Loss: 2.3218 | Val  Acc: 0.0435
 Site-Painting  | Val  Loss: 2.2986 | Val  Acc: 0.1613
 Site-QuickDraw | Val  Loss: 2.3322 | Val  Acc: 0.0625
 Site-Real      | Val  Loss: 2.2921 | Val  Acc: 0.1579
 Site-Real      | Val  Loss: 2.2882 | Val  Acc: 0.1429
 Site-Sketch    | Val  Loss: 2.2878 | Val  Acc: 0.2174
 Site-Sketch    | Val  Loss: 2.3034 | Val  Acc: 0.1304
Average Valid Accuracy: 0.1454
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2727
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2727
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1515
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0682
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1071
 Best site-Infograph  | Epoch:0 | Val Acc: 0.2500
 Best site-Painting   | Epoch:0 | Val Acc: 0.1429
 Best site-Painting   | Epoch:0 | Val Acc: 0.0000
 Best site-Painting   | Epoch:0 | Val Acc: 0.0435
 Best site-Painting   | Epoch:0 | Val Acc: 0.1613
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.0625
 Best site-Real       | Epoch:0 | Val Acc: 0.1579
 Best site-Real       | Epoch:0 | Val Acc: 0.1429
 Best site-Sketch     | Epoch:0 | Val Acc: 0.2174
 Best site-Sketch     | Epoch:0 | Val Acc: 0.1304
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-3_1/q-ffl...
============ Train epoch 1 ============
denominator: 34383.8359375
 Site-Clipart   | Train Loss: 2.3102 | Train Acc: 0.0000
 Site-Clipart   | Train Loss: 2.2940 | Train Acc: 0.2727
 Site-Clipart   | Train Loss: 2.2592 | Train Acc: 0.2000
 Site-Clipart   | Train Loss: 2.2813 | Train Acc: 0.1940
 Site-Clipart   | Train Loss: 2.2680 | Train Acc: 0.2024
 Site-Infograph | Train Loss: 2.2901 | Train Acc: 0.2258
 Site-Painting  | Train Loss: 2.2233 | Train Acc: 0.5455
 Site-Painting  | Train Loss: 2.2922 | Train Acc: 0.1739
 Site-Painting  | Train Loss: 2.3081 | Train Acc: 0.2000
 Site-Painting  | Train Loss: 2.2752 | Train Acc: 0.1489
 Site-QuickDraw | Train Loss: 2.3054 | Train Acc: 0.0417
 Site-Real      | Train Loss: 2.2961 | Train Acc: 0.2586
 Site-Real      | Train Loss: 2.2690 | Train Acc: 0.1293
 Site-Sketch    | Train Loss: 2.2413 | Train Acc: 0.1714
 Site-Sketch    | Train Loss: 2.2943 | Train Acc: 0.0857
 Site-Clipart   | Val  Loss: 2.2789 | Val  Acc: 0.2727
 Site-Clipart   | Val  Loss: 2.2449 | Val  Acc: 0.2727
 Site-Clipart   | Val  Loss: 2.2482 | Val  Acc: 0.2121
 Site-Clipart   | Val  Loss: 2.2850 | Val  Acc: 0.1818
 Site-Clipart   | Val  Loss: 2.2599 | Val  Acc: 0.1786
 Site-Infograph | Val  Loss: 2.2883 | Val  Acc: 0.1500
 Site-Painting  | Val  Loss: 2.2779 | Val  Acc: 0.2857
 Site-Painting  | Val  Loss: 2.3014 | Val  Acc: 0.0667
 Site-Painting  | Val  Loss: 2.3038 | Val  Acc: 0.0870
 Site-Painting  | Val  Loss: 2.2760 | Val  Acc: 0.1935
 Site-QuickDraw | Val  Loss: 2.3251 | Val  Acc: 0.0938
 Site-Real      | Val  Loss: 2.2754 | Val  Acc: 0.1579
 Site-Real      | Val  Loss: 2.2844 | Val  Acc: 0.1429
 Site-Sketch    | Val  Loss: 2.2608 | Val  Acc: 0.2174
 Site-Sketch    | Val  Loss: 2.2876 | Val  Acc: 0.1522
Average Valid Accuracy: 0.1777
 Best site-Clipart    | Epoch:1 | Val Acc: 0.2727
 Best site-Clipart    | Epoch:1 | Val Acc: 0.2727
 Best site-Clipart    | Epoch:1 | Val Acc: 0.2121
 Best site-Clipart    | Epoch:1 | Val Acc: 0.1818
 Best site-Clipart    | Epoch:1 | Val Acc: 0.1786
 Best site-Infograph  | Epoch:1 | Val Acc: 0.1500
 Best site-Painting   | Epoch:1 | Val Acc: 0.2857
 Best site-Painting   | Epoch:1 | Val Acc: 0.0667
 Best site-Painting   | Epoch:1 | Val Acc: 0.0870
 Best site-Painting   | Epoch:1 | Val Acc: 0.1935
 Best site-QuickDraw  | Epoch:1 | Val Acc: 0.0938
 Best site-Real       | Epoch:1 | Val Acc: 0.1579
 Best site-Real       | Epoch:1 | Val Acc: 0.1429
 Best site-Sketch     | Epoch:1 | Val Acc: 0.2174
 Best site-Sketch     | Epoch:1 | Val Acc: 0.1522
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-3_1/q-ffl...
============ Train epoch 2 ============
denominator: 34172.9453125
 Site-Clipart   | Train Loss: 2.3191 | Train Acc: 0.0000
 Site-Clipart   | Train Loss: 2.2501 | Train Acc: 0.2424
 Site-Clipart   | Train Loss: 2.2543 | Train Acc: 0.2200
 Site-Clipart   | Train Loss: 2.2551 | Train Acc: 0.2239
 Site-Clipart   | Train Loss: 2.2525 | Train Acc: 0.1905
 Site-Infograph | Train Loss: 2.2793 | Train Acc: 0.1935
 Site-Painting  | Train Loss: 2.2342 | Train Acc: 0.4545
 Site-Painting  | Train Loss: 2.2798 | Train Acc: 0.2174
 Site-Painting  | Train Loss: 2.2815 | Train Acc: 0.2000
 Site-Painting  | Train Loss: 2.2653 | Train Acc: 0.2128
 Site-QuickDraw | Train Loss: 2.3090 | Train Acc: 0.0625
 Site-Real      | Train Loss: 2.2627 | Train Acc: 0.2586
 Site-Real      | Train Loss: 2.2562 | Train Acc: 0.2069
 Site-Sketch    | Train Loss: 2.2351 | Train Acc: 0.2286
 Site-Sketch    | Train Loss: 2.2799 | Train Acc: 0.1286
 Site-Clipart   | Val  Loss: 2.2619 | Val  Acc: 0.3636
 Site-Clipart   | Val  Loss: 2.2563 | Val  Acc: 0.1818
 Site-Clipart   | Val  Loss: 2.2433 | Val  Acc: 0.2424
 Site-Clipart   | Val  Loss: 2.2649 | Val  Acc: 0.2273
 Site-Clipart   | Val  Loss: 2.2554 | Val  Acc: 0.2500
 Site-Infograph | Val  Loss: 2.2747 | Val  Acc: 0.2500
 Site-Painting  | Val  Loss: 2.2546 | Val  Acc: 0.2857
 Site-Painting  | Val  Loss: 2.2872 | Val  Acc: 0.1333
 Site-Painting  | Val  Loss: 2.2892 | Val  Acc: 0.0435
 Site-Painting  | Val  Loss: 2.2618 | Val  Acc: 0.1935
 Site-QuickDraw | Val  Loss: 2.3242 | Val  Acc: 0.1250
 Site-Real      | Val  Loss: 2.2525 | Val  Acc: 0.2368
 Site-Real      | Val  Loss: 2.2589 | Val  Acc: 0.2078
 Site-Sketch    | Val  Loss: 2.2304 | Val  Acc: 0.2174
 Site-Sketch    | Val  Loss: 2.2844 | Val  Acc: 0.1304
Average Valid Accuracy: 0.2059
 Best site-Clipart    | Epoch:2 | Val Acc: 0.3636
 Best site-Clipart    | Epoch:2 | Val Acc: 0.1818
 Best site-Clipart    | Epoch:2 | Val Acc: 0.2424
 Best site-Clipart    | Epoch:2 | Val Acc: 0.2273
 Best site-Clipart    | Epoch:2 | Val Acc: 0.2500
 Best site-Infograph  | Epoch:2 | Val Acc: 0.2500
 Best site-Painting   | Epoch:2 | Val Acc: 0.2857
