===2023-04-14 14:15:50===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    tune: False
    lambda for constrastive: 0.5
data_number=[33,67,100,134,41,11,23,35,47,42,51,47,]
domain number = 6
multiply acc by 100 for Ea!
use train acc for Ea
============ Train epoch 0 ============
 Site-Clipart   | Train Loss: 2.1464 | Train Acc: 0.2121
 Site-Clipart   | Train Loss: 2.2146 | Train Acc: 0.1343
 Site-Clipart   | Train Loss: 2.1528 | Train Acc: 0.2400
 Site-Clipart   | Train Loss: 2.2053 | Train Acc: 0.1791
 Site-Infograph | Train Loss: 2.2432 | Train Acc: 0.1951
 Site-Painting  | Train Loss: 2.1828 | Train Acc: 0.2727
 Site-Painting  | Train Loss: 2.3145 | Train Acc: 0.0870
 Site-Painting  | Train Loss: 2.3218 | Train Acc: 0.1429
 Site-Painting  | Train Loss: 2.2747 | Train Acc: 0.1702
 Site-QuickDraw | Train Loss: 2.3906 | Train Acc: 0.0952
 Site-Real      | Train Loss: 2.2961 | Train Acc: 0.1961
 Site-Sketch    | Train Loss: 2.2138 | Train Acc: 0.1702
 Site-Clipart   | Val  Loss: 2.2036 | Val  Acc: 0.1250
 Site-Clipart   | Val  Loss: 2.2422 | Val  Acc: 0.2500
 Site-Clipart   | Val  Loss: 2.2022 | Val  Acc: 0.2800
 Site-Clipart   | Val  Loss: 2.1151 | Val  Acc: 0.1212
 Site-Infograph | Val  Loss: 2.2782 | Val  Acc: 0.3000
 Site-Painting  | Val  Loss: 2.1136 | Val  Acc: 0.0000
 Site-Painting  | Val  Loss: 2.3173 | Val  Acc: 0.4000
 Site-Painting  | Val  Loss: 2.3581 | Val  Acc: 0.1250
 Site-Painting  | Val  Loss: 2.2544 | Val  Acc: 0.0909
 Site-QuickDraw | Val  Loss: 2.3840 | Val  Acc: 0.1000
 Site-Real      | Val  Loss: 2.0926 | Val  Acc: 0.3333
 Site-Sketch    | Val  Loss: 2.2046 | Val  Acc: 0.3636
Average Valid Accuracy: 0.2074
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1250
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2500
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2800
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1212
 Best site-Infograph  | Epoch:0 | Val Acc: 0.3000
 Best site-Painting   | Epoch:0 | Val Acc: 0.0000
 Best site-Painting   | Epoch:0 | Val Acc: 0.4000
 Best site-Painting   | Epoch:0 | Val Acc: 0.1250
 Best site-Painting   | Epoch:0 | Val Acc: 0.0909
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.1000
 Best site-Real       | Epoch:0 | Val Acc: 0.3333
 Best site-Sketch     | Epoch:0 | Val Acc: 0.3636
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-4_1/CoCoOP...
============ Train epoch 1 ============
 Site-Clipart   | Train Loss: 1.9999 | Train Acc: 0.3030
 Site-Clipart   | Train Loss: 2.0814 | Train Acc: 0.2985
 Site-Clipart   | Train Loss: 2.0674 | Train Acc: 0.2900
 Site-Clipart   | Train Loss: 2.1090 | Train Acc: 0.2910
 Site-Infograph | Train Loss: 2.2283 | Train Acc: 0.1951
 Site-Painting  | Train Loss: 2.2589 | Train Acc: 0.2727
 Site-Painting  | Train Loss: 2.2596 | Train Acc: 0.3478
 Site-Painting  | Train Loss: 2.1376 | Train Acc: 0.2857
 Site-Painting  | Train Loss: 2.1928 | Train Acc: 0.2553
 Site-QuickDraw | Train Loss: 2.4071 | Train Acc: 0.0714
 Site-Real      | Train Loss: 2.1652 | Train Acc: 0.3529
 Site-Sketch    | Train Loss: 2.0811 | Train Acc: 0.3191
 Site-Clipart   | Val  Loss: 2.0988 | Val  Acc: 0.5000
 Site-Clipart   | Val  Loss: 2.1316 | Val  Acc: 0.3125
 Site-Clipart   | Val  Loss: 2.0753 | Val  Acc: 0.1600
 Site-Clipart   | Val  Loss: 2.0915 | Val  Acc: 0.2727
 Site-Infograph | Val  Loss: 2.1374 | Val  Acc: 0.2000
 Site-Painting  | Val  Loss: 1.9317 | Val  Acc: 0.5000
 Site-Painting  | Val  Loss: 2.1932 | Val  Acc: 0.4000
 Site-Painting  | Val  Loss: 2.0796 | Val  Acc: 0.3750
 Site-Painting  | Val  Loss: 2.1400 | Val  Acc: 0.1818
 Site-QuickDraw | Val  Loss: 2.3217 | Val  Acc: 0.1000
 Site-Real      | Val  Loss: 2.0570 | Val  Acc: 0.3333
 Site-Sketch    | Val  Loss: 2.1160 | Val  Acc: 0.3636
Average Valid Accuracy: 0.3083
 Best site-Clipart    | Epoch:1 | Val Acc: 0.5000
 Best site-Clipart    | Epoch:1 | Val Acc: 0.3125
 Best site-Clipart    | Epoch:1 | Val Acc: 0.1600
 Best site-Clipart    | Epoch:1 | Val Acc: 0.2727
 Best site-Infograph  | Epoch:1 | Val Acc: 0.2000
 Best site-Painting   | Epoch:1 | Val Acc: 0.5000
 Best site-Painting   | Epoch:1 | Val Acc: 0.4000
 Best site-Painting   | Epoch:1 | Val Acc: 0.3750
 Best site-Painting   | Epoch:1 | Val Acc: 0.1818
 Best site-QuickDraw  | Epoch:1 | Val Acc: 0.1000
 Best site-Real       | Epoch:1 | Val Acc: 0.3333
 Best site-Sketch     | Epoch:1 | Val Acc: 0.3636
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-4_1/CoCoOP...
============ Train epoch 2 ============
 Site-Clipart   | Train Loss: 2.0933 | Train Acc: 0.3030
 Site-Clipart   | Train Loss: 1.9904 | Train Acc: 0.3881
 Site-Clipart   | Train Loss: 1.9640 | Train Acc: 0.4500
 Site-Clipart   | Train Loss: 2.0145 | Train Acc: 0.4104
 Site-Infograph | Train Loss: 2.2505 | Train Acc: 0.1707
 Site-Painting  | Train Loss: 2.1465 | Train Acc: 0.3636
 Site-Painting  | Train Loss: 2.1288 | Train Acc: 0.3913
 Site-Painting  | Train Loss: 2.1887 | Train Acc: 0.3429
 Site-Painting  | Train Loss: 2.1691 | Train Acc: 0.2553
 Site-QuickDraw | Train Loss: 2.3501 | Train Acc: 0.0714
 Site-Real      | Train Loss: 2.0547 | Train Acc: 0.4118
 Site-Sketch    | Train Loss: 1.9861 | Train Acc: 0.4894
 Site-Clipart   | Val  Loss: 1.9697 | Val  Acc: 0.5000
 Site-Clipart   | Val  Loss: 2.0118 | Val  Acc: 0.3750
 Site-Clipart   | Val  Loss: 2.0334 | Val  Acc: 0.3600
 Site-Clipart   | Val  Loss: 1.9950 | Val  Acc: 0.2727
 Site-Infograph | Val  Loss: 2.2672 | Val  Acc: 0.2000
 Site-Painting  | Val  Loss: 1.5811 | Val  Acc: 1.0000
 Site-Painting  | Val  Loss: 2.0930 | Val  Acc: 0.6000
 Site-Painting  | Val  Loss: 2.0487 | Val  Acc: 0.3750
 Site-Painting  | Val  Loss: 2.1471 | Val  Acc: 0.2727
 Site-QuickDraw | Val  Loss: 2.2523 | Val  Acc: 0.1000
 Site-Real      | Val  Loss: 1.9140 | Val  Acc: 0.6667
 Site-Sketch    | Val  Loss: 1.9857 | Val  Acc: 0.6364
Average Valid Accuracy: 0.4465
 Best site-Clipart    | Epoch:2 | Val Acc: 0.5000
 Best site-Clipart    | Epoch:2 | Val Acc: 0.3750
 Best site-Clipart    | Epoch:2 | Val Acc: 0.3600
 Best site-Clipart    | Epoch:2 | Val Acc: 0.2727
 Best site-Infograph  | Epoch:2 | Val Acc: 0.2000
 Best site-Painting   | Epoch:2 | Val Acc: 1.0000
 Best site-Painting   | Epoch:2 | Val Acc: 0.6000
 Best site-Painting   | Epoch:2 | Val Acc: 0.3750
 Best site-Painting   | Epoch:2 | Val Acc: 0.2727
 Best site-QuickDraw  | Epoch:2 | Val Acc: 0.1000
 Best site-Real       | Epoch:2 | Val Acc: 0.6667
 Best site-Sketch     | Epoch:2 | Val Acc: 0.6364
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-4_1/CoCoOP...
============ Train epoch 3 ============
 Site-Clipart   | Train Loss: 1.9933 | Train Acc: 0.3636
 Site-Clipart   | Train Loss: 1.9112 | Train Acc: 0.4328
 Site-Clipart   | Train Loss: 1.8582 | Train Acc: 0.4900
 Site-Clipart   | Train Loss: 1.9355 | Train Acc: 0.4030
 Site-Infograph | Train Loss: 2.1890 | Train Acc: 0.1463
 Site-Painting  | Train Loss: 2.0163 | Train Acc: 0.4545
 Site-Painting  | Train Loss: 2.1268 | Train Acc: 0.3478
 Site-Painting  | Train Loss: 2.1165 | Train Acc: 0.4000
 Site-Painting  | Train Loss: 2.0557 | Train Acc: 0.3617
 Site-QuickDraw | Train Loss: 2.3572 | Train Acc: 0.0952
 Site-Real      | Train Loss: 1.8424 | Train Acc: 0.4706
 Site-Sketch    | Train Loss: 1.8677 | Train Acc: 0.5319
 Site-Clipart   | Val  Loss: 2.0080 | Val  Acc: 0.5000
 Site-Clipart   | Val  Loss: 1.9766 | Val  Acc: 0.4375
 Site-Clipart   | Val  Loss: 1.9473 | Val  Acc: 0.4000
 Site-Clipart   | Val  Loss: 1.9362 | Val  Acc: 0.3939
 Site-Infograph | Val  Loss: 2.2572 | Val  Acc: 0.3000
 Site-Painting  | Val  Loss: 1.4471 | Val  Acc: 1.0000
 Site-Painting  | Val  Loss: 2.0414 | Val  Acc: 0.6000
 Site-Painting  | Val  Loss: 2.0362 | Val  Acc: 0.3750
 Site-Painting  | Val  Loss: 2.0655 | Val  Acc: 0.2727
 Site-QuickDraw | Val  Loss: 2.2351 | Val  Acc: 0.1000
 Site-Real      | Val  Loss: 1.7576 | Val  Acc: 0.5833
 Site-Sketch    | Val  Loss: 1.8943 | Val  Acc: 0.6364
Average Valid Accuracy: 0.4666
 Best site-Clipart    | Epoch:3 | Val Acc: 0.5000
 Best site-Clipart    | Epoch:3 | Val Acc: 0.4375
 Best site-Clipart    | Epoch:3 | Val Acc: 0.4000
 Best site-Clipart    | Epoch:3 | Val Acc: 0.3939
 Best site-Infograph  | Epoch:3 | Val Acc: 0.3000
 Best site-Painting   | Epoch:3 | Val Acc: 1.0000
 Best site-Painting   | Epoch:3 | Val Acc: 0.6000
 Best site-Painting   | Epoch:3 | Val Acc: 0.3750
 Best site-Painting   | Epoch:3 | Val Acc: 0.2727
 Best site-QuickDraw  | Epoch:3 | Val Acc: 0.1000
