===2023-04-21 11:36:09===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[25,50,75,100,31,8,17,26,35,32,38,35,]
label set of clients: [10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 9, ]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart   | Train Loss: 2.2897 | Train Acc: 0.0800
 Site-Clipart   | Train Loss: 2.3081 | Train Acc: 0.1200
 Site-Clipart   | Train Loss: 2.2800 | Train Acc: 0.1200
 Site-Clipart   | Train Loss: 2.2791 | Train Acc: 0.1600
 Site-Infograph | Train Loss: 2.2829 | Train Acc: 0.1290
 Site-Painting  | Train Loss: 2.3245 | Train Acc: 0.2500
 Site-Painting  | Train Loss: 2.3117 | Train Acc: 0.1176
 Site-Painting  | Train Loss: 2.2740 | Train Acc: 0.2692
 Site-Painting  | Train Loss: 2.3213 | Train Acc: 0.0857
 Site-QuickDraw | Train Loss: 2.2770 | Train Acc: 0.1562
 Site-Real      | Train Loss: 2.2655 | Train Acc: 0.1579
 Site-Sketch    | Train Loss: 2.3213 | Train Acc: 0.1429
 Site-Clipart   | Val  Loss: 2.3079 | Val  Acc: 0.0625
 Site-Clipart   | Val  Loss: 2.3018 | Val  Acc: 0.0909
 Site-Clipart   | Val  Loss: 2.2831 | Val  Acc: 0.1200
 Site-Clipart   | Val  Loss: 2.2814 | Val  Acc: 0.1194
 Site-Infograph | Val  Loss: 2.2832 | Val  Acc: 0.1500
 Site-Painting  | Val  Loss: 2.2784 | Val  Acc: 0.2000
 Site-Painting  | Val  Loss: 2.2728 | Val  Acc: 0.1818
 Site-Painting  | Val  Loss: 2.1905 | Val  Acc: 0.1176
 Site-Painting  | Val  Loss: 2.2751 | Val  Acc: 0.1304
 Site-QuickDraw | Val  Loss: 2.3518 | Val  Acc: 0.0952
 Site-Real      | Val  Loss: 2.2804 | Val  Acc: 0.2400
 Site-Sketch    | Val  Loss: 2.2644 | Val  Acc: 0.1739
Average Valid Accuracy: 0.1402
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0625
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0909
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1200
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1194
 Best site-Infograph  | Epoch:0 | Val Acc: 0.1500
 Best site-Painting   | Epoch:0 | Val Acc: 0.2000
 Best site-Painting   | Epoch:0 | Val Acc: 0.1818
 Best site-Painting   | Epoch:0 | Val Acc: 0.1176
 Best site-Painting   | Epoch:0 | Val Acc: 0.1304
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.0952
 Best site-Real       | Epoch:0 | Val Acc: 0.2400
 Best site-Sketch     | Epoch:0 | Val Acc: 0.1739
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-4_1/fedavg...
============ Train epoch 1 ============
 Site-Clipart   | Train Loss: 2.2655 | Train Acc: 0.1600
 Site-Clipart   | Train Loss: 2.3015 | Train Acc: 0.1600
 Site-Clipart   | Train Loss: 2.2658 | Train Acc: 0.1200
 Site-Clipart   | Train Loss: 2.2787 | Train Acc: 0.2100
 Site-Infograph | Train Loss: 2.2814 | Train Acc: 0.0968
 Site-Painting  | Train Loss: 2.2943 | Train Acc: 0.1250
 Site-Painting  | Train Loss: 2.3984 | Train Acc: 0.0588
