===2023-04-23 01:48:10===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[25,50,75,100,31,8,17,26,35,32,38,35,]
label set of clients: [10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 9, ]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart   | Train Loss: 1.6533 | Train Acc: 0.6800
 Site-Clipart   | Train Loss: 1.7778 | Train Acc: 0.6600
 Site-Clipart   | Train Loss: 1.5518 | Train Acc: 0.8800
 Site-Clipart   | Train Loss: 1.5690 | Train Acc: 0.7800
 Site-Infograph | Train Loss: 2.1301 | Train Acc: 0.3871
 Site-Painting  | Train Loss: 1.8447 | Train Acc: 0.7500
 Site-Painting  | Train Loss: 1.8576 | Train Acc: 0.6471
 Site-Painting  | Train Loss: 1.7273 | Train Acc: 0.6923
 Site-Painting  | Train Loss: 1.6794 | Train Acc: 0.7429
 Site-QuickDraw | Train Loss: 2.1684 | Train Acc: 0.1562
 Site-Real      | Train Loss: 1.6426 | Train Acc: 0.9474
 Site-Sketch    | Train Loss: 1.5939 | Train Acc: 0.7143
 Site-Clipart   | Val  Loss: 1.5864 | Val  Acc: 0.7500
 Site-Clipart   | Val  Loss: 1.6257 | Val  Acc: 0.7879
 Site-Clipart   | Val  Loss: 1.4508 | Val  Acc: 0.7600
 Site-Clipart   | Val  Loss: 1.5493 | Val  Acc: 0.8507
 Site-Infograph | Val  Loss: 2.2113 | Val  Acc: 0.3000
 Site-Painting  | Val  Loss: 1.7277 | Val  Acc: 0.8000
 Site-Painting  | Val  Loss: 1.7855 | Val  Acc: 0.5455
 Site-Painting  | Val  Loss: 1.7112 | Val  Acc: 0.8235
 Site-Painting  | Val  Loss: 1.6530 | Val  Acc: 0.7826
 Site-QuickDraw | Val  Loss: 2.1848 | Val  Acc: 0.1905
 Site-Real      | Val  Loss: 1.7092 | Val  Acc: 0.8400
 Site-Sketch    | Val  Loss: 1.6635 | Val  Acc: 0.7391
Average Valid Accuracy: 0.6808
 Best site-Clipart    | Epoch:0 | Val Acc: 0.7500
 Best site-Clipart    | Epoch:0 | Val Acc: 0.7879
 Best site-Clipart    | Epoch:0 | Val Acc: 0.7600
 Best site-Clipart    | Epoch:0 | Val Acc: 0.8507
 Best site-Infograph  | Epoch:0 | Val Acc: 0.3000
 Best site-Painting   | Epoch:0 | Val Acc: 0.8000
 Best site-Painting   | Epoch:0 | Val Acc: 0.5455
 Best site-Painting   | Epoch:0 | Val Acc: 0.8235
 Best site-Painting   | Epoch:0 | Val Acc: 0.7826
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.1905
 Best site-Real       | Epoch:0 | Val Acc: 0.8400
 Best site-Sketch     | Epoch:0 | Val Acc: 0.7391
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-4_1/harmo-fl...
============ Train epoch 1 ============
 Site-Clipart   | Train Loss: 1.1792 | Train Acc: 0.8800
 Site-Clipart   | Train Loss: 1.3373 | Train Acc: 0.7200
 Site-Clipart   | Train Loss: 1.1185 | Train Acc: 0.8933
 Site-Clipart   | Train Loss: 1.0697 | Train Acc: 0.8800
 Site-Infograph | Train Loss: 2.0746 | Train Acc: 0.3226
 Site-Painting  | Train Loss: 1.3314 | Train Acc: 0.8750
 Site-Painting  | Train Loss: 1.7844 | Train Acc: 0.6471
 Site-Painting  | Train Loss: 1.3072 | Train Acc: 0.8077
 Site-Painting  | Train Loss: 1.3681 | Train Acc: 0.8000
 Site-QuickDraw | Train Loss: 2.0720 | Train Acc: 0.2188
 Site-Real      | Train Loss: 1.1604 | Train Acc: 0.9474
 Site-Sketch    | Train Loss: 1.2083 | Train Acc: 0.8000
 Site-Clipart   | Val  Loss: 1.0987 | Val  Acc: 0.9375
 Site-Clipart   | Val  Loss: 1.1444 | Val  Acc: 0.9394
 Site-Clipart   | Val  Loss: 0.9617 | Val  Acc: 0.9000
 Site-Clipart   | Val  Loss: 1.0994 | Val  Acc: 0.8955
 Site-Infograph | Val  Loss: 2.0916 | Val  Acc: 0.4500
 Site-Painting  | Val  Loss: 1.5119 | Val  Acc: 0.6000
 Site-Painting  | Val  Loss: 1.4673 | Val  Acc: 0.8182
 Site-Painting  | Val  Loss: 1.4298 | Val  Acc: 0.7647
 Site-Painting  | Val  Loss: 1.2313 | Val  Acc: 0.8696
 Site-QuickDraw | Val  Loss: 2.0109 | Val  Acc: 0.3810
 Site-Real      | Val  Loss: 1.1930 | Val  Acc: 0.9200
