===2023-04-16 21:40:57===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    tune: False
    lambda for constrastive: 0.5
data_number=[25,50,75,100,31,8,17,26,35,32,38,35,]
label set of clients: [10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 9, ]
domain number = 6
============ Train epoch 0 ============
denominator: 64710.5
 Site-Clipart   | Train Loss: 2.2402 | Train Acc: 0.1200
 Site-Clipart   | Train Loss: 2.1689 | Train Acc: 0.1600
 Site-Clipart   | Train Loss: 2.2728 | Train Acc: 0.1333
 Site-Clipart   | Train Loss: 2.2436 | Train Acc: 0.1800
 Site-Infograph | Train Loss: 2.3376 | Train Acc: 0.1290
 Site-Painting  | Train Loss: 2.2959 | Train Acc: 0.1250
 Site-Painting  | Train Loss: 2.4121 | Train Acc: 0.1765
 Site-Painting  | Train Loss: 2.2077 | Train Acc: 0.2692
 Site-Painting  | Train Loss: 2.3579 | Train Acc: 0.0286
 Site-QuickDraw | Train Loss: 2.2723 | Train Acc: 0.1250
 Site-Real      | Train Loss: 2.3663 | Train Acc: 0.1053
 Site-Sketch    | Train Loss: 2.2518 | Train Acc: 0.1143
 Site-Clipart   | Val  Loss: 2.4661 | Val  Acc: 0.0625
 Site-Clipart   | Val  Loss: 2.2826 | Val  Acc: 0.0909
 Site-Clipart   | Val  Loss: 2.2848 | Val  Acc: 0.1000
 Site-Clipart   | Val  Loss: 2.3134 | Val  Acc: 0.1493
 Site-Infograph | Val  Loss: 2.4550 | Val  Acc: 0.1000
 Site-Painting  | Val  Loss: 2.4190 | Val  Acc: 0.0000
 Site-Painting  | Val  Loss: 2.2467 | Val  Acc: 0.2727
 Site-Painting  | Val  Loss: 2.4098 | Val  Acc: 0.2353
 Site-Painting  | Val  Loss: 2.2291 | Val  Acc: 0.3478
 Site-QuickDraw | Val  Loss: 2.4100 | Val  Acc: 0.0000
 Site-Real      | Val  Loss: 2.3966 | Val  Acc: 0.0400
