===2023-04-21 00:01:04===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[25,50,75,100,31,8,17,26,35,32,38,35,]
label set of clients: [10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 9, ]
domain number = 6
============ Train epoch 0 ============
===2023-04-21 00:01:20===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 1
    iters: 10
    wk_iters: 5
    si: False
    lambda for constrastive: 0.5
data_number=[25,50,75,100,31,8,17,26,35,32,38,35,]
label set of clients: [10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 9, ]
domain number = 6
Loading snapshots...
===2023-04-21 11:15:54===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[25,50,75,100,31,8,17,26,35,32,38,35,]
label set of clients: [10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 9, ]
domain number = 6
============ Train epoch 0 ============
denominator: 27634.6015625
 Site-Clipart   | Train Loss: 2.2948 | Train Acc: 0.0800
 Site-Clipart   | Train Loss: 2.3119 | Train Acc: 0.0800
 Site-Clipart   | Train Loss: 2.2858 | Train Acc: 0.1200
 Site-Clipart   | Train Loss: 2.2851 | Train Acc: 0.1300
 Site-Infograph | Train Loss: 2.2838 | Train Acc: 0.1290
 Site-Painting  | Train Loss: 2.3245 | Train Acc: 0.2500
 Site-Painting  | Train Loss: 2.3130 | Train Acc: 0.1176
 Site-Painting  | Train Loss: 2.2761 | Train Acc: 0.2308
 Site-Painting  | Train Loss: 2.3241 | Train Acc: 0.0857
 Site-QuickDraw | Train Loss: 2.2778 | Train Acc: 0.1562
 Site-Real      | Train Loss: 2.2687 | Train Acc: 0.1579
 Site-Sketch    | Train Loss: 2.3262 | Train Acc: 0.1143
 Site-Clipart   | Val  Loss: 2.3162 | Val  Acc: 0.0625
 Site-Clipart   | Val  Loss: 2.3084 | Val  Acc: 0.0606
 Site-Clipart   | Val  Loss: 2.2898 | Val  Acc: 0.0800
 Site-Clipart   | Val  Loss: 2.2871 | Val  Acc: 0.1194
 Site-Infograph | Val  Loss: 2.2831 | Val  Acc: 0.1500
 Site-Painting  | Val  Loss: 2.2814 | Val  Acc: 0.2000
 Site-Painting  | Val  Loss: 2.2753 | Val  Acc: 0.1818
 Site-Painting  | Val  Loss: 2.1901 | Val  Acc: 0.1176
 Site-Painting  | Val  Loss: 2.2771 | Val  Acc: 0.1304
 Site-QuickDraw | Val  Loss: 2.3540 | Val  Acc: 0.0952
 Site-Real      | Val  Loss: 2.2833 | Val  Acc: 0.2400
 Site-Sketch    | Val  Loss: 2.2684 | Val  Acc: 0.1739
Average Valid Accuracy: 0.1343
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0625
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0606
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0800
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1194
 Best site-Infograph  | Epoch:0 | Val Acc: 0.1500
 Best site-Painting   | Epoch:0 | Val Acc: 0.2000
 Best site-Painting   | Epoch:0 | Val Acc: 0.1818
 Best site-Painting   | Epoch:0 | Val Acc: 0.1176
 Best site-Painting   | Epoch:0 | Val Acc: 0.1304
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.0952
 Best site-Real       | Epoch:0 | Val Acc: 0.2400
 Best site-Sketch     | Epoch:0 | Val Acc: 0.1739
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-4_1/q-ffl...
============ Train epoch 1 ============
