===2023-07-27 23:56:35===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[115,161,225,316,442,126,177,248,348,147,206,289,191,267,327,234,
client_nums=[5,4,3,2,1,1,]
len_dataset=[2103,1502,1072,765,546,390,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 1.4290 | Train Acc: 0.7826
 Site-Clipart                       | Train Loss: 1.3493 | Train Acc: 0.8447
 Site-Clipart                       | Train Loss: 1.5066 | Train Acc: 0.7556
 Site-Clipart                       | Train Loss: 1.4262 | Train Acc: 0.7753
 Site-Clipart                       | Train Loss: 1.4375 | Train Acc: 0.8032
 Site-Real                          | Train Loss: 1.2799 | Train Acc: 0.8651
 Site-Real                          | Train Loss: 1.1481 | Train Acc: 0.9435
 Site-Real                          | Train Loss: 1.1642 | Train Acc: 0.9435
 Site-Real                          | Train Loss: 1.2514 | Train Acc: 0.9080
 Site-Painting                      | Train Loss: 1.3449 | Train Acc: 0.8231
 Site-Painting                      | Train Loss: 1.3637 | Train Acc: 0.8252
 Site-Painting                      | Train Loss: 1.3645 | Train Acc: 0.8270
 Site-Sketch                        | Train Loss: 1.4269 | Train Acc: 0.7016
 Site-Sketch                        | Train Loss: 1.3766 | Train Acc: 0.7640
 Site-QuickDraw                     | Train Loss: 2.0825 | Train Acc: 0.3486
 Site-Infograph                     | Train Loss: 2.0040 | Train Acc: 0.4231
Average Train Accuracy: 0.7709
 Site-Clipart                       | Val  Loss: 1.2580 | Val  Acc: 0.8289
 Site-Clipart                       | Val  Loss: 1.4045 | Val  Acc: 0.7850
 Site-Clipart                       | Val  Loss: 1.4602 | Val  Acc: 0.8067
 Site-Clipart                       | Val  Loss: 1.3834 | Val  Acc: 0.7952
 Site-Clipart                       | Val  Loss: 1.4837 | Val  Acc: 0.7627
 Site-Real                          | Val  Loss: 1.2282 | Val  Acc: 0.8810
 Site-Real                          | Val  Loss: 1.2225 | Val  Acc: 0.9322
 Site-Real                          | Val  Loss: 1.1668 | Val  Acc: 0.9394
 Site-Real                          | Val  Loss: 1.1543 | Val  Acc: 0.9481
 Site-Painting                      | Val  Loss: 1.2822 | Val  Acc: 0.8673
 Site-Painting                      | Val  Loss: 1.3240 | Val  Acc: 0.8102
 Site-Painting                      | Val  Loss: 1.3591 | Val  Acc: 0.8177
 Site-Sketch                        | Val  Loss: 1.4063 | Val  Acc: 0.7480
 Site-Sketch                        | Val  Loss: 1.4541 | Val  Acc: 0.7472
 Site-QuickDraw                     | Val  Loss: 2.1043 | Val  Acc: 0.3349
 Site-Infograph                     | Val  Loss: 1.9272 | Val  Acc: 0.4551
Average Valid Accuracy: 0.7787
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.8289
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.7850
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.8067
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.7952
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.7627
 Best site-Real                      | Epoch:0 | Val Acc: 0.8810
 Best site-Real                      | Epoch:0 | Val Acc: 0.9322
 Best site-Real                      | Epoch:0 | Val Acc: 0.9394
 Best site-Real                      | Epoch:0 | Val Acc: 0.9481
 Best site-Painting                  | Epoch:0 | Val Acc: 0.8673
 Best site-Painting                  | Epoch:0 | Val Acc: 0.8102
 Best site-Painting                  | Epoch:0 | Val Acc: 0.8177
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.7480
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.7472
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.3349
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.4551
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.4_0/harmo-fl...
============ Train epoch 1 ============
 Site-Clipart                       | Train Loss: 1.0094 | Train Acc: 0.7913
 Site-Clipart                       | Train Loss: 0.8796 | Train Acc: 0.8447
 Site-Clipart                       | Train Loss: 0.9825 | Train Acc: 0.8267
 Site-Clipart                       | Train Loss: 0.9338 | Train Acc: 0.8196
 Site-Clipart                       | Train Loss: 0.9731 | Train Acc: 0.8484
 Site-Real                          | Train Loss: 0.7339 | Train Acc: 0.9048
 Site-Real                          | Train Loss: 0.5841 | Train Acc: 0.9435
 Site-Real                          | Train Loss: 0.6051 | Train Acc: 0.9556
 Site-Real                          | Train Loss: 0.6844 | Train Acc: 0.9224
 Site-Painting                      | Train Loss: 0.8402 | Train Acc: 0.8299
 Site-Painting                      | Train Loss: 0.8755 | Train Acc: 0.8252
 Site-Painting                      | Train Loss: 0.8656 | Train Acc: 0.8685
 Site-Sketch                        | Train Loss: 0.9968 | Train Acc: 0.7644
 Site-Sketch                        | Train Loss: 0.9307 | Train Acc: 0.7640
 Site-QuickDraw                     | Train Loss: 1.9130 | Train Acc: 0.3670
 Site-Infograph                     | Train Loss: 1.7753 | Train Acc: 0.4274
Average Train Accuracy: 0.7940
 Site-Clipart                       | Val  Loss: 0.7902 | Val  Acc: 0.9079
 Site-Clipart                       | Val  Loss: 0.9817 | Val  Acc: 0.8411
 Site-Clipart                       | Val  Loss: 0.9897 | Val  Acc: 0.8400
 Site-Clipart                       | Val  Loss: 0.9221 | Val  Acc: 0.8333
 Site-Clipart                       | Val  Loss: 0.9949 | Val  Acc: 0.8237
 Site-Real                          | Val  Loss: 0.7188 | Val  Acc: 0.9167
 Site-Real                          | Val  Loss: 0.6754 | Val  Acc: 0.9576
 Site-Real                          | Val  Loss: 0.5988 | Val  Acc: 0.9576
