===2023-05-12 03:33:22===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[115,161,225,316,442,126,177,248,348,147,206,289,191,267,327,234,
client_nums=[5,4,3,2,1,1,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart   | Train Loss: 1.4871 | Train Acc: 0.7391
 Site-Clipart   | Train Loss: 1.3982 | Train Acc: 0.8261
 Site-Clipart   | Train Loss: 1.4886 | Train Acc: 0.8000
 Site-Clipart   | Train Loss: 1.4081 | Train Acc: 0.8228
 Site-Clipart   | Train Loss: 1.4361 | Train Acc: 0.8077
 Site-Real      | Train Loss: 1.2451 | Train Acc: 0.8968
 Site-Real      | Train Loss: 1.1294 | Train Acc: 0.9435
 Site-Real      | Train Loss: 1.1325 | Train Acc: 0.9476
 Site-Real      | Train Loss: 1.2221 | Train Acc: 0.8994
 Site-Painting  | Train Loss: 1.3424 | Train Acc: 0.8027
 Site-Painting  | Train Loss: 1.3305 | Train Acc: 0.8301
 Site-Painting  | Train Loss: 1.3522 | Train Acc: 0.8304
 Site-Sketch    | Train Loss: 1.4429 | Train Acc: 0.7016
 Site-Sketch    | Train Loss: 1.4752 | Train Acc: 0.7528
 Site-QuickDraw | Train Loss: 2.0978 | Train Acc: 0.3670
 Site-Infograph | Train Loss: 1.9609 | Train Acc: 0.4188
 Site-Clipart   | Val  Loss: 1.3043 | Val  Acc: 0.8421
 Site-Clipart   | Val  Loss: 1.4110 | Val  Acc: 0.8318
 Site-Clipart   | Val  Loss: 1.4418 | Val  Acc: 0.8200
 Site-Clipart   | Val  Loss: 1.3979 | Val  Acc: 0.7857
 Site-Clipart   | Val  Loss: 1.4661 | Val  Acc: 0.7831
 Site-Real      | Val  Loss: 1.1997 | Val  Acc: 0.9167
 Site-Real      | Val  Loss: 1.1837 | Val  Acc: 0.9237
 Site-Real      | Val  Loss: 1.1422 | Val  Acc: 0.9455
 Site-Real      | Val  Loss: 1.1374 | Val  Acc: 0.9481
 Site-Painting  | Val  Loss: 1.2835 | Val  Acc: 0.8571
 Site-Painting  | Val  Loss: 1.3160 | Val  Acc: 0.8175
 Site-Painting  | Val  Loss: 1.3499 | Val  Acc: 0.8125
 Site-Sketch    | Val  Loss: 1.3867 | Val  Acc: 0.8268
 Site-Sketch    | Val  Loss: 1.4623 | Val  Acc: 0.6966
 Site-QuickDraw | Val  Loss: 2.1109 | Val  Acc: 0.3578
 Site-Infograph | Val  Loss: 1.9259 | Val  Acc: 0.4551
