===2023-06-05 02:16:09===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[115,161,225,316,442,126,177,248,348,147,206,289,191,267,327,234,
client_nums=[5,4,3,2,1,1,]
len_dataset=[2103,1502,1072,765,546,390,]
label set of clients: [10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, ]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                  | Train Loss: 2.2542 | Train Acc: 0.1652
 Site-Clipart                  | Train Loss: 2.3073 | Train Acc: 0.1304
 Site-Clipart                  | Train Loss: 2.2776 | Train Acc: 0.1289
 Site-Clipart                  | Train Loss: 2.2775 | Train Acc: 0.1234
 Site-Clipart                  | Train Loss: 2.2743 | Train Acc: 0.1357
 Site-Real                     | Train Loss: 2.2484 | Train Acc: 0.2540
 Site-Real                     | Train Loss: 2.2684 | Train Acc: 0.1977
 Site-Real                     | Train Loss: 2.2431 | Train Acc: 0.2540
 Site-Real                     | Train Loss: 2.2547 | Train Acc: 0.2270
 Site-Painting                 | Train Loss: 2.2780 | Train Acc: 0.2041
 Site-Painting                 | Train Loss: 2.2881 | Train Acc: 0.1262
 Site-Painting                 | Train Loss: 2.2614 | Train Acc: 0.1799
 Site-Sketch                   | Train Loss: 2.2750 | Train Acc: 0.1885
 Site-Sketch                   | Train Loss: 2.2754 | Train Acc: 0.1685
 Site-QuickDraw                | Train Loss: 2.3042 | Train Acc: 0.1162
 Site-Infograph                | Train Loss: 2.2977 | Train Acc: 0.1197
 Site-Clipart                       | Val  Loss: 2.2593 | Val  Acc: 0.1447
 Site-Clipart                       | Val  Loss: 2.2967 | Val  Acc: 0.1495
 Site-Clipart                       | Val  Loss: 2.2743 | Val  Acc: 0.1200
 Site-Clipart                       | Val  Loss: 2.2750 | Val  Acc: 0.1190
 Site-Clipart                       | Val  Loss: 2.2852 | Val  Acc: 0.1356
 Site-Real                          | Val  Loss: 2.2653 | Val  Acc: 0.1667
 Site-Real                          | Val  Loss: 2.2624 | Val  Acc: 0.1525
 Site-Real                          | Val  Loss: 2.2521 | Val  Acc: 0.2424
 Site-Real                          | Val  Loss: 2.2405 | Val  Acc: 0.2468
 Site-Painting                      | Val  Loss: 2.2809 | Val  Acc: 0.1224
 Site-Painting                      | Val  Loss: 2.2821 | Val  Acc: 0.1752
 Site-Painting                      | Val  Loss: 2.2839 | Val  Acc: 0.1406
 Site-Sketch                        | Val  Loss: 2.2759 | Val  Acc: 0.1654
 Site-Sketch                        | Val  Loss: 2.2767 | Val  Acc: 0.1966
 Site-QuickDraw                     | Val  Loss: 2.3157 | Val  Acc: 0.0872
 Site-Infograph                     | Val  Loss: 2.3188 | Val  Acc: 0.0833
Average Valid Accuracy: 0.1530
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1447
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1495
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1200
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1190
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1356
 Best site-Real                      | Epoch:0 | Val Acc: 0.1667
 Best site-Real                      | Epoch:0 | Val Acc: 0.1525
 Best site-Real                      | Epoch:0 | Val Acc: 0.2424
