===2023-07-01 10:28:12===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[115,161,225,316,442,126,177,248,348,147,206,289,191,267,327,234,
client_nums=[5,4,3,2,1,1,]
len_dataset=[2103,1502,1072,765,546,390,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.2774 | Train Acc: 0.1304
 Site-Clipart                       | Train Loss: 2.2878 | Train Acc: 0.1366
 Site-Clipart                       | Train Loss: 2.2874 | Train Acc: 0.0889
 Site-Clipart                       | Train Loss: 2.2858 | Train Acc: 0.1139
 Site-Clipart                       | Train Loss: 2.2844 | Train Acc: 0.1222
 Site-Real                          | Train Loss: 2.2810 | Train Acc: 0.1746
 Site-Real                          | Train Loss: 2.2979 | Train Acc: 0.1073
 Site-Real                          | Train Loss: 2.2790 | Train Acc: 0.1492
 Site-Real                          | Train Loss: 2.2778 | Train Acc: 0.1236
 Site-Painting                      | Train Loss: 2.2697 | Train Acc: 0.1769
 Site-Painting                      | Train Loss: 2.2741 | Train Acc: 0.1311
 Site-Painting                      | Train Loss: 2.2791 | Train Acc: 0.1592
 Site-Sketch                        | Train Loss: 2.2942 | Train Acc: 0.1047
 Site-Sketch                        | Train Loss: 2.2955 | Train Acc: 0.1199
 Site-QuickDraw                     | Train Loss: 2.3060 | Train Acc: 0.1254
 Site-Infograph                     | Train Loss: 2.2949 | Train Acc: 0.0983
Average Train Accuracy: 0.1289
 Site-Clipart                       | Val  Loss: 2.2984 | Val  Acc: 0.1579
 Site-Clipart                       | Val  Loss: 2.2808 | Val  Acc: 0.1028
 Site-Clipart                       | Val  Loss: 2.2812 | Val  Acc: 0.1400
 Site-Clipart                       | Val  Loss: 2.2834 | Val  Acc: 0.1238
 Site-Clipart                       | Val  Loss: 2.2907 | Val  Acc: 0.0949
 Site-Real                          | Val  Loss: 2.2811 | Val  Acc: 0.1071
 Site-Real                          | Val  Loss: 2.2796 | Val  Acc: 0.1186
 Site-Real                          | Val  Loss: 2.2818 | Val  Acc: 0.1333
 Site-Real                          | Val  Loss: 2.2757 | Val  Acc: 0.1602
 Site-Painting                      | Val  Loss: 2.3029 | Val  Acc: 0.1122
 Site-Painting                      | Val  Loss: 2.2998 | Val  Acc: 0.1314
