===2023-06-09 20:20:34===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[115,161,225,316,442,126,177,248,348,147,206,289,191,267,327,234,
client_nums=[5,4,3,2,1,1,]
len_dataset=[2103,1502,1072,765,546,390,]
domain number = 6
multiply 100 for Ea!
use train loss for Ea
============ Train epoch 0 ============
cnt=[4, 5, 1, 1, 2, 3, ]
power_decay: 0.9, powerI: 0.9500, powerC: 0.0500
 Site-Clipart                  | Train Loss: 2.1472 | Train Acc: 0.2348
 Site-Clipart                  | Train Loss: 2.1072 | Train Acc: 0.2857
 Site-Clipart                  | Train Loss: 2.1726 | Train Acc: 0.2133
 Site-Clipart                  | Train Loss: 2.1178 | Train Acc: 0.2500
 Site-Clipart                  | Train Loss: 2.1511 | Train Acc: 0.2421
 Site-Real                     | Train Loss: 2.1434 | Train Acc: 0.2063
 Site-Real                     | Train Loss: 2.1487 | Train Acc: 0.3107
 Site-Real                     | Train Loss: 2.1278 | Train Acc: 0.2379
 Site-Real                     | Train Loss: 2.1726 | Train Acc: 0.1954
 Site-Painting                 | Train Loss: 2.1546 | Train Acc: 0.2517
 Site-Painting                 | Train Loss: 2.2100 | Train Acc: 0.2961
 Site-Painting                 | Train Loss: 2.1474 | Train Acc: 0.2457
 Site-Sketch                   | Train Loss: 2.1001 | Train Acc: 0.2984
 Site-Sketch                   | Train Loss: 2.1286 | Train Acc: 0.2846
 Site-QuickDraw                | Train Loss: 2.2235 | Train Acc: 0.1651
 Site-Infograph                | Train Loss: 2.2591 | Train Acc: 0.1709
 Site-Clipart                   (1) | Val  Loss: 2.1961 | Val  Acc: 0.1974
 Site-Clipart                   (1) | Val  Loss: 2.1430 | Val  Acc: 0.2430
 Site-Clipart                   (1) | Val  Loss: 2.1280 | Val  Acc: 0.2533
 Site-Clipart                   (1) | Val  Loss: 2.1156 | Val  Acc: 0.2381
 Site-Clipart                   (1) | Val  Loss: 2.1535 | Val  Acc: 0.2237
 Site-Real                      (0) | Val  Loss: 2.1279 | Val  Acc: 0.2381
 Site-Real                      (0) | Val  Loss: 2.1519 | Val  Acc: 0.2034
 Site-Real                      (0) | Val  Loss: 2.1180 | Val  Acc: 0.2424
 Site-Real                      (0) | Val  Loss: 2.1373 | Val  Acc: 0.2554
 Site-Painting                  (5) | Val  Loss: 2.1100 | Val  Acc: 0.2857
 Site-Painting                  (5) | Val  Loss: 2.0773 | Val  Acc: 0.3212
 Site-Painting                  (5) | Val  Loss: 2.1483 | Val  Acc: 0.2812
 Site-Sketch                    (4) | Val  Loss: 2.0928 | Val  Acc: 0.3228
 Site-Sketch                    (4) | Val  Loss: 2.1263 | Val  Acc: 0.2303
 Site-QuickDraw                 (2) | Val  Loss: 2.2590 | Val  Acc: 0.1881
 Site-Infograph                 (3) | Val  Loss: 2.2608 | Val  Acc: 0.1474
Average Valid Accuracy: 0.2420
 Best site-Clipart                  (1)  | Epoch:0 | Val Acc: 0.1974
 Best site-Clipart                  (1)  | Epoch:0 | Val Acc: 0.2430
