===2023-07-28 09:51:45===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[115,161,225,316,442,126,177,248,348,147,206,289,191,267,327,234,
client_nums=[5,4,3,2,1,1,]
len_dataset=[2103,1502,1072,765,546,390,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.2012 | Train Acc: 0.4000
 Site-Clipart                       | Train Loss: 2.1813 | Train Acc: 0.4161
 Site-Clipart                       | Train Loss: 2.1989 | Train Acc: 0.3333
 Site-Clipart                       | Train Loss: 2.1875 | Train Acc: 0.3703
 Site-Clipart                       | Train Loss: 2.1914 | Train Acc: 0.3824
 Site-Real                          | Train Loss: 2.1911 | Train Acc: 0.4365
 Site-Real                          | Train Loss: 2.1903 | Train Acc: 0.4972
 Site-Real                          | Train Loss: 2.1795 | Train Acc: 0.5323
 Site-Real                          | Train Loss: 2.1991 | Train Acc: 0.4511
 Site-Painting                      | Train Loss: 2.2164 | Train Acc: 0.3878
 Site-Painting                      | Train Loss: 2.2059 | Train Acc: 0.4029
 Site-Painting                      | Train Loss: 2.2163 | Train Acc: 0.3633
 Site-Sketch                        | Train Loss: 2.2063 | Train Acc: 0.4084
 Site-Sketch                        | Train Loss: 2.1924 | Train Acc: 0.4232
 Site-QuickDraw                     | Train Loss: 2.2938 | Train Acc: 0.1651
 Site-Infograph                     | Train Loss: 2.2691 | Train Acc: 0.2094
Average Train Accuracy: 0.3862
 Site-Clipart                       | Val  Loss: 2.1951 | Val  Acc: 0.3289
 Site-Clipart                       | Val  Loss: 2.1827 | Val  Acc: 0.4206
 Site-Clipart                       | Val  Loss: 2.2012 | Val  Acc: 0.3667
 Site-Clipart                       | Val  Loss: 2.1835 | Val  Acc: 0.3905
 Site-Clipart                       | Val  Loss: 2.1939 | Val  Acc: 0.3729
 Site-Real                          | Val  Loss: 2.1887 | Val  Acc: 0.4524
 Site-Real                          | Val  Loss: 2.1808 | Val  Acc: 0.5169
 Site-Real                          | Val  Loss: 2.1817 | Val  Acc: 0.5576
 Site-Real                          | Val  Loss: 2.1870 | Val  Acc: 0.4892
 Site-Painting                      | Val  Loss: 2.2265 | Val  Acc: 0.3367
 Site-Painting                      | Val  Loss: 2.2103 | Val  Acc: 0.3504
 Site-Painting                      | Val  Loss: 2.2014 | Val  Acc: 0.3698
 Site-Sketch                        | Val  Loss: 2.2047 | Val  Acc: 0.3622
 Site-Sketch                        | Val  Loss: 2.2015 | Val  Acc: 0.3764
 Site-QuickDraw                     | Val  Loss: 2.2980 | Val  Acc: 0.1606
 Site-Infograph                     | Val  Loss: 2.2499 | Val  Acc: 0.2308
Average Valid Accuracy: 0.3802
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3289
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.4206
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3667
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3905
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3729
 Best site-Real                      | Epoch:0 | Val Acc: 0.4524
 Best site-Real                      | Epoch:0 | Val Acc: 0.5169
 Best site-Real                      | Epoch:0 | Val Acc: 0.5576
 Best site-Real                      | Epoch:0 | Val Acc: 0.4892
 Best site-Painting                  | Epoch:0 | Val Acc: 0.3367
 Best site-Painting                  | Epoch:0 | Val Acc: 0.3504
 Best site-Painting                  | Epoch:0 | Val Acc: 0.3698
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.3622
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.3764
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.1606
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.2308
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.4_2/afl...
============ Train epoch 1 ============
 Site-Clipart                       | Train Loss: 2.0986 | Train Acc: 0.6261
 Site-Clipart                       | Train Loss: 2.0682 | Train Acc: 0.6087
 Site-Clipart                       | Train Loss: 2.1088 | Train Acc: 0.5156
 Site-Clipart                       | Train Loss: 2.0830 | Train Acc: 0.5981
 Site-Clipart                       | Train Loss: 2.0906 | Train Acc: 0.6041
 Site-Real                          | Train Loss: 2.0744 | Train Acc: 0.7619
 Site-Real                          | Train Loss: 2.0605 | Train Acc: 0.7797
 Site-Real                          | Train Loss: 2.0529 | Train Acc: 0.7540
 Site-Real                          | Train Loss: 2.0710 | Train Acc: 0.7557
 Site-Painting                      | Train Loss: 2.1036 | Train Acc: 0.6599
 Site-Painting                      | Train Loss: 2.0856 | Train Acc: 0.6359
 Site-Painting                      | Train Loss: 2.1078 | Train Acc: 0.6125
 Site-Sketch                        | Train Loss: 2.1039 | Train Acc: 0.5812
 Site-Sketch                        | Train Loss: 2.1081 | Train Acc: 0.5918
 Site-QuickDraw                     | Train Loss: 2.2456 | Train Acc: 0.2263
 Site-Infograph                     | Train Loss: 2.2219 | Train Acc: 0.2949
Average Train Accuracy: 0.6004
 Site-Clipart                       | Val  Loss: 2.0718 | Val  Acc: 0.6184
 Site-Clipart                       | Val  Loss: 2.0770 | Val  Acc: 0.6075
 Site-Clipart                       | Val  Loss: 2.1064 | Val  Acc: 0.5333
 Site-Clipart                       | Val  Loss: 2.0747 | Val  Acc: 0.6143
 Site-Clipart                       | Val  Loss: 2.1023 | Val  Acc: 0.5424
 Site-Real                          | Val  Loss: 2.0667 | Val  Acc: 0.7143
 Site-Real                          | Val  Loss: 2.0617 | Val  Acc: 0.7627
 Site-Real                          | Val  Loss: 2.0460 | Val  Acc: 0.7879
 Site-Real                          | Val  Loss: 2.0547 | Val  Acc: 0.7749
 Site-Painting                      | Val  Loss: 2.0943 | Val  Acc: 0.6939
 Site-Painting                      | Val  Loss: 2.0932 | Val  Acc: 0.5912
 Site-Painting                      | Val  Loss: 2.0942 | Val  Acc: 0.6406
 Site-Sketch                        | Val  Loss: 2.0997 | Val  Acc: 0.5827
 Site-Sketch                        | Val  Loss: 2.1000 | Val  Acc: 0.5899
 Site-QuickDraw                     | Val  Loss: 2.2732 | Val  Acc: 0.2018
 Site-Infograph                     | Val  Loss: 2.2015 | Val  Acc: 0.3718
Average Valid Accuracy: 0.6017
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.6184
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.6075
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.5333
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.6143
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.5424
 Best site-Real                      | Epoch:1 | Val Acc: 0.7143
 Best site-Real                      | Epoch:1 | Val Acc: 0.7627
 Best site-Real                      | Epoch:1 | Val Acc: 0.7879
 Best site-Real                      | Epoch:1 | Val Acc: 0.7749
 Best site-Painting                  | Epoch:1 | Val Acc: 0.6939
 Best site-Painting                  | Epoch:1 | Val Acc: 0.5912
 Best site-Painting                  | Epoch:1 | Val Acc: 0.6406
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.5827
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.5899
 Best site-QuickDraw                 | Epoch:1 | Val Acc: 0.2018
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.3718
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.4_2/afl...
============ Train epoch 2 ============
 Site-Clipart                       | Train Loss: 2.0041 | Train Acc: 0.7043
 Site-Clipart                       | Train Loss: 1.9761 | Train Acc: 0.7205
 Site-Clipart                       | Train Loss: 1.9956 | Train Acc: 0.7067
 Site-Clipart                       | Train Loss: 1.9823 | Train Acc: 0.7025
 Site-Clipart                       | Train Loss: 1.9920 | Train Acc: 0.6923
 Site-Real                          | Train Loss: 1.9619 | Train Acc: 0.8730
 Site-Real                          | Train Loss: 1.9333 | Train Acc: 0.8588
 Site-Real                          | Train Loss: 1.9237 | Train Acc: 0.8952
 Site-Real                          | Train Loss: 1.9577 | Train Acc: 0.8420
 Site-Painting                      | Train Loss: 1.9982 | Train Acc: 0.7143
 Site-Painting                      | Train Loss: 1.9823 | Train Acc: 0.7573
 Site-Painting                      | Train Loss: 1.9951 | Train Acc: 0.6920
 Site-Sketch                        | Train Loss: 1.9941 | Train Acc: 0.6806
 Site-Sketch                        | Train Loss: 2.0008 | Train Acc: 0.6779
 Site-QuickDraw                     | Train Loss: 2.2208 | Train Acc: 0.2661
 Site-Infograph                     | Train Loss: 2.1975 | Train Acc: 0.3419
Average Train Accuracy: 0.6953
 Site-Clipart                       | Val  Loss: 1.9482 | Val  Acc: 0.6842
 Site-Clipart                       | Val  Loss: 1.9861 | Val  Acc: 0.6636
 Site-Clipart                       | Val  Loss: 1.9937 | Val  Acc: 0.6667
 Site-Clipart                       | Val  Loss: 1.9645 | Val  Acc: 0.7238
 Site-Clipart                       | Val  Loss: 2.0011 | Val  Acc: 0.6712
 Site-Real                          | Val  Loss: 1.9451 | Val  Acc: 0.8333
 Site-Real                          | Val  Loss: 1.9459 | Val  Acc: 0.8475
 Site-Real                          | Val  Loss: 1.9142 | Val  Acc: 0.8848
 Site-Real                          | Val  Loss: 1.9271 | Val  Acc: 0.8961
 Site-Painting                      | Val  Loss: 1.9752 | Val  Acc: 0.7551
 Site-Painting                      | Val  Loss: 1.9952 | Val  Acc: 0.6715
 Site-Painting                      | Val  Loss: 1.9839 | Val  Acc: 0.7656
 Site-Sketch                        | Val  Loss: 2.0048 | Val  Acc: 0.6535
 Site-Sketch                        | Val  Loss: 2.0108 | Val  Acc: 0.6461
 Site-QuickDraw                     | Val  Loss: 2.2513 | Val  Acc: 0.2477
 Site-Infograph                     | Val  Loss: 2.1641 | Val  Acc: 0.3846
Average Valid Accuracy: 0.6872
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.6842
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.6636
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.6667
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.7238
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.6712
 Best site-Real                      | Epoch:2 | Val Acc: 0.8333
 Best site-Real                      | Epoch:2 | Val Acc: 0.8475
 Best site-Real                      | Epoch:2 | Val Acc: 0.8848
 Best site-Real                      | Epoch:2 | Val Acc: 0.8961
 Best site-Painting                  | Epoch:2 | Val Acc: 0.7551
 Best site-Painting                  | Epoch:2 | Val Acc: 0.6715
 Best site-Painting                  | Epoch:2 | Val Acc: 0.7656
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.6535
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.6461
 Best site-QuickDraw                 | Epoch:2 | Val Acc: 0.2477
 Best site-Infograph                 | Epoch:2 | Val Acc: 0.3846
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.4_2/afl...
============ Train epoch 3 ============
