===2023-07-28 08:17:28===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[115,161,225,316,442,126,177,248,348,147,206,289,191,267,327,234,
client_nums=[5,4,3,2,1,1,]
len_dataset=[2103,1502,1072,765,546,390,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.2039 | Train Acc: 0.4174
 Site-Clipart                       | Train Loss: 2.1957 | Train Acc: 0.4348
 Site-Clipart                       | Train Loss: 2.1988 | Train Acc: 0.3644
 Site-Clipart                       | Train Loss: 2.1940 | Train Acc: 0.3671
 Site-Clipart                       | Train Loss: 2.1973 | Train Acc: 0.3824
 Site-Real                          | Train Loss: 2.1701 | Train Acc: 0.5238
 Site-Real                          | Train Loss: 2.1716 | Train Acc: 0.5198
 Site-Real                          | Train Loss: 2.1693 | Train Acc: 0.5847
 Site-Real                          | Train Loss: 2.1780 | Train Acc: 0.5460
 Site-Painting                      | Train Loss: 2.1846 | Train Acc: 0.4626
 Site-Painting                      | Train Loss: 2.1940 | Train Acc: 0.4612
 Site-Painting                      | Train Loss: 2.1851 | Train Acc: 0.4706
 Site-Sketch                        | Train Loss: 2.1989 | Train Acc: 0.3927
 Site-Sketch                        | Train Loss: 2.2038 | Train Acc: 0.3745
 Site-QuickDraw                     | Train Loss: 2.2808 | Train Acc: 0.1529
 Site-Infograph                     | Train Loss: 2.2778 | Train Acc: 0.1667
Average Train Accuracy: 0.4138
 Site-Clipart                       | Val  Loss: 2.1625 | Val  Acc: 0.4474
 Site-Clipart                       | Val  Loss: 2.1729 | Val  Acc: 0.4673
 Site-Clipart                       | Val  Loss: 2.1772 | Val  Acc: 0.4600
 Site-Clipart                       | Val  Loss: 2.1961 | Val  Acc: 0.3524
 Site-Clipart                       | Val  Loss: 2.1958 | Val  Acc: 0.3932
 Site-Real                          | Val  Loss: 2.1671 | Val  Acc: 0.5000
 Site-Real                          | Val  Loss: 2.1651 | Val  Acc: 0.5763
 Site-Real                          | Val  Loss: 2.1697 | Val  Acc: 0.5939
 Site-Real                          | Val  Loss: 2.1688 | Val  Acc: 0.5974
 Site-Painting                      | Val  Loss: 2.2020 | Val  Acc: 0.3980
 Site-Painting                      | Val  Loss: 2.1939 | Val  Acc: 0.4088
 Site-Painting                      | Val  Loss: 2.1917 | Val  Acc: 0.4896
 Site-Sketch                        | Val  Loss: 2.1931 | Val  Acc: 0.3780
 Site-Sketch                        | Val  Loss: 2.2104 | Val  Acc: 0.3596
 Site-QuickDraw                     | Val  Loss: 2.2991 | Val  Acc: 0.1560
 Site-Infograph                     | Val  Loss: 2.2686 | Val  Acc: 0.2244
Average Valid Accuracy: 0.4251
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.4474
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.4673
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.4600
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3524
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3932
 Best site-Real                      | Epoch:0 | Val Acc: 0.5000
 Best site-Real                      | Epoch:0 | Val Acc: 0.5763
 Best site-Real                      | Epoch:0 | Val Acc: 0.5939
 Best site-Real                      | Epoch:0 | Val Acc: 0.5974
 Best site-Painting                  | Epoch:0 | Val Acc: 0.3980
 Best site-Painting                  | Epoch:0 | Val Acc: 0.4088
 Best site-Painting                  | Epoch:0 | Val Acc: 0.4896
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.3780
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.3596
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.1560
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.2244
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.4_2/fedavg...
============ Train epoch 1 ============
 Site-Clipart                       | Train Loss: 2.0969 | Train Acc: 0.5913
 Site-Clipart                       | Train Loss: 2.0989 | Train Acc: 0.5839
 Site-Clipart                       | Train Loss: 2.0964 | Train Acc: 0.5822
 Site-Clipart                       | Train Loss: 2.0863 | Train Acc: 0.6392
 Site-Clipart                       | Train Loss: 2.0966 | Train Acc: 0.6041
 Site-Real                          | Train Loss: 2.0482 | Train Acc: 0.8413
 Site-Real                          | Train Loss: 2.0422 | Train Acc: 0.7966
 Site-Real                          | Train Loss: 2.0333 | Train Acc: 0.8387
 Site-Real                          | Train Loss: 2.0557 | Train Acc: 0.7787
 Site-Painting                      | Train Loss: 2.0651 | Train Acc: 0.6803
 Site-Painting                      | Train Loss: 2.0834 | Train Acc: 0.6602
 Site-Painting                      | Train Loss: 2.0693 | Train Acc: 0.6920
 Site-Sketch                        | Train Loss: 2.0916 | Train Acc: 0.5864
 Site-Sketch                        | Train Loss: 2.0902 | Train Acc: 0.5880
 Site-QuickDraw                     | Train Loss: 2.2621 | Train Acc: 0.1835
 Site-Infograph                     | Train Loss: 2.2329 | Train Acc: 0.2906
Average Train Accuracy: 0.6211
 Site-Clipart                       | Val  Loss: 2.0267 | Val  Acc: 0.6447
 Site-Clipart                       | Val  Loss: 2.0801 | Val  Acc: 0.6262
 Site-Clipart                       | Val  Loss: 2.0867 | Val  Acc: 0.6800
 Site-Clipart                       | Val  Loss: 2.0774 | Val  Acc: 0.6333
 Site-Clipart                       | Val  Loss: 2.0910 | Val  Acc: 0.6237
 Site-Real                          | Val  Loss: 2.0436 | Val  Acc: 0.7619
 Site-Real                          | Val  Loss: 2.0418 | Val  Acc: 0.8220
 Site-Real                          | Val  Loss: 2.0270 | Val  Acc: 0.8303
 Site-Real                          | Val  Loss: 2.0305 | Val  Acc: 0.8398
 Site-Painting                      | Val  Loss: 2.0718 | Val  Acc: 0.6531
 Site-Painting                      | Val  Loss: 2.0814 | Val  Acc: 0.6423
 Site-Painting                      | Val  Loss: 2.0697 | Val  Acc: 0.6927
 Site-Sketch                        | Val  Loss: 2.0693 | Val  Acc: 0.6220
 Site-Sketch                        | Val  Loss: 2.0972 | Val  Acc: 0.5169
 Site-QuickDraw                     | Val  Loss: 2.2709 | Val  Acc: 0.1972
 Site-Infograph                     | Val  Loss: 2.2323 | Val  Acc: 0.2949
Average Valid Accuracy: 0.6301
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.6447
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.6262
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.6800
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.6333
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.6237
 Best site-Real                      | Epoch:1 | Val Acc: 0.7619
 Best site-Real                      | Epoch:1 | Val Acc: 0.8220
 Best site-Real                      | Epoch:1 | Val Acc: 0.8303
 Best site-Real                      | Epoch:1 | Val Acc: 0.8398
 Best site-Painting                  | Epoch:1 | Val Acc: 0.6531
 Best site-Painting                  | Epoch:1 | Val Acc: 0.6423
 Best site-Painting                  | Epoch:1 | Val Acc: 0.6927
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.6220
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.5169
 Best site-QuickDraw                 | Epoch:1 | Val Acc: 0.1972
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.2949
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.4_2/fedavg...
============ Train epoch 2 ============
 Site-Clipart                       | Train Loss: 1.9941 | Train Acc: 0.6609
 Site-Clipart                       | Train Loss: 1.9769 | Train Acc: 0.7019
