===2023-07-28 20:40:30===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[115,161,225,316,442,126,177,248,348,147,206,289,191,267,327,234,
client_nums=[5,4,3,2,1,1,]
len_dataset=[2103,1502,1072,765,546,390,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.2039 | Train Acc: 0.3391
 Site-Clipart                       | Train Loss: 2.1647 | Train Acc: 0.4534
 Site-Clipart                       | Train Loss: 2.1942 | Train Acc: 0.3333
 Site-Clipart                       | Train Loss: 2.1897 | Train Acc: 0.3544
 Site-Clipart                       | Train Loss: 2.1926 | Train Acc: 0.3643
 Site-Real                          | Train Loss: 2.1866 | Train Acc: 0.4444
 Site-Real                          | Train Loss: 2.1943 | Train Acc: 0.4859
 Site-Real                          | Train Loss: 2.1837 | Train Acc: 0.5081
 Site-Real                          | Train Loss: 2.1940 | Train Acc: 0.4626
 Site-Painting                      | Train Loss: 2.2021 | Train Acc: 0.3810
 Site-Painting                      | Train Loss: 2.1997 | Train Acc: 0.3835
 Site-Painting                      | Train Loss: 2.2184 | Train Acc: 0.3287
 Site-Sketch                        | Train Loss: 2.1982 | Train Acc: 0.4398
 Site-Sketch                        | Train Loss: 2.1977 | Train Acc: 0.3783
 Site-QuickDraw                     | Train Loss: 2.2830 | Train Acc: 0.1468
 Site-Infograph                     | Train Loss: 2.2701 | Train Acc: 0.2009
Average Train Accuracy: 0.3753
 Site-Clipart                       | Val  Loss: 2.1810 | Val  Acc: 0.3158
 Site-Clipart                       | Val  Loss: 2.1892 | Val  Acc: 0.3925
 Site-Clipart                       | Val  Loss: 2.1957 | Val  Acc: 0.3267
 Site-Clipart                       | Val  Loss: 2.1809 | Val  Acc: 0.3810
 Site-Clipart                       | Val  Loss: 2.1941 | Val  Acc: 0.3593
 Site-Real                          | Val  Loss: 2.1811 | Val  Acc: 0.4405
 Site-Real                          | Val  Loss: 2.1834 | Val  Acc: 0.5000
 Site-Real                          | Val  Loss: 2.1814 | Val  Acc: 0.5455
 Site-Real                          | Val  Loss: 2.1787 | Val  Acc: 0.5108
 Site-Painting                      | Val  Loss: 2.2154 | Val  Acc: 0.3469
 Site-Painting                      | Val  Loss: 2.2125 | Val  Acc: 0.2920
 Site-Painting                      | Val  Loss: 2.2089 | Val  Acc: 0.3698
 Site-Sketch                        | Val  Loss: 2.2108 | Val  Acc: 0.3386
 Site-Sketch                        | Val  Loss: 2.2023 | Val  Acc: 0.3876
 Site-QuickDraw                     | Val  Loss: 2.2989 | Val  Acc: 0.1606
 Site-Infograph                     | Val  Loss: 2.2513 | Val  Acc: 0.2308
Average Valid Accuracy: 0.3686
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3158
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3925
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3267
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3810
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3593
 Best site-Real                      | Epoch:0 | Val Acc: 0.4405
 Best site-Real                      | Epoch:0 | Val Acc: 0.5000
 Best site-Real                      | Epoch:0 | Val Acc: 0.5455
 Best site-Real                      | Epoch:0 | Val Acc: 0.5108
 Best site-Painting                  | Epoch:0 | Val Acc: 0.3469
 Best site-Painting                  | Epoch:0 | Val Acc: 0.2920
 Best site-Painting                  | Epoch:0 | Val Acc: 0.3698
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.3386
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.3876
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.1606
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.2308
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.4_2/fedmix...
============ Train epoch 1 ============
 Site-Clipart                       | Train Loss: 2.0987 | Train Acc: 0.5739
 Site-Clipart                       | Train Loss: 2.0576 | Train Acc: 0.6211
 Site-Clipart                       | Train Loss: 2.0914 | Train Acc: 0.5600
 Site-Clipart                       | Train Loss: 2.0844 | Train Acc: 0.6013
 Site-Clipart                       | Train Loss: 2.0916 | Train Acc: 0.5633
 Site-Real                          | Train Loss: 2.0678 | Train Acc: 0.7937
 Site-Real                          | Train Loss: 2.0525 | Train Acc: 0.8079
 Site-Real                          | Train Loss: 2.0446 | Train Acc: 0.8347
 Site-Real                          | Train Loss: 2.0745 | Train Acc: 0.7471
 Site-Painting                      | Train Loss: 2.0999 | Train Acc: 0.6327
 Site-Painting                      | Train Loss: 2.0858 | Train Acc: 0.6650
 Site-Painting                      | Train Loss: 2.1065 | Train Acc: 0.6194
 Site-Sketch                        | Train Loss: 2.0985 | Train Acc: 0.6073
