===2023-07-28 18:45:01===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[115,161,225,316,442,126,177,248,348,147,206,289,191,267,327,234,
client_nums=[5,4,3,2,1,1,]
len_dataset=[2103,1502,1072,765,546,390,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 1.4296 | Train Acc: 0.8000
 Site-Clipart                       | Train Loss: 1.4025 | Train Acc: 0.8571
 Site-Clipart                       | Train Loss: 1.4981 | Train Acc: 0.7822
 Site-Clipart                       | Train Loss: 1.4197 | Train Acc: 0.8259
 Site-Clipart                       | Train Loss: 1.4341 | Train Acc: 0.8258
 Site-Real                          | Train Loss: 1.2542 | Train Acc: 0.8889
 Site-Real                          | Train Loss: 1.1469 | Train Acc: 0.9379
 Site-Real                          | Train Loss: 1.1341 | Train Acc: 0.9355
 Site-Real                          | Train Loss: 1.2367 | Train Acc: 0.9109
 Site-Painting                      | Train Loss: 1.3408 | Train Acc: 0.7891
 Site-Painting                      | Train Loss: 1.3321 | Train Acc: 0.8592
 Site-Painting                      | Train Loss: 1.3760 | Train Acc: 0.8270
 Site-Sketch                        | Train Loss: 1.4440 | Train Acc: 0.6702
 Site-Sketch                        | Train Loss: 1.4188 | Train Acc: 0.7603
 Site-QuickDraw                     | Train Loss: 2.0992 | Train Acc: 0.3364
 Site-Infograph                     | Train Loss: 1.9703 | Train Acc: 0.4188
Average Train Accuracy: 0.7766
 Site-Clipart                       | Val  Loss: 1.2909 | Val  Acc: 0.7895
 Site-Clipart                       | Val  Loss: 1.3855 | Val  Acc: 0.8131
 Site-Clipart                       | Val  Loss: 1.4298 | Val  Acc: 0.8533
 Site-Clipart                       | Val  Loss: 1.3838 | Val  Acc: 0.7952
 Site-Clipart                       | Val  Loss: 1.4774 | Val  Acc: 0.7695
 Site-Real                          | Val  Loss: 1.2185 | Val  Acc: 0.9167
 Site-Real                          | Val  Loss: 1.1820 | Val  Acc: 0.9322
 Site-Real                          | Val  Loss: 1.1270 | Val  Acc: 0.9394
 Site-Real                          | Val  Loss: 1.1496 | Val  Acc: 0.9394
 Site-Painting                      | Val  Loss: 1.2750 | Val  Acc: 0.8571
 Site-Painting                      | Val  Loss: 1.3281 | Val  Acc: 0.8029
 Site-Painting                      | Val  Loss: 1.3365 | Val  Acc: 0.8438
 Site-Sketch                        | Val  Loss: 1.3896 | Val  Acc: 0.7953
 Site-Sketch                        | Val  Loss: 1.4302 | Val  Acc: 0.7135
 Site-QuickDraw                     | Val  Loss: 2.1351 | Val  Acc: 0.3119
 Site-Infograph                     | Val  Loss: 1.9014 | Val  Acc: 0.4615
Average Valid Accuracy: 0.7834
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.7895
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.8131
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.8533
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.7952
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.7695
 Best site-Real                      | Epoch:0 | Val Acc: 0.9167
 Best site-Real                      | Epoch:0 | Val Acc: 0.9322
 Best site-Real                      | Epoch:0 | Val Acc: 0.9394
 Best site-Real                      | Epoch:0 | Val Acc: 0.9394
 Best site-Painting                  | Epoch:0 | Val Acc: 0.8571
 Best site-Painting                  | Epoch:0 | Val Acc: 0.8029
 Best site-Painting                  | Epoch:0 | Val Acc: 0.8438
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.7953
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.7135
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.3119
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.4615
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.4_2/fedsam...
============ Train epoch 1 ============
 Site-Clipart                       | Train Loss: 0.9509 | Train Acc: 0.8522
 Site-Clipart                       | Train Loss: 0.8673 | Train Acc: 0.9068
 Site-Clipart                       | Train Loss: 1.0160 | Train Acc: 0.8400
 Site-Clipart                       | Train Loss: 0.9361 | Train Acc: 0.8544
