===2023-07-28 13:00:58===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[115,161,225,316,442,126,177,248,348,147,206,289,191,267,327,234,
client_nums=[5,4,3,2,1,1,]
len_dataset=[2103,1502,1072,765,546,390,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.1997 | Train Acc: 0.4087
 Site-Clipart                       | Train Loss: 2.1797 | Train Acc: 0.4099
 Site-Clipart                       | Train Loss: 2.1974 | Train Acc: 0.3333
 Site-Clipart                       | Train Loss: 2.1859 | Train Acc: 0.3703
 Site-Clipart                       | Train Loss: 2.1897 | Train Acc: 0.3869
 Site-Real                          | Train Loss: 2.1896 | Train Acc: 0.4365
 Site-Real                          | Train Loss: 2.1887 | Train Acc: 0.5028
 Site-Real                          | Train Loss: 2.1778 | Train Acc: 0.5444
 Site-Real                          | Train Loss: 2.1974 | Train Acc: 0.4511
 Site-Painting                      | Train Loss: 2.2151 | Train Acc: 0.3878
 Site-Painting                      | Train Loss: 2.2045 | Train Acc: 0.4029
 Site-Painting                      | Train Loss: 2.2150 | Train Acc: 0.3668
 Site-Sketch                        | Train Loss: 2.2050 | Train Acc: 0.4293
 Site-Sketch                        | Train Loss: 2.1911 | Train Acc: 0.4232
 Site-QuickDraw                     | Train Loss: 2.2935 | Train Acc: 0.1713
 Site-Infograph                     | Train Loss: 2.2687 | Train Acc: 0.2094
Average Train Accuracy: 0.3897
 Site-Clipart                       | Val  Loss: 2.1930 | Val  Acc: 0.3289
 Site-Clipart                       | Val  Loss: 2.1810 | Val  Acc: 0.4206
 Site-Clipart                       | Val  Loss: 2.1996 | Val  Acc: 0.3667
 Site-Clipart                       | Val  Loss: 2.1819 | Val  Acc: 0.3857
 Site-Clipart                       | Val  Loss: 2.1924 | Val  Acc: 0.3729
 Site-Real                          | Val  Loss: 2.1870 | Val  Acc: 0.4524
 Site-Real                          | Val  Loss: 2.1791 | Val  Acc: 0.5254
 Site-Real                          | Val  Loss: 2.1799 | Val  Acc: 0.5636
 Site-Real                          | Val  Loss: 2.1853 | Val  Acc: 0.4935
 Site-Painting                      | Val  Loss: 2.2250 | Val  Acc: 0.3469
 Site-Painting                      | Val  Loss: 2.2089 | Val  Acc: 0.3504
 Site-Painting                      | Val  Loss: 2.2001 | Val  Acc: 0.3802
 Site-Sketch                        | Val  Loss: 2.2034 | Val  Acc: 0.3622
 Site-Sketch                        | Val  Loss: 2.2002 | Val  Acc: 0.3764
 Site-QuickDraw                     | Val  Loss: 2.2978 | Val  Acc: 0.1606
 Site-Infograph                     | Val  Loss: 2.2494 | Val  Acc: 0.2244
Average Valid Accuracy: 0.3819
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3289
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.4206
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3667
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3857
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3729
 Best site-Real                      | Epoch:0 | Val Acc: 0.4524
 Best site-Real                      | Epoch:0 | Val Acc: 0.5254
 Best site-Real                      | Epoch:0 | Val Acc: 0.5636
 Best site-Real                      | Epoch:0 | Val Acc: 0.4935
 Best site-Painting                  | Epoch:0 | Val Acc: 0.3469
 Best site-Painting                  | Epoch:0 | Val Acc: 0.3504
 Best site-Painting                  | Epoch:0 | Val Acc: 0.3802
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.3622
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.3764
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.1606
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.2244
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.4_2/term...
============ Train epoch 1 ============
 Site-Clipart                       | Train Loss: 2.0950 | Train Acc: 0.6435
 Site-Clipart                       | Train Loss: 2.0642 | Train Acc: 0.6149
 Site-Clipart                       | Train Loss: 2.1053 | Train Acc: 0.5200
 Site-Clipart                       | Train Loss: 2.0792 | Train Acc: 0.6013
 Site-Clipart                       | Train Loss: 2.0867 | Train Acc: 0.6063
 Site-Real                          | Train Loss: 2.0697 | Train Acc: 0.7778
 Site-Real                          | Train Loss: 2.0553 | Train Acc: 0.7910
 Site-Real                          | Train Loss: 2.0477 | Train Acc: 0.7782
 Site-Real                          | Train Loss: 2.0661 | Train Acc: 0.7586
 Site-Painting                      | Train Loss: 2.0997 | Train Acc: 0.6599
 Site-Painting                      | Train Loss: 2.0814 | Train Acc: 0.6505
 Site-Painting                      | Train Loss: 2.1038 | Train Acc: 0.6159
 Site-Sketch                        | Train Loss: 2.1004 | Train Acc: 0.5812
 Site-Sketch                        | Train Loss: 2.1046 | Train Acc: 0.5918
 Site-QuickDraw                     | Train Loss: 2.2462 | Train Acc: 0.2171
 Site-Infograph                     | Train Loss: 2.2213 | Train Acc: 0.2949
Average Train Accuracy: 0.6064
 Site-Clipart                       | Val  Loss: 2.0671 | Val  Acc: 0.6184
 Site-Clipart                       | Val  Loss: 2.0730 | Val  Acc: 0.6075
 Site-Clipart                       | Val  Loss: 2.1027 | Val  Acc: 0.5400
 Site-Clipart                       | Val  Loss: 2.0708 | Val  Acc: 0.6143
 Site-Clipart                       | Val  Loss: 2.0986 | Val  Acc: 0.5424
 Site-Real                          | Val  Loss: 2.0619 | Val  Acc: 0.7143
 Site-Real                          | Val  Loss: 2.0568 | Val  Acc: 0.7712
 Site-Real                          | Val  Loss: 2.0407 | Val  Acc: 0.7939
 Site-Real                          | Val  Loss: 2.0494 | Val  Acc: 0.7749
 Site-Painting                      | Val  Loss: 2.0900 | Val  Acc: 0.6939
 Site-Painting                      | Val  Loss: 2.0890 | Val  Acc: 0.5912
 Site-Painting                      | Val  Loss: 2.0901 | Val  Acc: 0.6354
 Site-Sketch                        | Val  Loss: 2.0962 | Val  Acc: 0.5906
 Site-Sketch                        | Val  Loss: 2.0965 | Val  Acc: 0.5899
 Site-QuickDraw                     | Val  Loss: 2.2740 | Val  Acc: 0.2018
 Site-Infograph                     | Val  Loss: 2.2004 | Val  Acc: 0.3718
Average Valid Accuracy: 0.6032
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.6184
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.6075
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.5400
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.6143
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.5424
 Best site-Real                      | Epoch:1 | Val Acc: 0.7143
 Best site-Real                      | Epoch:1 | Val Acc: 0.7712
 Best site-Real                      | Epoch:1 | Val Acc: 0.7939
 Best site-Real                      | Epoch:1 | Val Acc: 0.7749
 Best site-Painting                  | Epoch:1 | Val Acc: 0.6939
 Best site-Painting                  | Epoch:1 | Val Acc: 0.5912
 Best site-Painting                  | Epoch:1 | Val Acc: 0.6354
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.5906
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.5899
 Best site-QuickDraw                 | Epoch:1 | Val Acc: 0.2018
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.3718
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.4_2/term...
============ Train epoch 2 ============
 Site-Clipart                       | Train Loss: 1.9983 | Train Acc: 0.7043
 Site-Clipart                       | Train Loss: 1.9696 | Train Acc: 0.7205
 Site-Clipart                       | Train Loss: 1.9895 | Train Acc: 0.7111
 Site-Clipart                       | Train Loss: 1.9762 | Train Acc: 0.7120
 Site-Clipart                       | Train Loss: 1.9859 | Train Acc: 0.7059
 Site-Real                          | Train Loss: 1.9527 | Train Acc: 0.8730
 Site-Real                          | Train Loss: 1.9236 | Train Acc: 0.8644
 Site-Real                          | Train Loss: 1.9140 | Train Acc: 0.8992
 Site-Real                          | Train Loss: 1.9482 | Train Acc: 0.8448
 Site-Painting                      | Train Loss: 1.9906 | Train Acc: 0.7143
 Site-Painting                      | Train Loss: 1.9751 | Train Acc: 0.7621
 Site-Painting                      | Train Loss: 1.9884 | Train Acc: 0.6920
 Site-Sketch                        | Train Loss: 1.9884 | Train Acc: 0.6754
 Site-Sketch                        | Train Loss: 1.9947 | Train Acc: 0.6816
 Site-QuickDraw                     | Train Loss: 2.2235 | Train Acc: 0.2661
 Site-Infograph                     | Train Loss: 2.1970 | Train Acc: 0.3333
Average Train Accuracy: 0.6975
 Site-Clipart                       | Val  Loss: 1.9404 | Val  Acc: 0.6842
 Site-Clipart                       | Val  Loss: 1.9792 | Val  Acc: 0.6636
 Site-Clipart                       | Val  Loss: 1.9874 | Val  Acc: 0.6800
 Site-Clipart                       | Val  Loss: 1.9580 | Val  Acc: 0.7190
 Site-Clipart                       | Val  Loss: 1.9952 | Val  Acc: 0.6780
 Site-Real                          | Val  Loss: 1.9351 | Val  Acc: 0.8333
 Site-Real                          | Val  Loss: 1.9368 | Val  Acc: 0.8475
 Site-Real                          | Val  Loss: 1.9044 | Val  Acc: 0.8848
 Site-Real                          | Val  Loss: 1.9174 | Val  Acc: 0.9004
 Site-Painting                      | Val  Loss: 1.9680 | Val  Acc: 0.7551
 Site-Painting                      | Val  Loss: 1.9882 | Val  Acc: 0.6861
 Site-Painting                      | Val  Loss: 1.9767 | Val  Acc: 0.7656
 Site-Sketch                        | Val  Loss: 1.9983 | Val  Acc: 0.6535
 Site-Sketch                        | Val  Loss: 2.0055 | Val  Acc: 0.6517
 Site-QuickDraw                     | Val  Loss: 2.2537 | Val  Acc: 0.2523
 Site-Infograph                     | Val  Loss: 2.1628 | Val  Acc: 0.3846
Average Valid Accuracy: 0.6900
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.6842
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.6636
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.6800
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.7190
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.6780
 Best site-Real                      | Epoch:2 | Val Acc: 0.8333
 Best site-Real                      | Epoch:2 | Val Acc: 0.8475
 Best site-Real                      | Epoch:2 | Val Acc: 0.8848
 Best site-Real                      | Epoch:2 | Val Acc: 0.9004
 Best site-Painting                  | Epoch:2 | Val Acc: 0.7551
 Best site-Painting                  | Epoch:2 | Val Acc: 0.6861
 Best site-Painting                  | Epoch:2 | Val Acc: 0.7656
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.6535
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.6517
 Best site-QuickDraw                 | Epoch:2 | Val Acc: 0.2523
 Best site-Infograph                 | Epoch:2 | Val Acc: 0.3846
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.4_2/term...
============ Train epoch 3 ============
 Site-Clipart                       | Train Loss: 1.8953 | Train Acc: 0.7478
 Site-Clipart                       | Train Loss: 1.8348 | Train Acc: 0.8385
 Site-Clipart                       | Train Loss: 1.9127 | Train Acc: 0.7333
 Site-Clipart                       | Train Loss: 1.8801 | Train Acc: 0.7373
 Site-Clipart                       | Train Loss: 1.8868 | Train Acc: 0.7534
 Site-Real                          | Train Loss: 1.8414 | Train Acc: 0.8810
 Site-Real                          | Train Loss: 1.7924 | Train Acc: 0.8701
 Site-Real                          | Train Loss: 1.7813 | Train Acc: 0.8992
 Site-Real                          | Train Loss: 1.8429 | Train Acc: 0.8736
 Site-Painting                      | Train Loss: 1.8958 | Train Acc: 0.7483
 Site-Painting                      | Train Loss: 1.8568 | Train Acc: 0.8107
 Site-Painting                      | Train Loss: 1.8857 | Train Acc: 0.7301
 Site-Sketch                        | Train Loss: 1.8959 | Train Acc: 0.6806
 Site-Sketch                        | Train Loss: 1.9073 | Train Acc: 0.7491
 Site-QuickDraw                     | Train Loss: 2.1879 | Train Acc: 0.2997
 Site-Infograph                     | Train Loss: 2.1416 | Train Acc: 0.3846
Average Train Accuracy: 0.7336
 Site-Clipart                       | Val  Loss: 1.8453 | Val  Acc: 0.6447
 Site-Clipart                       | Val  Loss: 1.8724 | Val  Acc: 0.7757
 Site-Clipart                       | Val  Loss: 1.9063 | Val  Acc: 0.6933
 Site-Clipart                       | Val  Loss: 1.8512 | Val  Acc: 0.7429
 Site-Clipart                       | Val  Loss: 1.9001 | Val  Acc: 0.7085
 Site-Real                          | Val  Loss: 1.8234 | Val  Acc: 0.9048
 Site-Real                          | Val  Loss: 1.8094 | Val  Acc: 0.8814
 Site-Real                          | Val  Loss: 1.7737 | Val  Acc: 0.9091
 Site-Real                          | Val  Loss: 1.7876 | Val  Acc: 0.9048
 Site-Painting                      | Val  Loss: 1.8566 | Val  Acc: 0.7653
 Site-Painting                      | Val  Loss: 1.8645 | Val  Acc: 0.7299
 Site-Painting                      | Val  Loss: 1.8657 | Val  Acc: 0.8021
 Site-Sketch                        | Val  Loss: 1.8942 | Val  Acc: 0.7244
 Site-Sketch                        | Val  Loss: 1.8918 | Val  Acc: 0.7079
 Site-QuickDraw                     | Val  Loss: 2.2225 | Val  Acc: 0.2752
 Site-Infograph                     | Val  Loss: 2.1173 | Val  Acc: 0.4038
Average Valid Accuracy: 0.7234
 Best site-Clipart                   | Epoch:3 | Val Acc: 0.6447
 Best site-Clipart                   | Epoch:3 | Val Acc: 0.7757
 Best site-Clipart                   | Epoch:3 | Val Acc: 0.6933
 Best site-Clipart                   | Epoch:3 | Val Acc: 0.7429
 Best site-Clipart                   | Epoch:3 | Val Acc: 0.7085
 Best site-Real                      | Epoch:3 | Val Acc: 0.9048
 Best site-Real                      | Epoch:3 | Val Acc: 0.8814
 Best site-Real                      | Epoch:3 | Val Acc: 0.9091
 Best site-Real                      | Epoch:3 | Val Acc: 0.9048
 Best site-Painting                  | Epoch:3 | Val Acc: 0.7653
 Best site-Painting                  | Epoch:3 | Val Acc: 0.7299
 Best site-Painting                  | Epoch:3 | Val Acc: 0.8021
 Best site-Sketch                    | Epoch:3 | Val Acc: 0.7244
 Best site-Sketch                    | Epoch:3 | Val Acc: 0.7079
 Best site-QuickDraw                 | Epoch:3 | Val Acc: 0.2752
 Best site-Infograph                 | Epoch:3 | Val Acc: 0.4038
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.4_2/term...
============ Train epoch 4 ============
 Site-Clipart                       | Train Loss: 1.8061 | Train Acc: 0.7391
 Site-Clipart                       | Train Loss: 1.7662 | Train Acc: 0.8012
 Site-Clipart                       | Train Loss: 1.8365 | Train Acc: 0.7156
 Site-Clipart                       | Train Loss: 1.7853 | Train Acc: 0.7658
 Site-Clipart                       | Train Loss: 1.7876 | Train Acc: 0.7828
 Site-Real                          | Train Loss: 1.7312 | Train Acc: 0.8889
 Site-Real                          | Train Loss: 1.6778 | Train Acc: 0.9040
 Site-Real                          | Train Loss: 1.6724 | Train Acc: 0.9032
 Site-Real                          | Train Loss: 1.7380 | Train Acc: 0.8879
 Site-Painting                      | Train Loss: 1.8063 | Train Acc: 0.7687
 Site-Painting                      | Train Loss: 1.7481 | Train Acc: 0.8204
 Site-Painting                      | Train Loss: 1.7770 | Train Acc: 0.7924
 Site-Sketch                        | Train Loss: 1.8083 | Train Acc: 0.6649
 Site-Sketch                        | Train Loss: 1.8039 | Train Acc: 0.7378
 Site-QuickDraw                     | Train Loss: 2.1704 | Train Acc: 0.3272
 Site-Infograph                     | Train Loss: 2.1164 | Train Acc: 0.3889
Average Train Accuracy: 0.7431
 Site-Clipart                       | Val  Loss: 1.6886 | Val  Acc: 0.8026
 Site-Clipart                       | Val  Loss: 1.7999 | Val  Acc: 0.7570
 Site-Clipart                       | Val  Loss: 1.8081 | Val  Acc: 0.7400
 Site-Clipart                       | Val  Loss: 1.7732 | Val  Acc: 0.7524
 Site-Clipart                       | Val  Loss: 1.8170 | Val  Acc: 0.7085
 Site-Real                          | Val  Loss: 1.7092 | Val  Acc: 0.8810
 Site-Real                          | Val  Loss: 1.6928 | Val  Acc: 0.9153
 Site-Real                          | Val  Loss: 1.6569 | Val  Acc: 0.8970
 Site-Real                          | Val  Loss: 1.6756 | Val  Acc: 0.9221
 Site-Painting                      | Val  Loss: 1.7512 | Val  Acc: 0.8367
 Site-Painting                      | Val  Loss: 1.7749 | Val  Acc: 0.7445
 Site-Painting                      | Val  Loss: 1.7617 | Val  Acc: 0.8177
 Site-Sketch                        | Val  Loss: 1.7985 | Val  Acc: 0.7008
 Site-Sketch                        | Val  Loss: 1.8092 | Val  Acc: 0.7022
 Site-QuickDraw                     | Val  Loss: 2.1985 | Val  Acc: 0.2890
 Site-Infograph                     | Val  Loss: 2.0716 | Val  Acc: 0.4551
Average Valid Accuracy: 0.7451
 Best site-Clipart                   | Epoch:4 | Val Acc: 0.8026
 Best site-Clipart                   | Epoch:4 | Val Acc: 0.7570
 Best site-Clipart                   | Epoch:4 | Val Acc: 0.7400
 Best site-Clipart                   | Epoch:4 | Val Acc: 0.7524
 Best site-Clipart                   | Epoch:4 | Val Acc: 0.7085
 Best site-Real                      | Epoch:4 | Val Acc: 0.8810
 Best site-Real                      | Epoch:4 | Val Acc: 0.9153
 Best site-Real                      | Epoch:4 | Val Acc: 0.8970
 Best site-Real                      | Epoch:4 | Val Acc: 0.9221
 Best site-Painting                  | Epoch:4 | Val Acc: 0.8367
 Best site-Painting                  | Epoch:4 | Val Acc: 0.7445
 Best site-Painting                  | Epoch:4 | Val Acc: 0.8177
 Best site-Sketch                    | Epoch:4 | Val Acc: 0.7008
 Best site-Sketch                    | Epoch:4 | Val Acc: 0.7022
 Best site-QuickDraw                 | Epoch:4 | Val Acc: 0.2890
 Best site-Infograph                 | Epoch:4 | Val Acc: 0.4551
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.4_2/term...
============ Train epoch 5 ============
 Site-Clipart                       | Train Loss: 1.7221 | Train Acc: 0.7739
 Site-Clipart                       | Train Loss: 1.6833 | Train Acc: 0.8199
 Site-Clipart                       | Train Loss: 1.7489 | Train Acc: 0.7867
 Site-Clipart                       | Train Loss: 1.7031 | Train Acc: 0.7848
 Site-Clipart                       | Train Loss: 1.6999 | Train Acc: 0.8009
 Site-Real                          | Train Loss: 1.6254 | Train Acc: 0.9048
 Site-Real                          | Train Loss: 1.5507 | Train Acc: 0.9096
 Site-Real                          | Train Loss: 1.5487 | Train Acc: 0.9315
 Site-Real                          | Train Loss: 1.6247 | Train Acc: 0.8879
 Site-Painting                      | Train Loss: 1.6723 | Train Acc: 0.8163
 Site-Painting                      | Train Loss: 1.6600 | Train Acc: 0.8107
 Site-Painting                      | Train Loss: 1.6932 | Train Acc: 0.7855
 Site-Sketch                        | Train Loss: 1.7192 | Train Acc: 0.6911
 Site-Sketch                        | Train Loss: 1.7093 | Train Acc: 0.7603
 Site-QuickDraw                     | Train Loss: 2.1222 | Train Acc: 0.3486
 Site-Infograph                     | Train Loss: 2.0686 | Train Acc: 0.4274
Average Train Accuracy: 0.7650
 Site-Clipart                       | Val  Loss: 1.6305 | Val  Acc: 0.7368
 Site-Clipart                       | Val  Loss: 1.7179 | Val  Acc: 0.7290
 Site-Clipart                       | Val  Loss: 1.7190 | Val  Acc: 0.7733
 Site-Clipart                       | Val  Loss: 1.6798 | Val  Acc: 0.7857
 Site-Clipart                       | Val  Loss: 1.7348 | Val  Acc: 0.7661
 Site-Real                          | Val  Loss: 1.6010 | Val  Acc: 0.8810
 Site-Real                          | Val  Loss: 1.5925 | Val  Acc: 0.9407
 Site-Real                          | Val  Loss: 1.5492 | Val  Acc: 0.9394
 Site-Real                          | Val  Loss: 1.5573 | Val  Acc: 0.9307
 Site-Painting                      | Val  Loss: 1.6271 | Val  Acc: 0.8367
 Site-Painting                      | Val  Loss: 1.6789 | Val  Acc: 0.7445
 Site-Painting                      | Val  Loss: 1.6747 | Val  Acc: 0.8333
 Site-Sketch                        | Val  Loss: 1.6995 | Val  Acc: 0.7717
 Site-Sketch                        | Val  Loss: 1.7039 | Val  Acc: 0.7416
 Site-QuickDraw                     | Val  Loss: 2.1835 | Val  Acc: 0.2890
 Site-Infograph                     | Val  Loss: 2.0253 | Val  Acc: 0.5064
Average Valid Accuracy: 0.7629
 Best site-Clipart                   | Epoch:5 | Val Acc: 0.7368
 Best site-Clipart                   | Epoch:5 | Val Acc: 0.7290
 Best site-Clipart                   | Epoch:5 | Val Acc: 0.7733
 Best site-Clipart                   | Epoch:5 | Val Acc: 0.7857
 Best site-Clipart                   | Epoch:5 | Val Acc: 0.7661
 Best site-Real                      | Epoch:5 | Val Acc: 0.8810
 Best site-Real                      | Epoch:5 | Val Acc: 0.9407
 Best site-Real                      | Epoch:5 | Val Acc: 0.9394
 Best site-Real                      | Epoch:5 | Val Acc: 0.9307
 Best site-Painting                  | Epoch:5 | Val Acc: 0.8367
 Best site-Painting                  | Epoch:5 | Val Acc: 0.7445
 Best site-Painting                  | Epoch:5 | Val Acc: 0.8333
 Best site-Sketch                    | Epoch:5 | Val Acc: 0.7717
 Best site-Sketch                    | Epoch:5 | Val Acc: 0.7416
 Best site-QuickDraw                 | Epoch:5 | Val Acc: 0.2890
 Best site-Infograph                 | Epoch:5 | Val Acc: 0.5064
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.4_2/term...
============ Train epoch 6 ============
 Site-Clipart                       | Train Loss: 1.6448 | Train Acc: 0.8174
 Site-Clipart                       | Train Loss: 1.5720 | Train Acc: 0.8385
 Site-Clipart                       | Train Loss: 1.6531 | Train Acc: 0.7867
 Site-Clipart                       | Train Loss: 1.5984 | Train Acc: 0.8133
 Site-Clipart                       | Train Loss: 1.6163 | Train Acc: 0.8100
 Site-Real                          | Train Loss: 1.5221 | Train Acc: 0.8730
 Site-Real                          | Train Loss: 1.4407 | Train Acc: 0.9209
 Site-Real                          | Train Loss: 1.4418 | Train Acc: 0.9435
 Site-Real                          | Train Loss: 1.5190 | Train Acc: 0.8879
 Site-Painting                      | Train Loss: 1.6185 | Train Acc: 0.8163
 Site-Painting                      | Train Loss: 1.5479 | Train Acc: 0.8398
 Site-Painting                      | Train Loss: 1.5854 | Train Acc: 0.8201
 Site-Sketch                        | Train Loss: 1.6337 | Train Acc: 0.7225
 Site-Sketch                        | Train Loss: 1.6216 | Train Acc: 0.7603
 Site-QuickDraw                     | Train Loss: 2.1056 | Train Acc: 0.3364
 Site-Infograph                     | Train Loss: 2.0452 | Train Acc: 0.4145
Average Train Accuracy: 0.7751
 Site-Clipart                       | Val  Loss: 1.5092 | Val  Acc: 0.8684
 Site-Clipart                       | Val  Loss: 1.6055 | Val  Acc: 0.7757
 Site-Clipart                       | Val  Loss: 1.6315 | Val  Acc: 0.8133
 Site-Clipart                       | Val  Loss: 1.5832 | Val  Acc: 0.8190
 Site-Clipart                       | Val  Loss: 1.6350 | Val  Acc: 0.7763
 Site-Real                          | Val  Loss: 1.4970 | Val  Acc: 0.8929
 Site-Real                          | Val  Loss: 1.4726 | Val  Acc: 0.9237
 Site-Real                          | Val  Loss: 1.4242 | Val  Acc: 0.9455
 Site-Real                          | Val  Loss: 1.4519 | Val  Acc: 0.9307
 Site-Painting                      | Val  Loss: 1.5530 | Val  Acc: 0.8367
 Site-Painting                      | Val  Loss: 1.5899 | Val  Acc: 0.7591
 Site-Painting                      | Val  Loss: 1.5794 | Val  Acc: 0.8021
 Site-Sketch                        | Val  Loss: 1.6213 | Val  Acc: 0.7480
 Site-Sketch                        | Val  Loss: 1.6480 | Val  Acc: 0.7079
 Site-QuickDraw                     | Val  Loss: 2.1510 | Val  Acc: 0.3119
 Site-Infograph                     | Val  Loss: 1.9893 | Val  Acc: 0.4615
Average Valid Accuracy: 0.7733
 Best site-Clipart                   | Epoch:6 | Val Acc: 0.8684
 Best site-Clipart                   | Epoch:6 | Val Acc: 0.7757
 Best site-Clipart                   | Epoch:6 | Val Acc: 0.8133
 Best site-Clipart                   | Epoch:6 | Val Acc: 0.8190
 Best site-Clipart                   | Epoch:6 | Val Acc: 0.7763
 Best site-Real                      | Epoch:6 | Val Acc: 0.8929
 Best site-Real                      | Epoch:6 | Val Acc: 0.9237
 Best site-Real                      | Epoch:6 | Val Acc: 0.9455
 Best site-Real                      | Epoch:6 | Val Acc: 0.9307
 Best site-Painting                  | Epoch:6 | Val Acc: 0.8367
 Best site-Painting                  | Epoch:6 | Val Acc: 0.7591
