===2023-05-12 09:49:19===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[25,38,57,86,129,194,291,437,63,95,143,215,322,117,176,265,149,223,99,148,165,
client_nums=[8,5,3,2,2,1,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart   | Train Loss: 1.4792 | Train Acc: 0.8000
 Site-Clipart   | Train Loss: 1.4871 | Train Acc: 0.7632
 Site-Clipart   | Train Loss: 1.4986 | Train Acc: 0.8070
 Site-Clipart   | Train Loss: 1.4722 | Train Acc: 0.8140
 Site-Clipart   | Train Loss: 1.4617 | Train Acc: 0.7907
 Site-Clipart   | Train Loss: 1.5102 | Train Acc: 0.7938
 Site-Clipart   | Train Loss: 1.4468 | Train Acc: 0.8076
 Site-Clipart   | Train Loss: 1.4709 | Train Acc: 0.8192
 Site-Real      | Train Loss: 1.2700 | Train Acc: 0.8889
 Site-Real      | Train Loss: 1.2581 | Train Acc: 0.9368
 Site-Real      | Train Loss: 1.2129 | Train Acc: 0.9161
 Site-Real      | Train Loss: 1.1947 | Train Acc: 0.9535
 Site-Real      | Train Loss: 1.1948 | Train Acc: 0.9286
 Site-Painting  | Train Loss: 1.4125 | Train Acc: 0.8462
 Site-Painting  | Train Loss: 1.4071 | Train Acc: 0.8239
 Site-Painting  | Train Loss: 1.3736 | Train Acc: 0.8491
 Site-Sketch    | Train Loss: 1.4826 | Train Acc: 0.7114
 Site-Sketch    | Train Loss: 1.4599 | Train Acc: 0.7399
 Site-QuickDraw | Train Loss: 2.1414 | Train Acc: 0.3030
 Site-QuickDraw | Train Loss: 2.1414 | Train Acc: 0.2905
 Site-Infograph | Train Loss: 2.0392 | Train Acc: 0.3697
 Site-Clipart   | Val  Loss: 1.2806 | Val  Acc: 0.8824
 Site-Clipart   | Val  Loss: 1.2311 | Val  Acc: 0.9200
 Site-Clipart   | Val  Loss: 1.5754 | Val  Acc: 0.7632
 Site-Clipart   | Val  Loss: 1.4914 | Val  Acc: 0.7544
 Site-Clipart   | Val  Loss: 1.4225 | Val  Acc: 0.8256
 Site-Clipart   | Val  Loss: 1.2118 | Val  Acc: 0.8372
 Site-Clipart   | Val  Loss: 1.5340 | Val  Acc: 0.8144
 Site-Clipart   | Val  Loss: 1.4921 | Val  Acc: 0.7904
 Site-Real      | Val  Loss: 1.3159 | Val  Acc: 0.8810
 Site-Real      | Val  Loss: 1.1639 | Val  Acc: 0.9524
 Site-Real      | Val  Loss: 1.2120 | Val  Acc: 0.9684
 Site-Real      | Val  Loss: 1.1978 | Val  Acc: 0.9441
 Site-Real      | Val  Loss: 1.1413 | Val  Acc: 0.9486
 Site-Painting  | Val  Loss: 1.4319 | Val  Acc: 0.7564
 Site-Painting  | Val  Loss: 1.3695 | Val  Acc: 0.8462
 Site-Painting  | Val  Loss: 1.3608 | Val  Acc: 0.8182
 Site-Sketch    | Val  Loss: 1.4436 | Val  Acc: 0.7778
 Site-Sketch    | Val  Loss: 1.4393 | Val  Acc: 0.7230
 Site-QuickDraw | Val  Loss: 2.1153 | Val  Acc: 0.3485
 Site-QuickDraw | Val  Loss: 2.1748 | Val  Acc: 0.2929
