===2023-07-27 00:46:23===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
len_dataset=[2103,1314,821,513,320,200,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 1.4345 | Train Acc: 0.8333
 Site-Clipart                       | Train Loss: 1.7442 | Train Acc: 0.6364
 Site-Clipart                       | Train Loss: 1.3734 | Train Acc: 0.8824
 Site-Clipart                       | Train Loss: 1.5130 | Train Acc: 0.7500
 Site-Clipart                       | Train Loss: 1.4813 | Train Acc: 0.8222
 Site-Clipart                       | Train Loss: 1.4971 | Train Acc: 0.8333
 Site-Clipart                       | Train Loss: 1.4517 | Train Acc: 0.8276
 Site-Clipart                       | Train Loss: 1.5553 | Train Acc: 0.7634
 Site-Clipart                       | Train Loss: 1.4841 | Train Acc: 0.8020
 Site-Clipart                       | Train Loss: 1.4940 | Train Acc: 0.8113
 Site-Real                          | Train Loss: 1.4571 | Train Acc: 0.8333
 Site-Real                          | Train Loss: 1.4073 | Train Acc: 0.8966
 Site-Real                          | Train Loss: 1.3193 | Train Acc: 0.9130
 Site-Real                          | Train Loss: 1.3077 | Train Acc: 0.9189
 Site-Real                          | Train Loss: 1.2947 | Train Acc: 0.9412
 Site-Real                          | Train Loss: 1.2635 | Train Acc: 0.9372
 Site-Real                          | Train Loss: 1.3323 | Train Acc: 0.9314
 Site-Painting                      | Train Loss: 1.5506 | Train Acc: 0.8302
 Site-Painting                      | Train Loss: 1.4194 | Train Acc: 0.8588
 Site-Painting                      | Train Loss: 1.4670 | Train Acc: 0.8088
 Site-Painting                      | Train Loss: 1.4370 | Train Acc: 0.8479
 Site-Sketch                        | Train Loss: 1.4757 | Train Acc: 0.7119
 Site-Sketch                        | Train Loss: 1.6261 | Train Acc: 0.6947
 Site-Sketch                        | Train Loss: 1.5425 | Train Acc: 0.6908
 Site-QuickDraw                     | Train Loss: 2.1274 | Train Acc: 0.2192
 Site-QuickDraw                     | Train Loss: 2.1531 | Train Acc: 0.3220
 Site-Infograph                     | Train Loss: 2.0927 | Train Acc: 0.3417
Average Train Accuracy: 0.7652
 Site-Clipart                       | Val  Loss: 1.1205 | Val  Acc: 1.0000
 Site-Clipart                       | Val  Loss: 1.2544 | Val  Acc: 1.0000
 Site-Clipart                       | Val  Loss: 1.4362 | Val  Acc: 0.8182
 Site-Clipart                       | Val  Loss: 1.4275 | Val  Acc: 0.8889
 Site-Clipart                       | Val  Loss: 1.5385 | Val  Acc: 0.8333
 Site-Clipart                       | Val  Loss: 1.5222 | Val  Acc: 0.8125
 Site-Clipart                       | Val  Loss: 1.5030 | Val  Acc: 0.7922
 Site-Clipart                       | Val  Loss: 1.4880 | Val  Acc: 0.8226
 Site-Clipart                       | Val  Loss: 1.4244 | Val  Acc: 0.8131
 Site-Clipart                       | Val  Loss: 1.5263 | Val  Acc: 0.7830
 Site-Real                          | Val  Loss: 1.2039 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 1.2463 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 1.2947 | Val  Acc: 0.9355
