===2023-05-11 03:43:32===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart   | Train Loss: 1.9955 | Train Acc: 0.5000
 Site-Clipart   | Train Loss: 2.1532 | Train Acc: 0.3636
 Site-Clipart   | Train Loss: 2.0864 | Train Acc: 0.2941
 Site-Clipart   | Train Loss: 2.1878 | Train Acc: 0.1429
 Site-Clipart   | Train Loss: 2.1213 | Train Acc: 0.2222
 Site-Clipart   | Train Loss: 1.9961 | Train Acc: 0.3333
 Site-Clipart   | Train Loss: 2.0966 | Train Acc: 0.2672
 Site-Clipart   | Train Loss: 2.1460 | Train Acc: 0.1667
 Site-Clipart   | Train Loss: 2.0804 | Train Acc: 0.2383
 Site-Clipart   | Train Loss: 2.1059 | Train Acc: 0.2558
 Site-Real      | Train Loss: 2.1434 | Train Acc: 0.2222
 Site-Real      | Train Loss: 2.1139 | Train Acc: 0.2069
 Site-Real      | Train Loss: 2.1113 | Train Acc: 0.2826
 Site-Real      | Train Loss: 2.1990 | Train Acc: 0.2703
 Site-Real      | Train Loss: 2.1061 | Train Acc: 0.2773
 Site-Real      | Train Loss: 2.1015 | Train Acc: 0.3089
 Site-Real      | Train Loss: 2.1126 | Train Acc: 0.2484
 Site-Painting  | Train Loss: 2.2232 | Train Acc: 0.1887
 Site-Painting  | Train Loss: 2.1983 | Train Acc: 0.2588
 Site-Painting  | Train Loss: 2.1822 | Train Acc: 0.2500
 Site-Painting  | Train Loss: 2.1173 | Train Acc: 0.2719
 Site-Sketch    | Train Loss: 2.0482 | Train Acc: 0.3729
 Site-Sketch    | Train Loss: 2.1157 | Train Acc: 0.2526
 Site-Sketch    | Train Loss: 2.1388 | Train Acc: 0.2237
 Site-QuickDraw | Train Loss: 2.2225 | Train Acc: 0.1096
 Site-QuickDraw | Train Loss: 2.3365 | Train Acc: 0.1186
 Site-Infograph | Train Loss: 2.2627 | Train Acc: 0.1583
 Site-Clipart   | Val  Loss: 2.1553 | Val  Acc: 0.2500
 Site-Clipart   | Val  Loss: 1.9792 | Val  Acc: 0.5714
 Site-Clipart   | Val  Loss: 2.1222 | Val  Acc: 0.0909
 Site-Clipart   | Val  Loss: 2.0854 | Val  Acc: 0.3889
 Site-Clipart   | Val  Loss: 2.0976 | Val  Acc: 0.2333
 Site-Clipart   | Val  Loss: 2.0617 | Val  Acc: 0.2500
 Site-Clipart   | Val  Loss: 2.0582 | Val  Acc: 0.2338
 Site-Clipart   | Val  Loss: 2.0716 | Val  Acc: 0.2581
 Site-Clipart   | Val  Loss: 2.0684 | Val  Acc: 0.3081
 Site-Clipart   | Val  Loss: 2.1308 | Val  Acc: 0.2264
 Site-Real      | Val  Loss: 2.1383 | Val  Acc: 0.1667
 Site-Real      | Val  Loss: 2.1701 | Val  Acc: 0.2632
 Site-Real      | Val  Loss: 2.0869 | Val  Acc: 0.3226
 Site-Real      | Val  Loss: 2.0908 | Val  Acc: 0.3061
 Site-Real      | Val  Loss: 2.1297 | Val  Acc: 0.2658
 Site-Real      | Val  Loss: 2.0824 | Val  Acc: 0.2835
 Site-Real      | Val  Loss: 2.1362 | Val  Acc: 0.2941
 Site-Painting  | Val  Loss: 2.1452 | Val  Acc: 0.2000
 Site-Painting  | Val  Loss: 2.0873 | Val  Acc: 0.2857
 Site-Painting  | Val  Loss: 2.1295 | Val  Acc: 0.3000
 Site-Painting  | Val  Loss: 2.2427 | Val  Acc: 0.2207
 Site-Sketch    | Val  Loss: 2.1652 | Val  Acc: 0.1795
 Site-Sketch    | Val  Loss: 2.2109 | Val  Acc: 0.1746
 Site-Sketch    | Val  Loss: 2.1822 | Val  Acc: 0.2772
 Site-QuickDraw | Val  Loss: 2.3416 | Val  Acc: 0.0816
 Site-QuickDraw | Val  Loss: 2.3824 | Val  Acc: 0.1282
 Site-Infograph | Val  Loss: 2.2351 | Val  Acc: 0.1625
Average Valid Accuracy: 0.2490
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2500
 Best site-Clipart    | Epoch:0 | Val Acc: 0.5714
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0909
 Best site-Clipart    | Epoch:0 | Val Acc: 0.3889
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2333
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2500
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2338
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2581
 Best site-Clipart    | Epoch:0 | Val Acc: 0.3081
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2264
 Best site-Real       | Epoch:0 | Val Acc: 0.1667
 Best site-Real       | Epoch:0 | Val Acc: 0.2632
 Best site-Real       | Epoch:0 | Val Acc: 0.3226
 Best site-Real       | Epoch:0 | Val Acc: 0.3061
 Best site-Real       | Epoch:0 | Val Acc: 0.2658
 Best site-Real       | Epoch:0 | Val Acc: 0.2835
 Best site-Real       | Epoch:0 | Val Acc: 0.2941
 Best site-Painting   | Epoch:0 | Val Acc: 0.2000
 Best site-Painting   | Epoch:0 | Val Acc: 0.2857
 Best site-Painting   | Epoch:0 | Val Acc: 0.3000
 Best site-Painting   | Epoch:0 | Val Acc: 0.2207
 Best site-Sketch     | Epoch:0 | Val Acc: 0.1795
 Best site-Sketch     | Epoch:0 | Val Acc: 0.1746
 Best site-Sketch     | Epoch:0 | Val Acc: 0.2772
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.0816
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.1282
 Best site-Infograph  | Epoch:0 | Val Acc: 0.1625
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_1/CoCoOP...
============ Train epoch 1 ============
 Site-Clipart   | Train Loss: 1.9235 | Train Acc: 0.5000
 Site-Clipart   | Train Loss: 1.9455 | Train Acc: 0.5455
 Site-Clipart   | Train Loss: 1.8820 | Train Acc: 0.4118
 Site-Clipart   | Train Loss: 1.9562 | Train Acc: 0.4286
 Site-Clipart   | Train Loss: 1.8603 | Train Acc: 0.5111
 Site-Clipart   | Train Loss: 1.8579 | Train Acc: 0.5139
 Site-Clipart   | Train Loss: 1.8881 | Train Acc: 0.5345
 Site-Clipart   | Train Loss: 1.9632 | Train Acc: 0.4409
 Site-Clipart   | Train Loss: 1.8789 | Train Acc: 0.5101
 Site-Clipart   | Train Loss: 1.9050 | Train Acc: 0.4885
 Site-Real      | Train Loss: 1.8255 | Train Acc: 0.5000
 Site-Real      | Train Loss: 1.9270 | Train Acc: 0.5172
 Site-Real      | Train Loss: 1.8922 | Train Acc: 0.4565
 Site-Real      | Train Loss: 1.9309 | Train Acc: 0.5135
 Site-Real      | Train Loss: 1.8274 | Train Acc: 0.5546
 Site-Real      | Train Loss: 1.8370 | Train Acc: 0.5550
 Site-Real      | Train Loss: 1.8481 | Train Acc: 0.5000
 Site-Painting  | Train Loss: 1.9398 | Train Acc: 0.4906
 Site-Painting  | Train Loss: 1.9053 | Train Acc: 0.4000
 Site-Painting  | Train Loss: 1.9815 | Train Acc: 0.3750
 Site-Painting  | Train Loss: 1.9182 | Train Acc: 0.4516
 Site-Sketch    | Train Loss: 1.8125 | Train Acc: 0.5932
 Site-Sketch    | Train Loss: 1.9305 | Train Acc: 0.4316
 Site-Sketch    | Train Loss: 1.9087 | Train Acc: 0.4408
 Site-QuickDraw | Train Loss: 2.2056 | Train Acc: 0.1233
 Site-QuickDraw | Train Loss: 2.3137 | Train Acc: 0.1441
 Site-Infograph | Train Loss: 2.1986 | Train Acc: 0.2250
 Site-Clipart   | Val  Loss: 1.8803 | Val  Acc: 0.5000
 Site-Clipart   | Val  Loss: 1.7324 | Val  Acc: 0.7143
 Site-Clipart   | Val  Loss: 1.9176 | Val  Acc: 0.6364
 Site-Clipart   | Val  Loss: 1.8905 | Val  Acc: 0.4444
 Site-Clipart   | Val  Loss: 1.8929 | Val  Acc: 0.4667
 Site-Clipart   | Val  Loss: 1.8659 | Val  Acc: 0.5000
 Site-Clipart   | Val  Loss: 1.8532 | Val  Acc: 0.4545
 Site-Clipart   | Val  Loss: 1.8742 | Val  Acc: 0.5161
 Site-Clipart   | Val  Loss: 1.8692 | Val  Acc: 0.4949
 Site-Clipart   | Val  Loss: 1.9370 | Val  Acc: 0.4025
 Site-Real      | Val  Loss: 1.6722 | Val  Acc: 0.6667
 Site-Real      | Val  Loss: 1.8701 | Val  Acc: 0.5789
 Site-Real      | Val  Loss: 1.8000 | Val  Acc: 0.4839
 Site-Real      | Val  Loss: 1.8156 | Val  Acc: 0.5510
 Site-Real      | Val  Loss: 1.8685 | Val  Acc: 0.5316
 Site-Real      | Val  Loss: 1.8137 | Val  Acc: 0.5591
 Site-Real      | Val  Loss: 1.8384 | Val  Acc: 0.5392
 Site-Painting  | Val  Loss: 1.9183 | Val  Acc: 0.3714
