===2023-05-13 15:04:58===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 2
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
len_dataset=[2103,1314,821,513,320,200,]
label set of clients: [5, 7, 9, 10, 10, 10, 10, 10, 10, 10, 9, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, ]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart         | Train Loss: 2.2609 | Train Acc: 0.0000
 Site-Clipart         | Train Loss: 2.2668 | Train Acc: 0.1818
 Site-Clipart         | Train Loss: 2.2755 | Train Acc: 0.2353
 Site-Clipart         | Train Loss: 2.3386 | Train Acc: 0.1429
 Site-Clipart         | Train Loss: 2.2802 | Train Acc: 0.2000
 Site-Clipart         | Train Loss: 2.2783 | Train Acc: 0.1250
 Site-Clipart         | Train Loss: 2.3042 | Train Acc: 0.1724
 Site-Clipart         | Train Loss: 2.3017 | Train Acc: 0.1075
 Site-Clipart         | Train Loss: 2.2814 | Train Acc: 0.1678
 Site-Clipart         | Train Loss: 2.2931 | Train Acc: 0.1488
 Site-Real            | Train Loss: 2.2916 | Train Acc: 0.2222
 Site-Real            | Train Loss: 2.2876 | Train Acc: 0.0345
 Site-Real            | Train Loss: 2.3089 | Train Acc: 0.1739
 Site-Real            | Train Loss: 2.2794 | Train Acc: 0.0541
 Site-Real            | Train Loss: 2.2894 | Train Acc: 0.1092
 Site-Real            | Train Loss: 2.3032 | Train Acc: 0.0838
 Site-Real            | Train Loss: 2.2922 | Train Acc: 0.1144
 Site-Painting        | Train Loss: 2.2795 | Train Acc: 0.1698
 Site-Painting        | Train Loss: 2.2751 | Train Acc: 0.1765
 Site-Painting        | Train Loss: 2.2931 | Train Acc: 0.1029
 Site-Painting        | Train Loss: 2.2833 | Train Acc: 0.1429
 Site-Sketch          | Train Loss: 2.3033 | Train Acc: 0.1017
 Site-Sketch          | Train Loss: 2.3101 | Train Acc: 0.0842
 Site-Sketch          | Train Loss: 2.3058 | Train Acc: 0.1053
 Site-QuickDraw       | Train Loss: 2.2769 | Train Acc: 0.1096
 Site-QuickDraw       | Train Loss: 2.3256 | Train Acc: 0.0678
 Site-Infograph       | Train Loss: 2.3075 | Train Acc: 0.1250
 Site-Clipart         | Val  Loss: 2.2113 | Val  Acc: 0.5000
 Site-Clipart         | Val  Loss: 2.2409 | Val  Acc: 0.4286
 Site-Clipart         | Val  Loss: 2.2564 | Val  Acc: 0.2727
 Site-Clipart         | Val  Loss: 2.2929 | Val  Acc: 0.1667
 Site-Clipart         | Val  Loss: 2.2939 | Val  Acc: 0.1000
 Site-Clipart         | Val  Loss: 2.2741 | Val  Acc: 0.1667
 Site-Clipart         | Val  Loss: 2.2823 | Val  Acc: 0.1558
 Site-Clipart         | Val  Loss: 2.2861 | Val  Acc: 0.1210
 Site-Clipart         | Val  Loss: 2.2898 | Val  Acc: 0.1111
