===2023-05-11 05:51:29===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart   | Train Loss: 1.5683 | Train Acc: 0.6667
 Site-Clipart   | Train Loss: 1.7192 | Train Acc: 0.6364
 Site-Clipart   | Train Loss: 1.3109 | Train Acc: 0.9412
 Site-Clipart   | Train Loss: 1.5680 | Train Acc: 0.6429
 Site-Clipart   | Train Loss: 1.4404 | Train Acc: 0.8444
 Site-Clipart   | Train Loss: 1.6306 | Train Acc: 0.7917
 Site-Clipart   | Train Loss: 1.4475 | Train Acc: 0.8448
 Site-Clipart   | Train Loss: 1.5543 | Train Acc: 0.7634
 Site-Clipart   | Train Loss: 1.4767 | Train Acc: 0.8054
 Site-Clipart   | Train Loss: 1.4582 | Train Acc: 0.8323
 Site-Real      | Train Loss: 1.4934 | Train Acc: 0.7778
 Site-Real      | Train Loss: 1.3630 | Train Acc: 0.8621
 Site-Real      | Train Loss: 1.2922 | Train Acc: 0.9565
 Site-Real      | Train Loss: 1.4048 | Train Acc: 0.8919
 Site-Real      | Train Loss: 1.3233 | Train Acc: 0.9160
 Site-Real      | Train Loss: 1.2547 | Train Acc: 0.9319
 Site-Real      | Train Loss: 1.3234 | Train Acc: 0.9150
 Site-Painting  | Train Loss: 1.5398 | Train Acc: 0.7736
 Site-Painting  | Train Loss: 1.4311 | Train Acc: 0.8588
 Site-Painting  | Train Loss: 1.5026 | Train Acc: 0.8015
 Site-Painting  | Train Loss: 1.4358 | Train Acc: 0.8341
 Site-Sketch    | Train Loss: 1.4454 | Train Acc: 0.8136
 Site-Sketch    | Train Loss: 1.5401 | Train Acc: 0.7053
 Site-Sketch    | Train Loss: 1.5594 | Train Acc: 0.6908
 Site-QuickDraw | Train Loss: 2.1549 | Train Acc: 0.2603
 Site-QuickDraw | Train Loss: 2.2068 | Train Acc: 0.2119
 Site-Infograph | Train Loss: 2.0444 | Train Acc: 0.3833
 Site-Clipart   | Val  Loss: 1.1525 | Val  Acc: 1.0000
 Site-Clipart   | Val  Loss: 1.2651 | Val  Acc: 1.0000
 Site-Clipart   | Val  Loss: 1.4138 | Val  Acc: 0.8182
 Site-Clipart   | Val  Loss: 1.5026 | Val  Acc: 0.8333
 Site-Clipart   | Val  Loss: 1.4928 | Val  Acc: 0.7667
 Site-Clipart   | Val  Loss: 1.5240 | Val  Acc: 0.7500
 Site-Clipart   | Val  Loss: 1.5284 | Val  Acc: 0.8182
 Site-Clipart   | Val  Loss: 1.4675 | Val  Acc: 0.8145
 Site-Clipart   | Val  Loss: 1.4292 | Val  Acc: 0.7929
 Site-Clipart   | Val  Loss: 1.5042 | Val  Acc: 0.7893
 Site-Real      | Val  Loss: 1.1952 | Val  Acc: 0.9167
 Site-Real      | Val  Loss: 1.2014 | Val  Acc: 1.0000
 Site-Real      | Val  Loss: 1.2833 | Val  Acc: 0.9677
 Site-Real      | Val  Loss: 1.3025 | Val  Acc: 0.9388
 Site-Real      | Val  Loss: 1.2995 | Val  Acc: 0.9367
 Site-Real      | Val  Loss: 1.2667 | Val  Acc: 0.9528
 Site-Real      | Val  Loss: 1.2605 | Val  Acc: 0.9314
