===2023-06-05 03:58:37===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
len_dataset=[2103,1314,821,513,320,200,]
label set of clients: [5, 7, 9, 10, 10, 10, 10, 10, 10, 10, 9, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, ]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                  | Train Loss: 2.2489 | Train Acc: 0.0000
 Site-Clipart                  | Train Loss: 2.2580 | Train Acc: 0.2727
 Site-Clipart                  | Train Loss: 2.2629 | Train Acc: 0.2941
 Site-Clipart                  | Train Loss: 2.3275 | Train Acc: 0.1429
 Site-Clipart                  | Train Loss: 2.2783 | Train Acc: 0.2000
 Site-Clipart                  | Train Loss: 2.2715 | Train Acc: 0.1250
 Site-Clipart                  | Train Loss: 2.2889 | Train Acc: 0.2069
 Site-Clipart                  | Train Loss: 2.2913 | Train Acc: 0.1398
 Site-Clipart                  | Train Loss: 2.2716 | Train Acc: 0.1879
 Site-Clipart                  | Train Loss: 2.2810 | Train Acc: 0.1719
 Site-Real                     | Train Loss: 2.2801 | Train Acc: 0.2222
 Site-Real                     | Train Loss: 2.2760 | Train Acc: 0.0345
 Site-Real                     | Train Loss: 2.2877 | Train Acc: 0.1957
 Site-Real                     | Train Loss: 2.2729 | Train Acc: 0.0811
 Site-Real                     | Train Loss: 2.2763 | Train Acc: 0.1345
 Site-Real                     | Train Loss: 2.2892 | Train Acc: 0.1309
 Site-Real                     | Train Loss: 2.2805 | Train Acc: 0.1569
 Site-Painting                 | Train Loss: 2.2698 | Train Acc: 0.1887
 Site-Painting                 | Train Loss: 2.2684 | Train Acc: 0.1882
 Site-Painting                 | Train Loss: 2.2778 | Train Acc: 0.1324
 Site-Painting                 | Train Loss: 2.2695 | Train Acc: 0.1982
 Site-Sketch                   | Train Loss: 2.2926 | Train Acc: 0.1186
 Site-Sketch                   | Train Loss: 2.3004 | Train Acc: 0.1053
 Site-Sketch                   | Train Loss: 2.2961 | Train Acc: 0.1250
 Site-QuickDraw                | Train Loss: 2.2832 | Train Acc: 0.1096
 Site-QuickDraw                | Train Loss: 2.3235 | Train Acc: 0.0847
 Site-Infograph                | Train Loss: 2.3044 | Train Acc: 0.1250
 Site-Clipart                       | Val  Loss: 2.1973 | Val  Acc: 0.5000
 Site-Clipart                       | Val  Loss: 2.2241 | Val  Acc: 0.4286
 Site-Clipart                       | Val  Loss: 2.2426 | Val  Acc: 0.4545
 Site-Clipart                       | Val  Loss: 2.2811 | Val  Acc: 0.1667
 Site-Clipart                       | Val  Loss: 2.2829 | Val  Acc: 0.1000
 Site-Clipart                       | Val  Loss: 2.2571 | Val  Acc: 0.1875
 Site-Clipart                       | Val  Loss: 2.2765 | Val  Acc: 0.1818
 Site-Clipart                       | Val  Loss: 2.2748 | Val  Acc: 0.1371
 Site-Clipart                       | Val  Loss: 2.2774 | Val  Acc: 0.1515
 Site-Clipart                       | Val  Loss: 2.2780 | Val  Acc: 0.1667
