===2023-06-19 21:26:38===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
len_dataset=[2103,1314,821,513,320,200,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.2375 | Train Acc: 0.3333
 Site-Clipart                       | Train Loss: 2.3027 | Train Acc: 0.0909
 Site-Clipart                       | Train Loss: 2.2391 | Train Acc: 0.1765
 Site-Clipart                       | Train Loss: 2.3046 | Train Acc: 0.0714
 Site-Clipart                       | Train Loss: 2.2655 | Train Acc: 0.1333
 Site-Clipart                       | Train Loss: 2.2745 | Train Acc: 0.0972
 Site-Clipart                       | Train Loss: 2.2887 | Train Acc: 0.0948
 Site-Clipart                       | Train Loss: 2.2862 | Train Acc: 0.1237
 Site-Clipart                       | Train Loss: 2.2919 | Train Acc: 0.0973
 Site-Clipart                       | Train Loss: 2.2802 | Train Acc: 0.1300
 Site-Real                          | Train Loss: 2.3396 | Train Acc: 0.0556
 Site-Real                          | Train Loss: 2.2553 | Train Acc: 0.1724
 Site-Real                          | Train Loss: 2.2693 | Train Acc: 0.1957
 Site-Real                          | Train Loss: 2.2841 | Train Acc: 0.1216
 Site-Real                          | Train Loss: 2.2893 | Train Acc: 0.1513
 Site-Real                          | Train Loss: 2.2701 | Train Acc: 0.1885
 Site-Real                          | Train Loss: 2.2785 | Train Acc: 0.1634
 Site-Painting                      | Train Loss: 2.2609 | Train Acc: 0.1887
 Site-Painting                      | Train Loss: 2.2714 | Train Acc: 0.1882
 Site-Painting                      | Train Loss: 2.2520 | Train Acc: 0.1691
 Site-Painting                      | Train Loss: 2.2885 | Train Acc: 0.1521
 Site-Sketch                        | Train Loss: 2.2938 | Train Acc: 0.0847
 Site-Sketch                        | Train Loss: 2.2975 | Train Acc: 0.1158
 Site-Sketch                        | Train Loss: 2.2873 | Train Acc: 0.1184
 Site-QuickDraw                     | Train Loss: 2.2683 | Train Acc: 0.1233
 Site-QuickDraw                     | Train Loss: 2.3145 | Train Acc: 0.0932
 Site-Infograph                     | Train Loss: 2.2949 | Train Acc: 0.1000
Average Train Accuracy: 0.1382
 Site-Clipart                       | Val  Loss: 2.2499 | Val  Acc: 0.2500
 Site-Clipart                       | Val  Loss: 2.2628 | Val  Acc: 0.2857
 Site-Clipart                       | Val  Loss: 2.3148 | Val  Acc: 0.1818
 Site-Clipart                       | Val  Loss: 2.2977 | Val  Acc: 0.0556
 Site-Clipart                       | Val  Loss: 2.2919 | Val  Acc: 0.0667
 Site-Clipart                       | Val  Loss: 2.2793 | Val  Acc: 0.1667
 Site-Clipart                       | Val  Loss: 2.2692 | Val  Acc: 0.1169
 Site-Clipart                       | Val  Loss: 2.2790 | Val  Acc: 0.1371
 Site-Clipart                       | Val  Loss: 2.2696 | Val  Acc: 0.1263
 Site-Clipart                       | Val  Loss: 2.2861 | Val  Acc: 0.1164
 Site-Real                          | Val  Loss: 2.2744 | Val  Acc: 0.0000
 Site-Real                          | Val  Loss: 2.2767 | Val  Acc: 0.1579
 Site-Real                          | Val  Loss: 2.2814 | Val  Acc: 0.1935
 Site-Real                          | Val  Loss: 2.2776 | Val  Acc: 0.2449
 Site-Real                          | Val  Loss: 2.2919 | Val  Acc: 0.2025
 Site-Real                          | Val  Loss: 2.2720 | Val  Acc: 0.1969
 Site-Real                          | Val  Loss: 2.2750 | Val  Acc: 0.1618
 Site-Painting                      | Val  Loss: 2.2723 | Val  Acc: 0.1429
 Site-Painting                      | Val  Loss: 2.2850 | Val  Acc: 0.1607
 Site-Painting                      | Val  Loss: 2.2808 | Val  Acc: 0.1444
 Site-Painting                      | Val  Loss: 2.2818 | Val  Acc: 0.1862
 Site-Sketch                        | Val  Loss: 2.2884 | Val  Acc: 0.0513
 Site-Sketch                        | Val  Loss: 2.2962 | Val  Acc: 0.1111
 Site-Sketch                        | Val  Loss: 2.2810 | Val  Acc: 0.1485
 Site-QuickDraw                     | Val  Loss: 2.3373 | Val  Acc: 0.0408
 Site-QuickDraw                     | Val  Loss: 2.3172 | Val  Acc: 0.0641
 Site-Infograph                     | Val  Loss: 2.2758 | Val  Acc: 0.1250
Average Valid Accuracy: 0.1421
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2500
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2857
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1818
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.0556
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.0667
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1667
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1169
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1371
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1263
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1164
 Best site-Real                      | Epoch:0 | Val Acc: 0.0000
 Best site-Real                      | Epoch:0 | Val Acc: 0.1579
 Best site-Real                      | Epoch:0 | Val Acc: 0.1935
 Best site-Real                      | Epoch:0 | Val Acc: 0.2449
 Best site-Real                      | Epoch:0 | Val Acc: 0.2025
 Best site-Real                      | Epoch:0 | Val Acc: 0.1969
 Best site-Real                      | Epoch:0 | Val Acc: 0.1618
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1429
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1607
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1444
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1862
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.0513
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.1111
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.1485
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.0408
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.0641
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.1250
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_1/fedmgda...
============ Train epoch 1 ============
 Site-Clipart                       | Train Loss: 2.2094 | Train Acc: 0.6667
 Site-Clipart                       | Train Loss: 2.2940 | Train Acc: 0.0909
 Site-Clipart                       | Train Loss: 2.2281 | Train Acc: 0.2353
 Site-Clipart                       | Train Loss: 2.3071 | Train Acc: 0.1071
 Site-Clipart                       | Train Loss: 2.2677 | Train Acc: 0.1556
 Site-Clipart                       | Train Loss: 2.2925 | Train Acc: 0.1389
 Site-Clipart                       | Train Loss: 2.2866 | Train Acc: 0.1121
