===2023-07-01 03:48:39===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
len_dataset=[2103,1314,821,513,320,200,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.2367 | Train Acc: 0.3333
 Site-Clipart                       | Train Loss: 2.3057 | Train Acc: 0.0909
 Site-Clipart                       | Train Loss: 2.2404 | Train Acc: 0.1765
 Site-Clipart                       | Train Loss: 2.3087 | Train Acc: 0.0714
 Site-Clipart                       | Train Loss: 2.2675 | Train Acc: 0.1333
 Site-Clipart                       | Train Loss: 2.2773 | Train Acc: 0.0833
 Site-Clipart                       | Train Loss: 2.2902 | Train Acc: 0.0862
 Site-Clipart                       | Train Loss: 2.2887 | Train Acc: 0.1075
 Site-Clipart                       | Train Loss: 2.2938 | Train Acc: 0.0940
 Site-Clipart                       | Train Loss: 2.2825 | Train Acc: 0.1279
 Site-Real                          | Train Loss: 2.3421 | Train Acc: 0.0556
 Site-Real                          | Train Loss: 2.2579 | Train Acc: 0.1724
 Site-Real                          | Train Loss: 2.2714 | Train Acc: 0.1957
 Site-Real                          | Train Loss: 2.2857 | Train Acc: 0.1351
 Site-Real                          | Train Loss: 2.2919 | Train Acc: 0.1513
 Site-Real                          | Train Loss: 2.2725 | Train Acc: 0.1728
 Site-Real                          | Train Loss: 2.2808 | Train Acc: 0.1536
 Site-Painting                      | Train Loss: 2.2613 | Train Acc: 0.1698
 Site-Painting                      | Train Loss: 2.2712 | Train Acc: 0.1882
 Site-Painting                      | Train Loss: 2.2547 | Train Acc: 0.1618
 Site-Painting                      | Train Loss: 2.2905 | Train Acc: 0.1521
 Site-Sketch                        | Train Loss: 2.2954 | Train Acc: 0.0847
 Site-Sketch                        | Train Loss: 2.2996 | Train Acc: 0.1053
 Site-Sketch                        | Train Loss: 2.2891 | Train Acc: 0.1184
 Site-QuickDraw                     | Train Loss: 2.2704 | Train Acc: 0.1233
 Site-QuickDraw                     | Train Loss: 2.3162 | Train Acc: 0.1102
 Site-Infograph                     | Train Loss: 2.2958 | Train Acc: 0.1000
Average Train Accuracy: 0.1354
 Site-Clipart                       | Val  Loss: 2.2547 | Val  Acc: 0.2500
 Site-Clipart                       | Val  Loss: 2.2637 | Val  Acc: 0.2857
 Site-Clipart                       | Val  Loss: 2.3150 | Val  Acc: 0.1818
 Site-Clipart                       | Val  Loss: 2.2998 | Val  Acc: 0.0000
 Site-Clipart                       | Val  Loss: 2.2935 | Val  Acc: 0.1000
 Site-Clipart                       | Val  Loss: 2.2826 | Val  Acc: 0.1875
 Site-Clipart                       | Val  Loss: 2.2726 | Val  Acc: 0.1039
 Site-Clipart                       | Val  Loss: 2.2811 | Val  Acc: 0.1371
