===2023-06-21 14:14:21===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
len_dataset=[2103,1314,821,513,320,200,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.2283 | Train Acc: 0.3333
 Site-Clipart                       | Train Loss: 2.2971 | Train Acc: 0.0909
 Site-Clipart                       | Train Loss: 2.2265 | Train Acc: 0.2353
 Site-Clipart                       | Train Loss: 2.2955 | Train Acc: 0.0714
 Site-Clipart                       | Train Loss: 2.2542 | Train Acc: 0.1333
 Site-Clipart                       | Train Loss: 2.2666 | Train Acc: 0.1667
 Site-Clipart                       | Train Loss: 2.2775 | Train Acc: 0.1207
 Site-Clipart                       | Train Loss: 2.2764 | Train Acc: 0.1290
 Site-Clipart                       | Train Loss: 2.2810 | Train Acc: 0.1208
 Site-Clipart                       | Train Loss: 2.2689 | Train Acc: 0.1530
 Site-Real                          | Train Loss: 2.3290 | Train Acc: 0.0556
 Site-Real                          | Train Loss: 2.2442 | Train Acc: 0.2069
 Site-Real                          | Train Loss: 2.2567 | Train Acc: 0.2609
 Site-Real                          | Train Loss: 2.2729 | Train Acc: 0.1216
 Site-Real                          | Train Loss: 2.2768 | Train Acc: 0.1765
 Site-Real                          | Train Loss: 2.2570 | Train Acc: 0.2094
 Site-Real                          | Train Loss: 2.2660 | Train Acc: 0.1863
 Site-Painting                      | Train Loss: 2.2516 | Train Acc: 0.1887
 Site-Painting                      | Train Loss: 2.2606 | Train Acc: 0.2118
 Site-Painting                      | Train Loss: 2.2424 | Train Acc: 0.1912
 Site-Painting                      | Train Loss: 2.2773 | Train Acc: 0.1797
 Site-Sketch                        | Train Loss: 2.2828 | Train Acc: 0.0847
 Site-Sketch                        | Train Loss: 2.2878 | Train Acc: 0.1368
 Site-Sketch                        | Train Loss: 2.2783 | Train Acc: 0.1382
 Site-QuickDraw                     | Train Loss: 2.2681 | Train Acc: 0.1233
 Site-QuickDraw                     | Train Loss: 2.3137 | Train Acc: 0.1017
 Site-Infograph                     | Train Loss: 2.2924 | Train Acc: 0.1083
Average Train Accuracy: 0.1569
 Site-Clipart                       | Val  Loss: 2.2381 | Val  Acc: 0.2500
 Site-Clipart                       | Val  Loss: 2.2491 | Val  Acc: 0.2857
 Site-Clipart                       | Val  Loss: 2.3035 | Val  Acc: 0.2727
 Site-Clipart                       | Val  Loss: 2.2868 | Val  Acc: 0.0556
 Site-Clipart                       | Val  Loss: 2.2806 | Val  Acc: 0.1333
 Site-Clipart                       | Val  Loss: 2.2690 | Val  Acc: 0.1875
 Site-Clipart                       | Val  Loss: 2.2598 | Val  Acc: 0.1299
 Site-Clipart                       | Val  Loss: 2.2679 | Val  Acc: 0.1694
 Site-Clipart                       | Val  Loss: 2.2582 | Val  Acc: 0.1667
 Site-Clipart                       | Val  Loss: 2.2756 | Val  Acc: 0.1415
 Site-Real                          | Val  Loss: 2.2606 | Val  Acc: 0.0000
 Site-Real                          | Val  Loss: 2.2640 | Val  Acc: 0.1579
 Site-Real                          | Val  Loss: 2.2681 | Val  Acc: 0.1935
 Site-Real                          | Val  Loss: 2.2649 | Val  Acc: 0.2449
 Site-Real                          | Val  Loss: 2.2793 | Val  Acc: 0.2278
 Site-Real                          | Val  Loss: 2.2588 | Val  Acc: 0.2283
 Site-Real                          | Val  Loss: 2.2618 | Val  Acc: 0.1863
 Site-Painting                      | Val  Loss: 2.2614 | Val  Acc: 0.1429
 Site-Painting                      | Val  Loss: 2.2731 | Val  Acc: 0.2143
 Site-Painting                      | Val  Loss: 2.2686 | Val  Acc: 0.1778
 Site-Painting                      | Val  Loss: 2.2717 | Val  Acc: 0.1931
 Site-Sketch                        | Val  Loss: 2.2797 | Val  Acc: 0.1026
 Site-Sketch                        | Val  Loss: 2.2870 | Val  Acc: 0.1270
 Site-Sketch                        | Val  Loss: 2.2714 | Val  Acc: 0.1683
 Site-QuickDraw                     | Val  Loss: 2.3366 | Val  Acc: 0.0408
 Site-QuickDraw                     | Val  Loss: 2.3160 | Val  Acc: 0.0641
 Site-Infograph                     | Val  Loss: 2.2716 | Val  Acc: 0.1250
Average Valid Accuracy: 0.1625
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2500
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2857
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2727
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.0556
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1333
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1875
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1299
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1694
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1667
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1415
 Best site-Real                      | Epoch:0 | Val Acc: 0.0000
 Best site-Real                      | Epoch:0 | Val Acc: 0.1579
 Best site-Real                      | Epoch:0 | Val Acc: 0.1935
 Best site-Real                      | Epoch:0 | Val Acc: 0.2449
 Best site-Real                      | Epoch:0 | Val Acc: 0.2278
 Best site-Real                      | Epoch:0 | Val Acc: 0.2283
 Best site-Real                      | Epoch:0 | Val Acc: 0.1863
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1429
 Best site-Painting                  | Epoch:0 | Val Acc: 0.2143
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1778
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1931
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.1026
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.1270
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.1683
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.0408
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.0641
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.1250
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_1/gifair...
============ Train epoch 1 ============
 Site-Clipart                       | Train Loss: 2.1894 | Train Acc: 0.6667
 Site-Clipart                       | Train Loss: 2.2782 | Train Acc: 0.0909
 Site-Clipart                       | Train Loss: 2.2042 | Train Acc: 0.2941
 Site-Clipart                       | Train Loss: 2.2887 | Train Acc: 0.1429
 Site-Clipart                       | Train Loss: 2.2450 | Train Acc: 0.1778
 Site-Clipart                       | Train Loss: 2.2727 | Train Acc: 0.1806
 Site-Clipart                       | Train Loss: 2.2644 | Train Acc: 0.1724
 Site-Clipart                       | Train Loss: 2.2657 | Train Acc: 0.1344
 Site-Clipart                       | Train Loss: 2.2586 | Train Acc: 0.1678
 Site-Clipart                       | Train Loss: 2.2567 | Train Acc: 0.1740
 Site-Real                          | Train Loss: 2.3190 | Train Acc: 0.1111
 Site-Real                          | Train Loss: 2.2248 | Train Acc: 0.2069
 Site-Real                          | Train Loss: 2.2470 | Train Acc: 0.2609
 Site-Real                          | Train Loss: 2.2374 | Train Acc: 0.1216
 Site-Real                          | Train Loss: 2.2537 | Train Acc: 0.2353
 Site-Real                          | Train Loss: 2.2427 | Train Acc: 0.2251
 Site-Real                          | Train Loss: 2.2464 | Train Acc: 0.2386
 Site-Painting                      | Train Loss: 2.2348 | Train Acc: 0.1887
 Site-Painting                      | Train Loss: 2.2368 | Train Acc: 0.2588
 Site-Painting                      | Train Loss: 2.2556 | Train Acc: 0.2426
 Site-Painting                      | Train Loss: 2.2730 | Train Acc: 0.1705
 Site-Sketch                        | Train Loss: 2.2611 | Train Acc: 0.1356
 Site-Sketch                        | Train Loss: 2.2768 | Train Acc: 0.1474
 Site-Sketch                        | Train Loss: 2.2571 | Train Acc: 0.1842
 Site-QuickDraw                     | Train Loss: 2.3172 | Train Acc: 0.0959
 Site-QuickDraw                     | Train Loss: 2.3161 | Train Acc: 0.0763
 Site-Infograph                     | Train Loss: 2.2975 | Train Acc: 0.0750
Average Train Accuracy: 0.1917
 Site-Clipart                       | Val  Loss: 2.2803 | Val  Acc: 0.0000
 Site-Clipart                       | Val  Loss: 2.2385 | Val  Acc: 0.2857
 Site-Clipart                       | Val  Loss: 2.2898 | Val  Acc: 0.2727
 Site-Clipart                       | Val  Loss: 2.2862 | Val  Acc: 0.1667
 Site-Clipart                       | Val  Loss: 2.2795 | Val  Acc: 0.1000
 Site-Clipart                       | Val  Loss: 2.2651 | Val  Acc: 0.1875
