===2023-06-22 17:59:05===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
len_dataset=[2103,1314,821,513,320,200,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.2347 | Train Acc: 0.3333
 Site-Clipart                       | Train Loss: 2.3012 | Train Acc: 0.0909
 Site-Clipart                       | Train Loss: 2.2341 | Train Acc: 0.1765
 Site-Clipart                       | Train Loss: 2.3011 | Train Acc: 0.0714
 Site-Clipart                       | Train Loss: 2.2609 | Train Acc: 0.1333
 Site-Clipart                       | Train Loss: 2.2716 | Train Acc: 0.1111
 Site-Clipart                       | Train Loss: 2.2842 | Train Acc: 0.1034
 Site-Clipart                       | Train Loss: 2.2822 | Train Acc: 0.1237
 Site-Clipart                       | Train Loss: 2.2874 | Train Acc: 0.1074
 Site-Clipart                       | Train Loss: 2.2755 | Train Acc: 0.1405
 Site-Real                          | Train Loss: 2.3355 | Train Acc: 0.0556
 Site-Real                          | Train Loss: 2.2509 | Train Acc: 0.2069
 Site-Real                          | Train Loss: 2.2641 | Train Acc: 0.2391
 Site-Real                          | Train Loss: 2.2795 | Train Acc: 0.1216
 Site-Real                          | Train Loss: 2.2842 | Train Acc: 0.1513
 Site-Real                          | Train Loss: 2.2648 | Train Acc: 0.1937
 Site-Real                          | Train Loss: 2.2734 | Train Acc: 0.1732
 Site-Painting                      | Train Loss: 2.2571 | Train Acc: 0.1887
 Site-Painting                      | Train Loss: 2.2670 | Train Acc: 0.1882
 Site-Painting                      | Train Loss: 2.2480 | Train Acc: 0.1765
 Site-Painting                      | Train Loss: 2.2839 | Train Acc: 0.1567
 Site-Sketch                        | Train Loss: 2.2893 | Train Acc: 0.0847
 Site-Sketch                        | Train Loss: 2.2935 | Train Acc: 0.1263
 Site-Sketch                        | Train Loss: 2.2837 | Train Acc: 0.1250
 Site-QuickDraw                     | Train Loss: 2.2688 | Train Acc: 0.1233
 Site-QuickDraw                     | Train Loss: 2.3148 | Train Acc: 0.0932
 Site-Infograph                     | Train Loss: 2.2942 | Train Acc: 0.1000
Average Train Accuracy: 0.1443
 Site-Clipart                       | Val  Loss: 2.2454 | Val  Acc: 0.2500
 Site-Clipart                       | Val  Loss: 2.2573 | Val  Acc: 0.2857
 Site-Clipart                       | Val  Loss: 2.3101 | Val  Acc: 0.2727
 Site-Clipart                       | Val  Loss: 2.2931 | Val  Acc: 0.0556
 Site-Clipart                       | Val  Loss: 2.2872 | Val  Acc: 0.0667
 Site-Clipart                       | Val  Loss: 2.2752 | Val  Acc: 0.1875
 Site-Clipart                       | Val  Loss: 2.2655 | Val  Acc: 0.1039
 Site-Clipart                       | Val  Loss: 2.2745 | Val  Acc: 0.1613
 Site-Clipart                       | Val  Loss: 2.2649 | Val  Acc: 0.1414
 Site-Clipart                       | Val  Loss: 2.2818 | Val  Acc: 0.1289
 Site-Real                          | Val  Loss: 2.2688 | Val  Acc: 0.0000
 Site-Real                          | Val  Loss: 2.2717 | Val  Acc: 0.1579
 Site-Real                          | Val  Loss: 2.2759 | Val  Acc: 0.1935
 Site-Real                          | Val  Loss: 2.2724 | Val  Acc: 0.2449
 Site-Real                          | Val  Loss: 2.2868 | Val  Acc: 0.2152
 Site-Real                          | Val  Loss: 2.2666 | Val  Acc: 0.2047
 Site-Real                          | Val  Loss: 2.2696 | Val  Acc: 0.1667
 Site-Painting                      | Val  Loss: 2.2678 | Val  Acc: 0.1429
 Site-Painting                      | Val  Loss: 2.2800 | Val  Acc: 0.1607
 Site-Painting                      | Val  Loss: 2.2758 | Val  Acc: 0.1556
 Site-Painting                      | Val  Loss: 2.2777 | Val  Acc: 0.1862
 Site-Sketch                        | Val  Loss: 2.2850 | Val  Acc: 0.0769
 Site-Sketch                        | Val  Loss: 2.2924 | Val  Acc: 0.1270
 Site-Sketch                        | Val  Loss: 2.2770 | Val  Acc: 0.1485
 Site-QuickDraw                     | Val  Loss: 2.3376 | Val  Acc: 0.0408
 Site-QuickDraw                     | Val  Loss: 2.3173 | Val  Acc: 0.0641
 Site-Infograph                     | Val  Loss: 2.2743 | Val  Acc: 0.1250
Average Valid Accuracy: 0.1505
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2500
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2857
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2727
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.0556
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.0667
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1875
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1039
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1613
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1414
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1289
 Best site-Real                      | Epoch:0 | Val Acc: 0.0000
 Best site-Real                      | Epoch:0 | Val Acc: 0.1579
 Best site-Real                      | Epoch:0 | Val Acc: 0.1935
 Best site-Real                      | Epoch:0 | Val Acc: 0.2449
 Best site-Real                      | Epoch:0 | Val Acc: 0.2152
 Best site-Real                      | Epoch:0 | Val Acc: 0.2047
 Best site-Real                      | Epoch:0 | Val Acc: 0.1667
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1429
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1607
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1556
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1862
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.0769
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.1270
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.1485
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.0408
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.0641
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.1250
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_1/propfair...
============ Train epoch 1 ============
 Site-Clipart                       | Train Loss: 2.2033 | Train Acc: 0.6667
 Site-Clipart                       | Train Loss: 2.2891 | Train Acc: 0.0909
 Site-Clipart                       | Train Loss: 2.2187 | Train Acc: 0.2353
 Site-Clipart                       | Train Loss: 2.3001 | Train Acc: 0.1071
 Site-Clipart                       | Train Loss: 2.2583 | Train Acc: 0.1556
 Site-Clipart                       | Train Loss: 2.2848 | Train Acc: 0.1667
 Site-Clipart                       | Train Loss: 2.2775 | Train Acc: 0.1379
 Site-Clipart                       | Train Loss: 2.2774 | Train Acc: 0.1075
 Site-Clipart                       | Train Loss: 2.2713 | Train Acc: 0.1342
 Site-Clipart                       | Train Loss: 2.2694 | Train Acc: 0.1488
 Site-Real                          | Train Loss: 2.3319 | Train Acc: 0.0556
 Site-Real                          | Train Loss: 2.2380 | Train Acc: 0.2069
 Site-Real                          | Train Loss: 2.2616 | Train Acc: 0.2609
 Site-Real                          | Train Loss: 2.2522 | Train Acc: 0.0946
 Site-Real                          | Train Loss: 2.2683 | Train Acc: 0.1765
 Site-Real                          | Train Loss: 2.2580 | Train Acc: 0.1832
