===2023-06-05 03:27:37===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
len_dataset=[2103,1314,821,513,320,200,]
label set of clients: [5, 7, 9, 10, 10, 10, 10, 10, 10, 10, 9, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, ]
domain number = 6
============ Train epoch 0 ============
denominator: 62119.88671875
 Site-Clipart                  | Train Loss: 2.2599 | Train Acc: 0.0000
 Site-Clipart                  | Train Loss: 2.2652 | Train Acc: 0.1818
 Site-Clipart                  | Train Loss: 2.2751 | Train Acc: 0.2353
 Site-Clipart                  | Train Loss: 2.3376 | Train Acc: 0.1429
 Site-Clipart                  | Train Loss: 2.2894 | Train Acc: 0.2000
 Site-Clipart                  | Train Loss: 2.2826 | Train Acc: 0.1250
 Site-Clipart                  | Train Loss: 2.3003 | Train Acc: 0.1897
 Site-Clipart                  | Train Loss: 2.3014 | Train Acc: 0.1022
 Site-Clipart                  | Train Loss: 2.2827 | Train Acc: 0.1711
 Site-Clipart                  | Train Loss: 2.2928 | Train Acc: 0.1447
 Site-Real                     | Train Loss: 2.2898 | Train Acc: 0.2222
 Site-Real                     | Train Loss: 2.2863 | Train Acc: 0.0345
 Site-Real                     | Train Loss: 2.3001 | Train Acc: 0.1739
 Site-Real                     | Train Loss: 2.2842 | Train Acc: 0.0676
 Site-Real                     | Train Loss: 2.2881 | Train Acc: 0.1092
 Site-Real                     | Train Loss: 2.3017 | Train Acc: 0.0785
 Site-Real                     | Train Loss: 2.2924 | Train Acc: 0.1275
 Site-Painting                 | Train Loss: 2.2790 | Train Acc: 0.1698
 Site-Painting                 | Train Loss: 2.2784 | Train Acc: 0.1765
 Site-Painting                 | Train Loss: 2.2870 | Train Acc: 0.1176
 Site-Painting                 | Train Loss: 2.2796 | Train Acc: 0.1613
 Site-Sketch                   | Train Loss: 2.3030 | Train Acc: 0.0847
 Site-Sketch                   | Train Loss: 2.3094 | Train Acc: 0.0947
 Site-Sketch                   | Train Loss: 2.3057 | Train Acc: 0.1118
 Site-QuickDraw                | Train Loss: 2.2856 | Train Acc: 0.1096
 Site-QuickDraw                | Train Loss: 2.3250 | Train Acc: 0.0678
 Site-Infograph                | Train Loss: 2.3073 | Train Acc: 0.1250
 Site-Clipart                       | Val  Loss: 2.2094 | Val  Acc: 0.5000
 Site-Clipart                       | Val  Loss: 2.2398 | Val  Acc: 0.4286
 Site-Clipart                       | Val  Loss: 2.2561 | Val  Acc: 0.2727
 Site-Clipart                       | Val  Loss: 2.2927 | Val  Acc: 0.1667
 Site-Clipart                       | Val  Loss: 2.2944 | Val  Acc: 0.1000
