===2023-07-01 07:46:01===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,12,20,32,52,84,134,215,345,552,21,33,54,86,138,222,355,61,98,157,252,68,110,176,85,136,138,
client_nums=[10,7,4,3,2,1,]
len_dataset=[4864,3040,1900,1187,741,463,]
domain number = 6
============ Train epoch 0 ============
 Site-Real                          | Train Loss: 1.1952 | Train Acc: 0.7500
 Site-Real                          | Train Loss: 1.2922 | Train Acc: 0.8333
 Site-Real                          | Train Loss: 1.0566 | Train Acc: 0.9500
 Site-Real                          | Train Loss: 1.0604 | Train Acc: 0.9688
 Site-Real                          | Train Loss: 1.1233 | Train Acc: 0.9615
 Site-Real                          | Train Loss: 0.9811 | Train Acc: 1.0000
 Site-Real                          | Train Loss: 0.9292 | Train Acc: 0.9701
 Site-Real                          | Train Loss: 0.9789 | Train Acc: 0.9674
 Site-Real                          | Train Loss: 1.0996 | Train Acc: 0.9304
 Site-Real                          | Train Loss: 1.0493 | Train Acc: 0.9511
 Site-Clipart                       | Train Loss: 1.4539 | Train Acc: 0.8095
 Site-Clipart                       | Train Loss: 1.3368 | Train Acc: 0.8182
 Site-Clipart                       | Train Loss: 1.4235 | Train Acc: 0.7037
 Site-Clipart                       | Train Loss: 1.5101 | Train Acc: 0.7442
 Site-Clipart                       | Train Loss: 1.3222 | Train Acc: 0.7826
 Site-Clipart                       | Train Loss: 1.4658 | Train Acc: 0.7613
 Site-Clipart                       | Train Loss: 1.4391 | Train Acc: 0.7521
 Site-Painting                      | Train Loss: 1.3302 | Train Acc: 0.8033
 Site-Painting                      | Train Loss: 1.2402 | Train Acc: 0.8776
 Site-Painting                      | Train Loss: 1.2280 | Train Acc: 0.8662
 Site-Painting                      | Train Loss: 1.2783 | Train Acc: 0.8135
 Site-Sketch                        | Train Loss: 1.5213 | Train Acc: 0.6912
 Site-Sketch                        | Train Loss: 1.4092 | Train Acc: 0.7273
 Site-Sketch                        | Train Loss: 1.4089 | Train Acc: 0.7216
 Site-Infograph                     | Train Loss: 2.1096 | Train Acc: 0.3412
 Site-Infograph                     | Train Loss: 1.9252 | Train Acc: 0.3971
 Site-QuickDraw                     | Train Loss: 2.1977 | Train Acc: 0.2609
Average Train Accuracy: 0.7835
 Site-Real                          | Val  Loss: 0.7063 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 0.8358 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 1.0412 | Val  Acc: 1.0000
 Site-Real                          | Val  Loss: 1.0118 | Val  Acc: 0.9524
 Site-Real                          | Val  Loss: 1.1486 | Val  Acc: 0.9429
 Site-Real                          | Val  Loss: 1.0852 | Val  Acc: 0.9821
 Site-Real                          | Val  Loss: 1.0858 | Val  Acc: 0.9101
 Site-Real                          | Val  Loss: 1.1312 | Val  Acc: 0.9371
 Site-Real                          | Val  Loss: 1.0750 | Val  Acc: 0.9389
 Site-Real                          | Val  Loss: 1.0462 | Val  Acc: 0.9510
 Site-Clipart                       | Val  Loss: 1.4504 | Val  Acc: 0.7143
 Site-Clipart                       | Val  Loss: 1.2937 | Val  Acc: 0.9091
 Site-Clipart                       | Val  Loss: 1.3789 | Val  Acc: 0.6944
 Site-Clipart                       | Val  Loss: 1.5411 | Val  Acc: 0.5965
 Site-Clipart                       | Val  Loss: 1.4491 | Val  Acc: 0.7609
 Site-Clipart                       | Val  Loss: 1.3552 | Val  Acc: 0.7905
 Site-Clipart                       | Val  Loss: 1.4610 | Val  Acc: 0.7797
 Site-Painting                      | Val  Loss: 1.4566 | Val  Acc: 0.7317
 Site-Painting                      | Val  Loss: 1.6043 | Val  Acc: 0.7231
 Site-Painting                      | Val  Loss: 1.2400 | Val  Acc: 0.8476
 Site-Painting                      | Val  Loss: 1.2081 | Val  Acc: 0.8750
 Site-Sketch                        | Val  Loss: 1.5042 | Val  Acc: 0.6444
 Site-Sketch                        | Val  Loss: 1.4111 | Val  Acc: 0.6849
 Site-Sketch                        | Val  Loss: 1.4674 | Val  Acc: 0.6667
 Site-Infograph                     | Val  Loss: 1.8795 | Val  Acc: 0.4464
 Site-Infograph                     | Val  Loss: 1.9695 | Val  Acc: 0.3626
 Site-QuickDraw                     | Val  Loss: 2.2109 | Val  Acc: 0.2935
Average Valid Accuracy: 0.7828
 Best site-Real                      | Epoch:0 | Val Acc: 1.0000
 Best site-Real                      | Epoch:0 | Val Acc: 1.0000
 Best site-Real                      | Epoch:0 | Val Acc: 1.0000
 Best site-Real                      | Epoch:0 | Val Acc: 0.9524
 Best site-Real                      | Epoch:0 | Val Acc: 0.9429
