===2023-07-01 04:29:16===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,12,20,32,52,84,134,215,345,552,21,33,54,86,138,222,355,61,98,157,252,68,110,176,85,136,138,
client_nums=[10,7,4,3,2,1,]
len_dataset=[4864,3040,1900,1187,741,463,]
domain number = 6
============ Train epoch 0 ============
 Site-Real                          | Train Loss: 2.3090 | Train Acc: 0.1250
 Site-Real                          | Train Loss: 2.3725 | Train Acc: 0.0000
 Site-Real                          | Train Loss: 2.2660 | Train Acc: 0.1000
 Site-Real                          | Train Loss: 2.2609 | Train Acc: 0.2500
 Site-Real                          | Train Loss: 2.2836 | Train Acc: 0.2115
 Site-Real                          | Train Loss: 2.3169 | Train Acc: 0.0714
 Site-Real                          | Train Loss: 2.2549 | Train Acc: 0.1642
 Site-Real                          | Train Loss: 2.2830 | Train Acc: 0.1674
 Site-Real                          | Train Loss: 2.2828 | Train Acc: 0.1333
 Site-Real                          | Train Loss: 2.2813 | Train Acc: 0.1612
 Site-Clipart                       | Train Loss: 2.2774 | Train Acc: 0.2381
 Site-Clipart                       | Train Loss: 2.2871 | Train Acc: 0.1515
 Site-Clipart                       | Train Loss: 2.2847 | Train Acc: 0.1481
 Site-Clipart                       | Train Loss: 2.2738 | Train Acc: 0.1047
 Site-Clipart                       | Train Loss: 2.2775 | Train Acc: 0.1014
 Site-Clipart                       | Train Loss: 2.2952 | Train Acc: 0.0811
 Site-Clipart                       | Train Loss: 2.2842 | Train Acc: 0.1268
 Site-Painting                      | Train Loss: 2.2604 | Train Acc: 0.1803
 Site-Painting                      | Train Loss: 2.2633 | Train Acc: 0.1837
 Site-Painting                      | Train Loss: 2.2798 | Train Acc: 0.1847
 Site-Painting                      | Train Loss: 2.2870 | Train Acc: 0.1270
 Site-Sketch                        | Train Loss: 2.2920 | Train Acc: 0.1029
 Site-Sketch                        | Train Loss: 2.2990 | Train Acc: 0.1273
 Site-Sketch                        | Train Loss: 2.2890 | Train Acc: 0.1193
 Site-Infograph                     | Train Loss: 2.2997 | Train Acc: 0.1176
 Site-Infograph                     | Train Loss: 2.2863 | Train Acc: 0.0956
 Site-QuickDraw                     | Train Loss: 2.3172 | Train Acc: 0.0797
Average Train Accuracy: 0.1353
 Site-Real                          | Val  Loss: 2.2551 | Val  Acc: 0.2000
 Site-Real                          | Val  Loss: 2.2594 | Val  Acc: 0.3750
 Site-Real                          | Val  Loss: 2.3208 | Val  Acc: 0.1538
 Site-Real                          | Val  Loss: 2.3245 | Val  Acc: 0.0000
 Site-Real                          | Val  Loss: 2.3068 | Val  Acc: 0.0571
 Site-Real                          | Val  Loss: 2.2934 | Val  Acc: 0.1071
 Site-Real                          | Val  Loss: 2.2935 | Val  Acc: 0.1461
 Site-Real                          | Val  Loss: 2.2799 | Val  Acc: 0.1259
 Site-Real                          | Val  Loss: 2.2835 | Val  Acc: 0.1004
 Site-Real                          | Val  Loss: 2.2821 | Val  Acc: 0.1362
 Site-Clipart                       | Val  Loss: 2.3002 | Val  Acc: 0.1429
 Site-Clipart                       | Val  Loss: 2.2904 | Val  Acc: 0.1818
 Site-Clipart                       | Val  Loss: 2.2601 | Val  Acc: 0.1944
 Site-Clipart                       | Val  Loss: 2.2891 | Val  Acc: 0.1404
 Site-Clipart                       | Val  Loss: 2.2861 | Val  Acc: 0.0543
 Site-Clipart                       | Val  Loss: 2.2898 | Val  Acc: 0.1351
