===2023-06-29 10:13:08===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,12,20,32,52,84,134,215,345,552,21,33,54,86,138,222,355,61,98,157,252,68,110,176,85,136,138,
client_nums=[10,7,4,3,2,1,]
len_dataset=[4864,3040,1900,1187,741,463,]
domain number = 6
============ Train epoch 0 ============
 Site-Real                          | Train Loss: 1.1949 | Train Acc: 0.7500
 Site-Real                          | Train Loss: 1.3432 | Train Acc: 0.8333
 Site-Real                          | Train Loss: 1.0568 | Train Acc: 0.9500
 Site-Real                          | Train Loss: 1.0591 | Train Acc: 0.9688
 Site-Real                          | Train Loss: 1.1470 | Train Acc: 0.9615
 Site-Real                          | Train Loss: 0.9855 | Train Acc: 1.0000
 Site-Real                          | Train Loss: 0.9595 | Train Acc: 0.9701
 Site-Real                          | Train Loss: 0.9949 | Train Acc: 0.9628
 Site-Real                          | Train Loss: 1.1289 | Train Acc: 0.9275
 Site-Real                          | Train Loss: 1.0700 | Train Acc: 0.9457
 Site-Clipart                       | Train Loss: 1.5222 | Train Acc: 0.6667
 Site-Clipart                       | Train Loss: 1.3679 | Train Acc: 0.7879
 Site-Clipart                       | Train Loss: 1.4472 | Train Acc: 0.7593
 Site-Clipart                       | Train Loss: 1.5157 | Train Acc: 0.7442
 Site-Clipart                       | Train Loss: 1.3463 | Train Acc: 0.7536
 Site-Clipart                       | Train Loss: 1.4729 | Train Acc: 0.7658
 Site-Clipart                       | Train Loss: 1.4368 | Train Acc: 0.7408
 Site-Painting                      | Train Loss: 1.3423 | Train Acc: 0.8361
 Site-Painting                      | Train Loss: 1.2506 | Train Acc: 0.8469
 Site-Painting                      | Train Loss: 1.2456 | Train Acc: 0.8471
 Site-Painting                      | Train Loss: 1.2940 | Train Acc: 0.8095
 Site-Sketch                        | Train Loss: 1.5175 | Train Acc: 0.7059
 Site-Sketch                        | Train Loss: 1.3737 | Train Acc: 0.7364
 Site-Sketch                        | Train Loss: 1.3980 | Train Acc: 0.7216
