===2023-06-29 08:32:21===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,12,20,32,52,84,134,215,345,552,21,33,54,86,138,222,355,61,98,157,252,68,110,176,85,136,138,
client_nums=[10,7,4,3,2,1,]
len_dataset=[4864,3040,1900,1187,741,463,]
domain number = 6
============ Train epoch 0 ============
 Site-Real                          | Train Loss: 2.2984 | Train Acc: 0.1250
 Site-Real                          | Train Loss: 2.3631 | Train Acc: 0.0000
 Site-Real                          | Train Loss: 2.2541 | Train Acc: 0.1000
 Site-Real                          | Train Loss: 2.2506 | Train Acc: 0.2500
 Site-Real                          | Train Loss: 2.2735 | Train Acc: 0.2500
 Site-Real                          | Train Loss: 2.3043 | Train Acc: 0.1190
 Site-Real                          | Train Loss: 2.2434 | Train Acc: 0.1791
 Site-Real                          | Train Loss: 2.2712 | Train Acc: 0.1953
 Site-Real                          | Train Loss: 2.2727 | Train Acc: 0.1507
 Site-Real                          | Train Loss: 2.2705 | Train Acc: 0.1812
 Site-Clipart                       | Train Loss: 2.2711 | Train Acc: 0.2381
 Site-Clipart                       | Train Loss: 2.2791 | Train Acc: 0.1515
 Site-Clipart                       | Train Loss: 2.2760 | Train Acc: 0.1667
 Site-Clipart                       | Train Loss: 2.2684 | Train Acc: 0.1279
 Site-Clipart                       | Train Loss: 2.2691 | Train Acc: 0.1014
 Site-Clipart                       | Train Loss: 2.2885 | Train Acc: 0.0901
 Site-Clipart                       | Train Loss: 2.2772 | Train Acc: 0.1380
 Site-Painting                      | Train Loss: 2.2517 | Train Acc: 0.1967
 Site-Painting                      | Train Loss: 2.2551 | Train Acc: 0.1939
 Site-Painting                      | Train Loss: 2.2706 | Train Acc: 0.1911
 Site-Painting                      | Train Loss: 2.2783 | Train Acc: 0.1310
 Site-Sketch                        | Train Loss: 2.2838 | Train Acc: 0.1324
 Site-Sketch                        | Train Loss: 2.2917 | Train Acc: 0.1273
 Site-Sketch                        | Train Loss: 2.2820 | Train Acc: 0.1136
 Site-Infograph                     | Train Loss: 2.2984 | Train Acc: 0.1294
 Site-Infograph                     | Train Loss: 2.2833 | Train Acc: 0.0956
 Site-QuickDraw                     | Train Loss: 2.3164 | Train Acc: 0.0797
Average Train Accuracy: 0.1465
 Site-Real                          | Val  Loss: 2.2367 | Val  Acc: 0.2000
 Site-Real                          | Val  Loss: 2.2461 | Val  Acc: 0.3750
 Site-Real                          | Val  Loss: 2.3102 | Val  Acc: 0.1538
 Site-Real                          | Val  Loss: 2.3125 | Val  Acc: 0.0000
 Site-Real                          | Val  Loss: 2.2963 | Val  Acc: 0.0857
 Site-Real                          | Val  Loss: 2.2833 | Val  Acc: 0.1607
 Site-Real                          | Val  Loss: 2.2832 | Val  Acc: 0.1573
 Site-Real                          | Val  Loss: 2.2705 | Val  Acc: 0.1538
 Site-Real                          | Val  Loss: 2.2730 | Val  Acc: 0.1354
 Site-Real                          | Val  Loss: 2.2711 | Val  Acc: 0.1717
 Site-Clipart                       | Val  Loss: 2.2937 | Val  Acc: 0.1429
 Site-Clipart                       | Val  Loss: 2.2816 | Val  Acc: 0.2273
 Site-Clipart                       | Val  Loss: 2.2538 | Val  Acc: 0.1944
 Site-Clipart                       | Val  Loss: 2.2822 | Val  Acc: 0.1404
 Site-Clipart                       | Val  Loss: 2.2795 | Val  Acc: 0.0543
 Site-Clipart                       | Val  Loss: 2.2818 | Val  Acc: 0.1419
 Site-Clipart                       | Val  Loss: 2.2831 | Val  Acc: 0.1186
 Site-Painting                      | Val  Loss: 2.2866 | Val  Acc: 0.2195
 Site-Painting                      | Val  Loss: 2.3236 | Val  Acc: 0.1385
 Site-Painting                      | Val  Loss: 2.2702 | Val  Acc: 0.1619
 Site-Painting                      | Val  Loss: 2.2760 | Val  Acc: 0.1607
 Site-Sketch                        | Val  Loss: 2.2856 | Val  Acc: 0.1778
 Site-Sketch                        | Val  Loss: 2.2492 | Val  Acc: 0.1370
 Site-Sketch                        | Val  Loss: 2.2736 | Val  Acc: 0.1538
 Site-Infograph                     | Val  Loss: 2.2695 | Val  Acc: 0.1964
 Site-Infograph                     | Val  Loss: 2.2944 | Val  Acc: 0.0989
 Site-QuickDraw                     | Val  Loss: 2.3150 | Val  Acc: 0.0652
Average Valid Accuracy: 0.1527
 Best site-Real                      | Epoch:0 | Val Acc: 0.2000
 Best site-Real                      | Epoch:0 | Val Acc: 0.3750
 Best site-Real                      | Epoch:0 | Val Acc: 0.1538
 Best site-Real                      | Epoch:0 | Val Acc: 0.0000
 Best site-Real                      | Epoch:0 | Val Acc: 0.0857
 Best site-Real                      | Epoch:0 | Val Acc: 0.1607
 Best site-Real                      | Epoch:0 | Val Acc: 0.1573
 Best site-Real                      | Epoch:0 | Val Acc: 0.1538
 Best site-Real                      | Epoch:0 | Val Acc: 0.1354
 Best site-Real                      | Epoch:0 | Val Acc: 0.1717
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1429
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2273
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1944
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1404
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.0543
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1419
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1186
 Best site-Painting                  | Epoch:0 | Val Acc: 0.2195
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1385
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1619
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1607
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.1778
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.1370
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.1538
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.1964
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.0989
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.0652
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_1_shuffle/propfair...
============ Train epoch 1 ============
 Site-Real                          | Train Loss: 2.2580 | Train Acc: 0.2500
 Site-Real                          | Train Loss: 2.3298 | Train Acc: 0.0833
 Site-Real                          | Train Loss: 2.2511 | Train Acc: 0.1500
 Site-Real                          | Train Loss: 2.2338 | Train Acc: 0.3125
 Site-Real                          | Train Loss: 2.2580 | Train Acc: 0.1731
 Site-Real                          | Train Loss: 2.2977 | Train Acc: 0.1071
 Site-Real                          | Train Loss: 2.2561 | Train Acc: 0.1866
 Site-Real                          | Train Loss: 2.2584 | Train Acc: 0.1860
 Site-Real                          | Train Loss: 2.2596 | Train Acc: 0.1652
 Site-Real                          | Train Loss: 2.2636 | Train Acc: 0.1830
 Site-Clipart                       | Train Loss: 2.2567 | Train Acc: 0.1905
 Site-Clipart                       | Train Loss: 2.2671 | Train Acc: 0.1515
 Site-Clipart                       | Train Loss: 2.2453 | Train Acc: 0.2407
 Site-Clipart                       | Train Loss: 2.2790 | Train Acc: 0.1395
 Site-Clipart                       | Train Loss: 2.2794 | Train Acc: 0.1014
 Site-Clipart                       | Train Loss: 2.2731 | Train Acc: 0.1532
 Site-Clipart                       | Train Loss: 2.2716 | Train Acc: 0.1380
 Site-Painting                      | Train Loss: 2.2296 | Train Acc: 0.2623
 Site-Painting                      | Train Loss: 2.2521 | Train Acc: 0.2041
 Site-Painting                      | Train Loss: 2.2495 | Train Acc: 0.2420
 Site-Painting                      | Train Loss: 2.2693 | Train Acc: 0.1746
 Site-Sketch                        | Train Loss: 2.2554 | Train Acc: 0.1029
 Site-Sketch                        | Train Loss: 2.2747 | Train Acc: 0.1545
 Site-Sketch                        | Train Loss: 2.2755 | Train Acc: 0.1534
 Site-Infograph                     | Train Loss: 2.2875 | Train Acc: 0.1059
 Site-Infograph                     | Train Loss: 2.2859 | Train Acc: 0.1471
 Site-QuickDraw                     | Train Loss: 2.3194 | Train Acc: 0.1304
Average Train Accuracy: 0.1700
 Site-Real                          | Val  Loss: 2.2162 | Val  Acc: 0.4000
 Site-Real                          | Val  Loss: 2.2532 | Val  Acc: 0.2500
 Site-Real                          | Val  Loss: 2.2872 | Val  Acc: 0.1538
 Site-Real                          | Val  Loss: 2.3085 | Val  Acc: 0.0476
 Site-Real                          | Val  Loss: 2.2935 | Val  Acc: 0.0857
 Site-Real                          | Val  Loss: 2.2747 | Val  Acc: 0.1607
 Site-Real                          | Val  Loss: 2.2703 | Val  Acc: 0.1573
 Site-Real                          | Val  Loss: 2.2630 | Val  Acc: 0.1538
 Site-Real                          | Val  Loss: 2.2590 | Val  Acc: 0.1703
 Site-Real                          | Val  Loss: 2.2571 | Val  Acc: 0.1962
 Site-Clipart                       | Val  Loss: 2.2618 | Val  Acc: 0.2857
 Site-Clipart                       | Val  Loss: 2.2607 | Val  Acc: 0.3182
 Site-Clipart                       | Val  Loss: 2.2594 | Val  Acc: 0.1389
 Site-Clipart                       | Val  Loss: 2.2709 | Val  Acc: 0.1404
 Site-Clipart                       | Val  Loss: 2.2743 | Val  Acc: 0.1522
 Site-Clipart                       | Val  Loss: 2.2716 | Val  Acc: 0.1892
 Site-Clipart                       | Val  Loss: 2.2834 | Val  Acc: 0.1186
 Site-Painting                      | Val  Loss: 2.2764 | Val  Acc: 0.1707
 Site-Painting                      | Val  Loss: 2.3298 | Val  Acc: 0.1077
 Site-Painting                      | Val  Loss: 2.2629 | Val  Acc: 0.2190
 Site-Painting                      | Val  Loss: 2.2626 | Val  Acc: 0.1667
 Site-Sketch                        | Val  Loss: 2.2844 | Val  Acc: 0.1778
 Site-Sketch                        | Val  Loss: 2.2473 | Val  Acc: 0.1370
 Site-Sketch                        | Val  Loss: 2.2714 | Val  Acc: 0.1453
 Site-Infograph                     | Val  Loss: 2.2745 | Val  Acc: 0.1607
 Site-Infograph                     | Val  Loss: 2.2827 | Val  Acc: 0.1429
 Site-QuickDraw                     | Val  Loss: 2.3107 | Val  Acc: 0.0761
Average Valid Accuracy: 0.1712
 Best site-Real                      | Epoch:1 | Val Acc: 0.4000
 Best site-Real                      | Epoch:1 | Val Acc: 0.2500
 Best site-Real                      | Epoch:1 | Val Acc: 0.1538
 Best site-Real                      | Epoch:1 | Val Acc: 0.0476
 Best site-Real                      | Epoch:1 | Val Acc: 0.0857
 Best site-Real                      | Epoch:1 | Val Acc: 0.1607
 Best site-Real                      | Epoch:1 | Val Acc: 0.1573
 Best site-Real                      | Epoch:1 | Val Acc: 0.1538
 Best site-Real                      | Epoch:1 | Val Acc: 0.1703
 Best site-Real                      | Epoch:1 | Val Acc: 0.1962
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.2857
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.3182
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.1389
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.1404
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.1522
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.1892
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.1186
 Best site-Painting                  | Epoch:1 | Val Acc: 0.1707
 Best site-Painting                  | Epoch:1 | Val Acc: 0.1077
 Best site-Painting                  | Epoch:1 | Val Acc: 0.2190
 Best site-Painting                  | Epoch:1 | Val Acc: 0.1667
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.1778
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.1370
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.1453
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.1607
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.1429
 Best site-QuickDraw                 | Epoch:1 | Val Acc: 0.0761
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_1_shuffle/propfair...
============ Train epoch 2 ============
 Site-Real                          | Train Loss: 2.2478 | Train Acc: 0.2500
 Site-Real                          | Train Loss: 2.3163 | Train Acc: 0.0833
 Site-Real                          | Train Loss: 2.2502 | Train Acc: 0.2000
 Site-Real                          | Train Loss: 2.2298 | Train Acc: 0.3750
 Site-Real                          | Train Loss: 2.2519 | Train Acc: 0.1731
 Site-Real                          | Train Loss: 2.2851 | Train Acc: 0.1667
 Site-Real                          | Train Loss: 2.2494 | Train Acc: 0.2463
 Site-Real                          | Train Loss: 2.2519 | Train Acc: 0.2419
 Site-Real                          | Train Loss: 2.2511 | Train Acc: 0.2145
 Site-Real                          | Train Loss: 2.2495 | Train Acc: 0.2192
 Site-Clipart                       | Train Loss: 2.2470 | Train Acc: 0.2381
 Site-Clipart                       | Train Loss: 2.2694 | Train Acc: 0.1515
 Site-Clipart                       | Train Loss: 2.2470 | Train Acc: 0.1852
 Site-Clipart                       | Train Loss: 2.2615 | Train Acc: 0.1977
 Site-Clipart                       | Train Loss: 2.2629 | Train Acc: 0.1812
 Site-Clipart                       | Train Loss: 2.2726 | Train Acc: 0.1441
 Site-Clipart                       | Train Loss: 2.2660 | Train Acc: 0.1634
 Site-Painting                      | Train Loss: 2.2222 | Train Acc: 0.2459
 Site-Painting                      | Train Loss: 2.2402 | Train Acc: 0.2449
 Site-Painting                      | Train Loss: 2.2507 | Train Acc: 0.1975
 Site-Painting                      | Train Loss: 2.2590 | Train Acc: 0.1825
 Site-Sketch                        | Train Loss: 2.2857 | Train Acc: 0.0441
 Site-Sketch                        | Train Loss: 2.2815 | Train Acc: 0.1818
 Site-Sketch                        | Train Loss: 2.2721 | Train Acc: 0.1875
 Site-Infograph                     | Train Loss: 2.2862 | Train Acc: 0.1647
 Site-Infograph                     | Train Loss: 2.2987 | Train Acc: 0.1397
 Site-QuickDraw                     | Train Loss: 2.3089 | Train Acc: 0.0942
Average Train Accuracy: 0.1894
 Site-Real                          | Val  Loss: 2.2172 | Val  Acc: 0.2000
 Site-Real                          | Val  Loss: 2.2389 | Val  Acc: 0.2500
 Site-Real                          | Val  Loss: 2.2868 | Val  Acc: 0.1538
 Site-Real                          | Val  Loss: 2.2970 | Val  Acc: 0.0476
 Site-Real                          | Val  Loss: 2.2832 | Val  Acc: 0.1143
 Site-Real                          | Val  Loss: 2.2591 | Val  Acc: 0.2143
 Site-Real                          | Val  Loss: 2.2652 | Val  Acc: 0.1798
 Site-Real                          | Val  Loss: 2.2576 | Val  Acc: 0.1748
 Site-Real                          | Val  Loss: 2.2434 | Val  Acc: 0.2183
 Site-Real                          | Val  Loss: 2.2482 | Val  Acc: 0.2452
 Site-Clipart                       | Val  Loss: 2.2607 | Val  Acc: 0.2857
 Site-Clipart                       | Val  Loss: 2.2551 | Val  Acc: 0.2727
 Site-Clipart                       | Val  Loss: 2.2509 | Val  Acc: 0.1667
 Site-Clipart                       | Val  Loss: 2.2678 | Val  Acc: 0.2105
 Site-Clipart                       | Val  Loss: 2.2676 | Val  Acc: 0.1739
 Site-Clipart                       | Val  Loss: 2.2672 | Val  Acc: 0.1351
 Site-Clipart                       | Val  Loss: 2.2728 | Val  Acc: 0.1398
 Site-Painting                      | Val  Loss: 2.2730 | Val  Acc: 0.2439
 Site-Painting                      | Val  Loss: 2.3005 | Val  Acc: 0.2000
 Site-Painting                      | Val  Loss: 2.2542 | Val  Acc: 0.1905
 Site-Painting                      | Val  Loss: 2.2626 | Val  Acc: 0.1964
 Site-Sketch                        | Val  Loss: 2.2619 | Val  Acc: 0.2222
 Site-Sketch                        | Val  Loss: 2.2430 | Val  Acc: 0.1507
 Site-Sketch                        | Val  Loss: 2.2623 | Val  Acc: 0.1624
 Site-Infograph                     | Val  Loss: 2.2758 | Val  Acc: 0.1250
 Site-Infograph                     | Val  Loss: 2.2743 | Val  Acc: 0.1758
 Site-QuickDraw                     | Val  Loss: 2.3197 | Val  Acc: 0.0978
Average Valid Accuracy: 0.1832
 Best site-Real                      | Epoch:2 | Val Acc: 0.2000
 Best site-Real                      | Epoch:2 | Val Acc: 0.2500
 Best site-Real                      | Epoch:2 | Val Acc: 0.1538
 Best site-Real                      | Epoch:2 | Val Acc: 0.0476
 Best site-Real                      | Epoch:2 | Val Acc: 0.1143
 Best site-Real                      | Epoch:2 | Val Acc: 0.2143
 Best site-Real                      | Epoch:2 | Val Acc: 0.1798
 Best site-Real                      | Epoch:2 | Val Acc: 0.1748
 Best site-Real                      | Epoch:2 | Val Acc: 0.2183
 Best site-Real                      | Epoch:2 | Val Acc: 0.2452
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.2857
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.2727
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.1667
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.2105
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.1739
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.1351
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.1398
 Best site-Painting                  | Epoch:2 | Val Acc: 0.2439
 Best site-Painting                  | Epoch:2 | Val Acc: 0.2000
 Best site-Painting                  | Epoch:2 | Val Acc: 0.1905
 Best site-Painting                  | Epoch:2 | Val Acc: 0.1964
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.2222
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.1507
 Best site-Sketch                    | Epoch:2 | Val Acc: 0.1624
 Best site-Infograph                 | Epoch:2 | Val Acc: 0.1250
 Best site-Infograph                 | Epoch:2 | Val Acc: 0.1758
 Best site-QuickDraw                 | Epoch:2 | Val Acc: 0.0978
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_1_shuffle/propfair...
============ Train epoch 3 ============
 Site-Real                          | Train Loss: 2.2606 | Train Acc: 0.3750
 Site-Real                          | Train Loss: 2.3137 | Train Acc: 0.0833
 Site-Real                          | Train Loss: 2.2289 | Train Acc: 0.2000
 Site-Real                          | Train Loss: 2.2254 | Train Acc: 0.3750
 Site-Real                          | Train Loss: 2.2455 | Train Acc: 0.2308
 Site-Real                          | Train Loss: 2.2736 | Train Acc: 0.1905
 Site-Real                          | Train Loss: 2.2132 | Train Acc: 0.2836
 Site-Real                          | Train Loss: 2.2345 | Train Acc: 0.3023
 Site-Real                          | Train Loss: 2.2387 | Train Acc: 0.2464
 Site-Real                          | Train Loss: 2.2383 | Train Acc: 0.2572
 Site-Clipart                       | Train Loss: 2.2869 | Train Acc: 0.1429
 Site-Clipart                       | Train Loss: 2.2630 | Train Acc: 0.1818
 Site-Clipart                       | Train Loss: 2.2469 | Train Acc: 0.2222
 Site-Clipart                       | Train Loss: 2.2465 | Train Acc: 0.2093
 Site-Clipart                       | Train Loss: 2.2703 | Train Acc: 0.1739
 Site-Clipart                       | Train Loss: 2.2637 | Train Acc: 0.1577
 Site-Clipart                       | Train Loss: 2.2584 | Train Acc: 0.1521
 Site-Painting                      | Train Loss: 2.2155 | Train Acc: 0.2787
 Site-Painting                      | Train Loss: 2.2341 | Train Acc: 0.3367
 Site-Painting                      | Train Loss: 2.2444 | Train Acc: 0.2293
 Site-Painting                      | Train Loss: 2.2473 | Train Acc: 0.2341
 Site-Sketch                        | Train Loss: 2.2904 | Train Acc: 0.1176
 Site-Sketch                        | Train Loss: 2.2714 | Train Acc: 0.1818
 Site-Sketch                        | Train Loss: 2.2578 | Train Acc: 0.1989
 Site-Infograph                     | Train Loss: 2.2996 | Train Acc: 0.1294
 Site-Infograph                     | Train Loss: 2.2744 | Train Acc: 0.1471
 Site-QuickDraw                     | Train Loss: 2.2918 | Train Acc: 0.1159
Average Train Accuracy: 0.2131
 Site-Real                          | Val  Loss: 2.1827 | Val  Acc: 0.6000
 Site-Real                          | Val  Loss: 2.2211 | Val  Acc: 0.3750
 Site-Real                          | Val  Loss: 2.2739 | Val  Acc: 0.1538
 Site-Real                          | Val  Loss: 2.2866 | Val  Acc: 0.0952
 Site-Real                          | Val  Loss: 2.2712 | Val  Acc: 0.1429
 Site-Real                          | Val  Loss: 2.2557 | Val  Acc: 0.2500
