===2023-06-29 05:23:19===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[8,12,20,32,52,84,134,215,345,552,21,33,54,86,138,222,355,61,98,157,252,68,110,176,85,136,138,
client_nums=[10,7,4,3,2,1,]
len_dataset=[4864,3040,1900,1187,741,463,]
domain number = 6
============ Train epoch 0 ============
 Site-Real                          | Train Loss: 2.2886 | Train Acc: 0.1250
 Site-Real                          | Train Loss: 2.3544 | Train Acc: 0.0000
 Site-Real                          | Train Loss: 2.2433 | Train Acc: 0.1500
 Site-Real                          | Train Loss: 2.2401 | Train Acc: 0.2812
 Site-Real                          | Train Loss: 2.2642 | Train Acc: 0.2885
 Site-Real                          | Train Loss: 2.2928 | Train Acc: 0.1310
 Site-Real                          | Train Loss: 2.2325 | Train Acc: 0.2164
 Site-Real                          | Train Loss: 2.2599 | Train Acc: 0.2047
 Site-Real                          | Train Loss: 2.2627 | Train Acc: 0.1768
 Site-Real                          | Train Loss: 2.2601 | Train Acc: 0.1938
 Site-Clipart                       | Train Loss: 2.2643 | Train Acc: 0.2381
 Site-Clipart                       | Train Loss: 2.2710 | Train Acc: 0.1818
 Site-Clipart                       | Train Loss: 2.2689 | Train Acc: 0.1667
 Site-Clipart                       | Train Loss: 2.2620 | Train Acc: 0.1512
 Site-Clipart                       | Train Loss: 2.2611 | Train Acc: 0.1087
 Site-Clipart                       | Train Loss: 2.2818 | Train Acc: 0.1126
 Site-Clipart                       | Train Loss: 2.2704 | Train Acc: 0.1521
 Site-Painting                      | Train Loss: 2.2439 | Train Acc: 0.1967
 Site-Painting                      | Train Loss: 2.2465 | Train Acc: 0.2143
 Site-Painting                      | Train Loss: 2.2618 | Train Acc: 0.2102
 Site-Painting                      | Train Loss: 2.2697 | Train Acc: 0.1587
 Site-Sketch                        | Train Loss: 2.2774 | Train Acc: 0.1324
 Site-Sketch                        | Train Loss: 2.2844 | Train Acc: 0.1273
 Site-Sketch                        | Train Loss: 2.2745 | Train Acc: 0.1250
 Site-Infograph                     | Train Loss: 2.2969 | Train Acc: 0.1294
 Site-Infograph                     | Train Loss: 2.2805 | Train Acc: 0.1103
 Site-QuickDraw                     | Train Loss: 2.3153 | Train Acc: 0.0942
Average Train Accuracy: 0.1621
 Site-Real                          | Val  Loss: 2.2231 | Val  Acc: 0.2000
 Site-Real                          | Val  Loss: 2.2332 | Val  Acc: 0.3750
 Site-Real                          | Val  Loss: 2.2989 | Val  Acc: 0.1538
 Site-Real                          | Val  Loss: 2.3016 | Val  Acc: 0.0000
 Site-Real                          | Val  Loss: 2.2863 | Val  Acc: 0.0857
 Site-Real                          | Val  Loss: 2.2728 | Val  Acc: 0.1607
 Site-Real                          | Val  Loss: 2.2730 | Val  Acc: 0.1798
 Site-Real                          | Val  Loss: 2.2609 | Val  Acc: 0.1748
