===2023-07-27 05:57:15===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
len_dataset=[2103,1314,821,513,320,200,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.1956 | Train Acc: 0.1667
 Site-Clipart                       | Train Loss: 2.2317 | Train Acc: 0.0000
 Site-Clipart                       | Train Loss: 2.1368 | Train Acc: 0.5294
 Site-Clipart                       | Train Loss: 2.2234 | Train Acc: 0.3571
 Site-Clipart                       | Train Loss: 2.2498 | Train Acc: 0.2222
 Site-Clipart                       | Train Loss: 2.1911 | Train Acc: 0.4306
 Site-Clipart                       | Train Loss: 2.1905 | Train Acc: 0.3879
 Site-Clipart                       | Train Loss: 2.2092 | Train Acc: 0.3011
 Site-Clipart                       | Train Loss: 2.2033 | Train Acc: 0.3255
 Site-Clipart                       | Train Loss: 2.2032 | Train Acc: 0.3249
 Site-Real                          | Train Loss: 2.2079 | Train Acc: 0.4444
 Site-Real                          | Train Loss: 2.2106 | Train Acc: 0.3448
 Site-Real                          | Train Loss: 2.2205 | Train Acc: 0.4348
 Site-Real                          | Train Loss: 2.2135 | Train Acc: 0.3919
 Site-Real                          | Train Loss: 2.2180 | Train Acc: 0.3445
 Site-Real                          | Train Loss: 2.2051 | Train Acc: 0.4712
 Site-Real                          | Train Loss: 2.2089 | Train Acc: 0.4477
 Site-Painting                      | Train Loss: 2.2459 | Train Acc: 0.3396
 Site-Painting                      | Train Loss: 2.2263 | Train Acc: 0.3412
 Site-Painting                      | Train Loss: 2.2384 | Train Acc: 0.2941
 Site-Painting                      | Train Loss: 2.2471 | Train Acc: 0.2304
