===2023-07-27 15:11:50===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
len_dataset=[2103,1314,821,513,320,200,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.1899 | Train Acc: 0.1667
 Site-Clipart                       | Train Loss: 2.2219 | Train Acc: 0.0909
 Site-Clipart                       | Train Loss: 2.1466 | Train Acc: 0.4706
 Site-Clipart                       | Train Loss: 2.2323 | Train Acc: 0.3214
 Site-Clipart                       | Train Loss: 2.2433 | Train Acc: 0.3111
 Site-Clipart                       | Train Loss: 2.1832 | Train Acc: 0.4167
 Site-Clipart                       | Train Loss: 2.1862 | Train Acc: 0.3621
 Site-Clipart                       | Train Loss: 2.2059 | Train Acc: 0.3226
 Site-Clipart                       | Train Loss: 2.1923 | Train Acc: 0.3557
 Site-Clipart                       | Train Loss: 2.1981 | Train Acc: 0.3459
 Site-Real                          | Train Loss: 2.2200 | Train Acc: 0.2778
 Site-Real                          | Train Loss: 2.2085 | Train Acc: 0.3793
 Site-Real                          | Train Loss: 2.2209 | Train Acc: 0.3913
 Site-Real                          | Train Loss: 2.1814 | Train Acc: 0.4459
 Site-Real                          | Train Loss: 2.2288 | Train Acc: 0.3782
 Site-Real                          | Train Loss: 2.1964 | Train Acc: 0.4450
 Site-Real                          | Train Loss: 2.2081 | Train Acc: 0.4346
 Site-Painting                      | Train Loss: 2.2434 | Train Acc: 0.2075
 Site-Painting                      | Train Loss: 2.2083 | Train Acc: 0.3765
 Site-Painting                      | Train Loss: 2.2069 | Train Acc: 0.3235
 Site-Painting                      | Train Loss: 2.2398 | Train Acc: 0.2765
 Site-Sketch                        | Train Loss: 2.2115 | Train Acc: 0.3729
 Site-Sketch                        | Train Loss: 2.2224 | Train Acc: 0.3368
 Site-Sketch                        | Train Loss: 2.2146 | Train Acc: 0.3684
 Site-QuickDraw                     | Train Loss: 2.3151 | Train Acc: 0.1096
 Site-QuickDraw                     | Train Loss: 2.2815 | Train Acc: 0.1356
 Site-Infograph                     | Train Loss: 2.2863 | Train Acc: 0.1083
Average Train Accuracy: 0.3160
 Site-Clipart                       | Val  Loss: 2.1705 | Val  Acc: 0.2500
 Site-Clipart                       | Val  Loss: 2.1515 | Val  Acc: 0.2857
 Site-Clipart                       | Val  Loss: 2.1390 | Val  Acc: 0.5455
 Site-Clipart                       | Val  Loss: 2.1836 | Val  Acc: 0.5000
 Site-Clipart                       | Val  Loss: 2.1905 | Val  Acc: 0.3667
 Site-Clipart                       | Val  Loss: 2.2087 | Val  Acc: 0.2917
 Site-Clipart                       | Val  Loss: 2.2039 | Val  Acc: 0.3506
 Site-Clipart                       | Val  Loss: 2.2007 | Val  Acc: 0.3226
 Site-Clipart                       | Val  Loss: 2.1787 | Val  Acc: 0.3687
 Site-Clipart                       | Val  Loss: 2.1963 | Val  Acc: 0.3459
 Site-Real                          | Val  Loss: 2.1489 | Val  Acc: 0.5000
