===2023-07-27 10:00:29===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
len_dataset=[2103,1314,821,513,320,200,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 1.4913 | Train Acc: 0.6667
 Site-Clipart                       | Train Loss: 1.5367 | Train Acc: 0.7273
 Site-Clipart                       | Train Loss: 1.2985 | Train Acc: 0.9412
 Site-Clipart                       | Train Loss: 1.5382 | Train Acc: 0.7143
 Site-Clipart                       | Train Loss: 1.5247 | Train Acc: 0.7778
 Site-Clipart                       | Train Loss: 1.4708 | Train Acc: 0.8472
 Site-Clipart                       | Train Loss: 1.4272 | Train Acc: 0.8621
 Site-Clipart                       | Train Loss: 1.5599 | Train Acc: 0.7688
 Site-Clipart                       | Train Loss: 1.4793 | Train Acc: 0.7886
 Site-Clipart                       | Train Loss: 1.4976 | Train Acc: 0.7966
 Site-Real                          | Train Loss: 1.4605 | Train Acc: 0.7778
 Site-Real                          | Train Loss: 1.4334 | Train Acc: 0.8966
 Site-Real                          | Train Loss: 1.3251 | Train Acc: 0.9348
 Site-Real                          | Train Loss: 1.3351 | Train Acc: 0.8784
 Site-Real                          | Train Loss: 1.3167 | Train Acc: 0.9412
 Site-Real                          | Train Loss: 1.2944 | Train Acc: 0.9372
 Site-Real                          | Train Loss: 1.3554 | Train Acc: 0.9183
 Site-Painting                      | Train Loss: 1.5633 | Train Acc: 0.7358
 Site-Painting                      | Train Loss: 1.4344 | Train Acc: 0.8353
 Site-Painting                      | Train Loss: 1.6046 | Train Acc: 0.8088
 Site-Painting                      | Train Loss: 1.4844 | Train Acc: 0.7972
 Site-Sketch                        | Train Loss: 1.4775 | Train Acc: 0.7288
 Site-Sketch                        | Train Loss: 1.5435 | Train Acc: 0.6947
 Site-Sketch                        | Train Loss: 1.5340 | Train Acc: 0.7434
 Site-QuickDraw                     | Train Loss: 2.1913 | Train Acc: 0.2466
 Site-QuickDraw                     | Train Loss: 2.1748 | Train Acc: 0.2966
 Site-Infograph                     | Train Loss: 2.0763 | Train Acc: 0.3667
Average Train Accuracy: 0.7566
 Site-Clipart                       | Val  Loss: 0.9133 | Val  Acc: 1.0000
 Site-Clipart                       | Val  Loss: 1.2082 | Val  Acc: 1.0000
 Site-Clipart                       | Val  Loss: 1.4403 | Val  Acc: 0.9091
 Site-Clipart                       | Val  Loss: 1.5668 | Val  Acc: 0.6667
 Site-Clipart                       | Val  Loss: 1.4477 | Val  Acc: 0.8000
 Site-Clipart                       | Val  Loss: 1.5284 | Val  Acc: 0.7917
 Site-Clipart                       | Val  Loss: 1.5536 | Val  Acc: 0.7792
 Site-Clipart                       | Val  Loss: 1.4842 | Val  Acc: 0.7984
 Site-Clipart                       | Val  Loss: 1.4302 | Val  Acc: 0.8030
 Site-Clipart                       | Val  Loss: 1.5048 | Val  Acc: 0.7925
 Site-Real                          | Val  Loss: 1.2076 | Val  Acc: 0.9167
 Site-Real                          | Val  Loss: 1.2839 | Val  Acc: 0.9474
 Site-Real                          | Val  Loss: 1.3191 | Val  Acc: 0.9355
 Site-Real                          | Val  Loss: 1.3345 | Val  Acc: 0.9184
 Site-Real                          | Val  Loss: 1.2995 | Val  Acc: 0.9494
 Site-Real                          | Val  Loss: 1.3003 | Val  Acc: 0.9449
 Site-Real                          | Val  Loss: 1.2760 | Val  Acc: 0.9461
 Site-Painting                      | Val  Loss: 1.4964 | Val  Acc: 0.7429
 Site-Painting                      | Val  Loss: 1.4032 | Val  Acc: 0.8393
 Site-Painting                      | Val  Loss: 1.4216 | Val  Acc: 0.8667
 Site-Painting                      | Val  Loss: 1.4749 | Val  Acc: 0.8207
 Site-Sketch                        | Val  Loss: 1.6169 | Val  Acc: 0.7436
 Site-Sketch                        | Val  Loss: 1.5055 | Val  Acc: 0.7143
 Site-Sketch                        | Val  Loss: 1.5819 | Val  Acc: 0.6634
 Site-QuickDraw                     | Val  Loss: 2.1637 | Val  Acc: 0.2245
 Site-QuickDraw                     | Val  Loss: 2.1729 | Val  Acc: 0.2949
 Site-Infograph                     | Val  Loss: 1.9531 | Val  Acc: 0.4750
Average Valid Accuracy: 0.7883
 Best site-Clipart                   | Epoch:0 | Val Acc: 1.0000
 Best site-Clipart                   | Epoch:0 | Val Acc: 1.0000
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.9091
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.6667
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.8000
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.7917
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.7792
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.7984
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.8030
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.7925
 Best site-Real                      | Epoch:0 | Val Acc: 0.9167
 Best site-Real                      | Epoch:0 | Val Acc: 0.9474
 Best site-Real                      | Epoch:0 | Val Acc: 0.9355
 Best site-Real                      | Epoch:0 | Val Acc: 0.9184
 Best site-Real                      | Epoch:0 | Val Acc: 0.9494
 Best site-Real                      | Epoch:0 | Val Acc: 0.9449
 Best site-Real                      | Epoch:0 | Val Acc: 0.9461
 Best site-Painting                  | Epoch:0 | Val Acc: 0.7429
 Best site-Painting                  | Epoch:0 | Val Acc: 0.8393
 Best site-Painting                  | Epoch:0 | Val Acc: 0.8667
 Best site-Painting                  | Epoch:0 | Val Acc: 0.8207
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.7436
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.7143
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.6634
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.2245
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.2949
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.4750
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_2/harmo-fl...
============ Train epoch 1 ============
 Site-Clipart                       | Train Loss: 1.0637 | Train Acc: 0.8333
 Site-Clipart                       | Train Loss: 1.3318 | Train Acc: 0.5455
 Site-Clipart                       | Train Loss: 0.7686 | Train Acc: 0.8824
 Site-Clipart                       | Train Loss: 1.1225 | Train Acc: 0.8571
 Site-Clipart                       | Train Loss: 0.9319 | Train Acc: 0.8889
 Site-Clipart                       | Train Loss: 1.2202 | Train Acc: 0.8333
 Site-Clipart                       | Train Loss: 1.0037 | Train Acc: 0.8621
 Site-Clipart                       | Train Loss: 1.1075 | Train Acc: 0.8118
 Site-Clipart                       | Train Loss: 1.0010 | Train Acc: 0.8289
 Site-Clipart                       | Train Loss: 1.0002 | Train Acc: 0.8658
 Site-Real                          | Train Loss: 0.9616 | Train Acc: 0.7778
 Site-Real                          | Train Loss: 0.9447 | Train Acc: 0.8621
 Site-Real                          | Train Loss: 0.7557 | Train Acc: 0.9565
 Site-Real                          | Train Loss: 0.7323 | Train Acc: 0.9324
 Site-Real                          | Train Loss: 0.7160 | Train Acc: 0.9664
