===2023-07-27 07:17:32===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
len_dataset=[2103,1314,821,513,320,200,]
domain number = 6
============ Train epoch 0 ============
denominator: 69024.484375
 Site-Clipart                       | Train Loss: 2.2600 | Train Acc: 0.1667
 Site-Clipart                       | Train Loss: 2.2947 | Train Acc: 0.1818
 Site-Clipart                       | Train Loss: 2.2319 | Train Acc: 0.1765
 Site-Clipart                       | Train Loss: 2.2455 | Train Acc: 0.2500
 Site-Clipart                       | Train Loss: 2.2519 | Train Acc: 0.2667
 Site-Clipart                       | Train Loss: 2.2532 | Train Acc: 0.1806
 Site-Clipart                       | Train Loss: 2.2564 | Train Acc: 0.2241
 Site-Clipart                       | Train Loss: 2.2451 | Train Acc: 0.2312
 Site-Clipart                       | Train Loss: 2.2548 | Train Acc: 0.1913
 Site-Clipart                       | Train Loss: 2.2554 | Train Acc: 0.2201
 Site-Real                          | Train Loss: 2.2765 | Train Acc: 0.2222
 Site-Real                          | Train Loss: 2.2445 | Train Acc: 0.2414
 Site-Real                          | Train Loss: 2.2356 | Train Acc: 0.3696
 Site-Real                          | Train Loss: 2.2076 | Train Acc: 0.3108
 Site-Real                          | Train Loss: 2.2496 | Train Acc: 0.3193
 Site-Real                          | Train Loss: 2.2405 | Train Acc: 0.3089
 Site-Real                          | Train Loss: 2.2453 | Train Acc: 0.2418
 Site-Painting                      | Train Loss: 2.2482 | Train Acc: 0.3019
 Site-Painting                      | Train Loss: 2.2257 | Train Acc: 0.2588
 Site-Painting                      | Train Loss: 2.2636 | Train Acc: 0.2794
 Site-Painting                      | Train Loss: 2.2524 | Train Acc: 0.2212
 Site-Sketch                        | Train Loss: 2.2526 | Train Acc: 0.2542
 Site-Sketch                        | Train Loss: 2.2493 | Train Acc: 0.2526
 Site-Sketch                        | Train Loss: 2.2586 | Train Acc: 0.2566
 Site-QuickDraw                     | Train Loss: 2.3198 | Train Acc: 0.0822
 Site-QuickDraw                     | Train Loss: 2.3182 | Train Acc: 0.0593
 Site-Infograph                     | Train Loss: 2.3003 | Train Acc: 0.1000
Average Train Accuracy: 0.2285
 Site-Clipart                       | Val  Loss: 2.2703 | Val  Acc: 0.2500
 Site-Clipart                       | Val  Loss: 2.2771 | Val  Acc: 0.1429
 Site-Clipart                       | Val  Loss: 2.2809 | Val  Acc: 0.1818
 Site-Clipart                       | Val  Loss: 2.2489 | Val  Acc: 0.1667
 Site-Clipart                       | Val  Loss: 2.2396 | Val  Acc: 0.3000
 Site-Clipart                       | Val  Loss: 2.2500 | Val  Acc: 0.2292
