===2023-07-27 08:40:21===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
len_dataset=[2103,1314,821,513,320,200,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.1912 | Train Acc: 0.1667
 Site-Clipart                       | Train Loss: 2.2277 | Train Acc: 0.0000
 Site-Clipart                       | Train Loss: 2.1315 | Train Acc: 0.5294
 Site-Clipart                       | Train Loss: 2.2201 | Train Acc: 0.3571
 Site-Clipart                       | Train Loss: 2.2457 | Train Acc: 0.2222
 Site-Clipart                       | Train Loss: 2.1871 | Train Acc: 0.4306
 Site-Clipart                       | Train Loss: 2.1863 | Train Acc: 0.3966
 Site-Clipart                       | Train Loss: 2.2057 | Train Acc: 0.3065
 Site-Clipart                       | Train Loss: 2.1991 | Train Acc: 0.3389
 Site-Clipart                       | Train Loss: 2.1990 | Train Acc: 0.3375
 Site-Real                          | Train Loss: 2.2046 | Train Acc: 0.4444
 Site-Real                          | Train Loss: 2.2071 | Train Acc: 0.3793
 Site-Real                          | Train Loss: 2.2164 | Train Acc: 0.4348
 Site-Real                          | Train Loss: 2.2100 | Train Acc: 0.3919
 Site-Real                          | Train Loss: 2.2141 | Train Acc: 0.3613
 Site-Real                          | Train Loss: 2.2009 | Train Acc: 0.4869
 Site-Real                          | Train Loss: 2.2050 | Train Acc: 0.4575
 Site-Painting                      | Train Loss: 2.2430 | Train Acc: 0.3396
 Site-Painting                      | Train Loss: 2.2230 | Train Acc: 0.3412
 Site-Painting                      | Train Loss: 2.2355 | Train Acc: 0.3015
 Site-Painting                      | Train Loss: 2.2438 | Train Acc: 0.2488
 Site-Sketch                        | Train Loss: 2.2135 | Train Acc: 0.3559
 Site-Sketch                        | Train Loss: 2.2020 | Train Acc: 0.3789
 Site-Sketch                        | Train Loss: 2.2153 | Train Acc: 0.3355
 Site-QuickDraw                     | Train Loss: 2.2861 | Train Acc: 0.1370
 Site-QuickDraw                     | Train Loss: 2.2770 | Train Acc: 0.1525
 Site-Infograph                     | Train Loss: 2.2850 | Train Acc: 0.1333
Average Train Accuracy: 0.3247
 Site-Clipart                       | Val  Loss: 2.1493 | Val  Acc: 0.2500
 Site-Clipart                       | Val  Loss: 2.1413 | Val  Acc: 0.4286
 Site-Clipart                       | Val  Loss: 2.1622 | Val  Acc: 0.4545
 Site-Clipart                       | Val  Loss: 2.2048 | Val  Acc: 0.5000
 Site-Clipart                       | Val  Loss: 2.1814 | Val  Acc: 0.4000
 Site-Clipart                       | Val  Loss: 2.2038 | Val  Acc: 0.2708
 Site-Clipart                       | Val  Loss: 2.2196 | Val  Acc: 0.3117
 Site-Clipart                       | Val  Loss: 2.2019 | Val  Acc: 0.3306
 Site-Clipart                       | Val  Loss: 2.1810 | Val  Acc: 0.3636
 Site-Clipart                       | Val  Loss: 2.1990 | Val  Acc: 0.3239
 Site-Real                          | Val  Loss: 2.1580 | Val  Acc: 0.5833
 Site-Real                          | Val  Loss: 2.1761 | Val  Acc: 0.5789
 Site-Real                          | Val  Loss: 2.2290 | Val  Acc: 0.4194
 Site-Real                          | Val  Loss: 2.2139 | Val  Acc: 0.5102
 Site-Real                          | Val  Loss: 2.1950 | Val  Acc: 0.4937
 Site-Real                          | Val  Loss: 2.2116 | Val  Acc: 0.4094
 Site-Real                          | Val  Loss: 2.1968 | Val  Acc: 0.3971
 Site-Painting                      | Val  Loss: 2.2134 | Val  Acc: 0.2857
 Site-Painting                      | Val  Loss: 2.2189 | Val  Acc: 0.3036
 Site-Painting                      | Val  Loss: 2.2271 | Val  Acc: 0.2778
 Site-Painting                      | Val  Loss: 2.2328 | Val  Acc: 0.3172
 Site-Sketch                        | Val  Loss: 2.2208 | Val  Acc: 0.2821
 Site-Sketch                        | Val  Loss: 2.1995 | Val  Acc: 0.3810
