===2023-06-14 08:38:14===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[296,888,201,604,137,411,64,192,63,189,43,129,29,87,]
client_nums=[2,2,2,2,2,2,2,]
len_dataset=[3952,2688,1828,856,846,575,391,]
domain number = -1
============ Train epoch 0 ============
 Site-White_utk                     | Train Loss: 2.1947 | Train Acc: 0.1318
 Site-White_utk                     | Train Loss: 2.1968 | Train Acc: 0.1081
 Site-East_Asian                    | Train Loss: 2.1579 | Train Acc: 0.1692
 Site-East_Asian                    | Train Loss: 2.1618 | Train Acc: 0.1474
 Site-Indian_utk                    | Train Loss: 2.2031 | Train Acc: 0.0876
 Site-Indian_utk                    | Train Loss: 2.1940 | Train Acc: 0.0973
 Site-Black_utk                     | Train Loss: 2.1922 | Train Acc: 0.1250
 Site-Black_utk                     | Train Loss: 2.1888 | Train Acc: 0.1302
 Site-Others_utk                    | Train Loss: 2.1893 | Train Acc: 0.1270
 Site-Others_utk                    | Train Loss: 2.1699 | Train Acc: 0.1746
 Site-Southeast_Asian               | Train Loss: 2.1616 | Train Acc: 0.1628
 Site-Southeast_Asian               | Train Loss: 2.1328 | Train Acc: 0.1318
 Site-Middle_Eastern_gan            | Train Loss: 2.2094 | Train Acc: 0.0000
 Site-Middle_Eastern_gan            | Train Loss: 2.1746 | Train Acc: 0.1494
Average Train Accuracy: 0.1244
 Site-White_utk                     | Val  Loss: 2.2086 | Val  Acc: 0.1066
 Site-White_utk                     | Val  Loss: 2.1934 | Val  Acc: 0.1182
 Site-East_Asian                    | Val  Loss: 2.1404 | Val  Acc: 0.1791
 Site-East_Asian                    | Val  Loss: 2.1592 | Val  Acc: 0.1741
 Site-Indian_utk                    | Val  Loss: 2.2009 | Val  Acc: 0.0879
 Site-Indian_utk                    | Val  Loss: 2.1881 | Val  Acc: 0.1026
 Site-Black_utk                     | Val  Loss: 2.1930 | Val  Acc: 0.0952
 Site-Black_utk                     | Val  Loss: 2.1915 | Val  Acc: 0.1484
 Site-Others_utk                    | Val  Loss: 2.1646 | Val  Acc: 0.2619
 Site-Others_utk                    | Val  Loss: 2.1680 | Val  Acc: 0.1667
 Site-Southeast_Asian               | Val  Loss: 2.1851 | Val  Acc: 0.0357
 Site-Southeast_Asian               | Val  Loss: 2.1752 | Val  Acc: 0.1395
 Site-Middle_Eastern_gan            | Val  Loss: 2.2437 | Val  Acc: 0.0000
 Site-Middle_Eastern_gan            | Val  Loss: 2.1992 | Val  Acc: 0.0345
Average Valid Accuracy: 0.1179
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1066
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1182
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.1791
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.1741
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.0879
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.1026
 Best site-Black_utk                 | Epoch:0 | Val Acc: 0.0952
 Best site-Black_utk                 | Epoch:0 | Val Acc: 0.1484
 Best site-Others_utk                | Epoch:0 | Val Acc: 0.2619
 Best site-Others_utk                | Epoch:0 | Val Acc: 0.1667
 Best site-Southeast_Asian           | Epoch:0 | Val Acc: 0.0357
 Best site-Southeast_Asian           | Epoch:0 | Val Acc: 0.1395
 Best site-Middle_Eastern_gan        | Epoch:0 | Val Acc: 0.0000
 Best site-Middle_Eastern_gan        | Epoch:0 | Val Acc: 0.0345
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_even-mix5_1.0_1_random_dis_cluster_-1/fedavg...
============ Train epoch 1 ============
 Site-White_utk                     | Train Loss: 2.1803 | Train Acc: 0.1622
 Site-White_utk                     | Train Loss: 2.1774 | Train Acc: 0.1588
 Site-East_Asian                    | Train Loss: 2.0969 | Train Acc: 0.3184
 Site-East_Asian                    | Train Loss: 2.1190 | Train Acc: 0.2798
 Site-Indian_utk                    | Train Loss: 2.1734 | Train Acc: 0.1387
 Site-Indian_utk                    | Train Loss: 2.1550 | Train Acc: 0.1946
 Site-Black_utk                     | Train Loss: 2.1491 | Train Acc: 0.3125
 Site-Black_utk                     | Train Loss: 2.1612 | Train Acc: 0.1979
 Site-Others_utk                    | Train Loss: 2.1514 | Train Acc: 0.1270
 Site-Others_utk                    | Train Loss: 2.1257 | Train Acc: 0.2593
 Site-Southeast_Asian               | Train Loss: 2.1306 | Train Acc: 0.2558
 Site-Southeast_Asian               | Train Loss: 2.2289 | Train Acc: 0.2403
 Site-Middle_Eastern_gan            | Train Loss: 2.1084 | Train Acc: 0.1379
 Site-Middle_Eastern_gan            | Train Loss: 2.1198 | Train Acc: 0.2184
Average Train Accuracy: 0.2144
 Site-White_utk                     | Val  Loss: 2.1873 | Val  Acc: 0.1472
 Site-White_utk                     | Val  Loss: 2.1767 | Val  Acc: 0.1639
 Site-East_Asian                    | Val  Loss: 2.1002 | Val  Acc: 0.2836
 Site-East_Asian                    | Val  Loss: 2.1161 | Val  Acc: 0.2886
 Site-Indian_utk                    | Val  Loss: 2.1608 | Val  Acc: 0.1648
 Site-Indian_utk                    | Val  Loss: 2.1526 | Val  Acc: 0.1758
 Site-Black_utk                     | Val  Loss: 2.1626 | Val  Acc: 0.2143
 Site-Black_utk                     | Val  Loss: 2.1536 | Val  Acc: 0.2188
 Site-Others_utk                    | Val  Loss: 2.1283 | Val  Acc: 0.3333
 Site-Others_utk                    | Val  Loss: 2.1323 | Val  Acc: 0.2222
 Site-Southeast_Asian               | Val  Loss: 2.1742 | Val  Acc: 0.1786
 Site-Southeast_Asian               | Val  Loss: 2.1548 | Val  Acc: 0.1977
 Site-Middle_Eastern_gan            | Val  Loss: 2.1903 | Val  Acc: 0.0000
 Site-Middle_Eastern_gan            | Val  Loss: 2.1436 | Val  Acc: 0.1379
Average Valid Accuracy: 0.1948
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.1472
 Best site-White_utk                 | Epoch:1 | Val Acc: 0.1639
 Best site-East_Asian                | Epoch:1 | Val Acc: 0.2836
 Best site-East_Asian                | Epoch:1 | Val Acc: 0.2886
 Best site-Indian_utk                | Epoch:1 | Val Acc: 0.1648
 Best site-Indian_utk                | Epoch:1 | Val Acc: 0.1758
 Best site-Black_utk                 | Epoch:1 | Val Acc: 0.2143
 Best site-Black_utk                 | Epoch:1 | Val Acc: 0.2188
 Best site-Others_utk                | Epoch:1 | Val Acc: 0.3333
 Best site-Others_utk                | Epoch:1 | Val Acc: 0.2222
 Best site-Southeast_Asian           | Epoch:1 | Val Acc: 0.1786
 Best site-Southeast_Asian           | Epoch:1 | Val Acc: 0.1977
 Best site-Middle_Eastern_gan        | Epoch:1 | Val Acc: 0.0000
 Best site-Middle_Eastern_gan        | Epoch:1 | Val Acc: 0.1379
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_even-mix5_1.0_1_random_dis_cluster_-1/fedavg...
============ Train epoch 2 ============
 Site-White_utk                     | Train Loss: 2.1584 | Train Acc: 0.2128
 Site-White_utk                     | Train Loss: 2.1650 | Train Acc: 0.1622
 Site-East_Asian                    | Train Loss: 2.1011 | Train Acc: 0.3930
 Site-East_Asian                    | Train Loss: 2.0808 | Train Acc: 0.3460
 Site-Indian_utk                    | Train Loss: 2.1377 | Train Acc: 0.1898
 Site-Indian_utk                    | Train Loss: 2.1254 | Train Acc: 0.2701
 Site-Black_utk                     | Train Loss: 2.1247 | Train Acc: 0.3281
 Site-Black_utk                     | Train Loss: 2.1332 | Train Acc: 0.2865
 Site-Others_utk                    | Train Loss: 2.1128 | Train Acc: 0.2222
 Site-Others_utk                    | Train Loss: 2.0890 | Train Acc: 0.3862
 Site-Southeast_Asian               | Train Loss: 2.1081 | Train Acc: 0.3256
 Site-Southeast_Asian               | Train Loss: 2.0924 | Train Acc: 0.2946
 Site-Middle_Eastern_gan            | Train Loss: 2.0278 | Train Acc: 0.3103
 Site-Middle_Eastern_gan            | Train Loss: 2.0718 | Train Acc: 0.2874
Average Train Accuracy: 0.2868
 Site-White_utk                     | Val  Loss: 2.1626 | Val  Acc: 0.1675
 Site-White_utk                     | Val  Loss: 2.1627 | Val  Acc: 0.1605
 Site-East_Asian                    | Val  Loss: 2.0591 | Val  Acc: 0.3507
 Site-East_Asian                    | Val  Loss: 2.0751 | Val  Acc: 0.3607
 Site-Indian_utk                    | Val  Loss: 2.1266 | Val  Acc: 0.3077
 Site-Indian_utk                    | Val  Loss: 2.1251 | Val  Acc: 0.2747
 Site-Black_utk                     | Val  Loss: 2.1428 | Val  Acc: 0.3571
 Site-Black_utk                     | Val  Loss: 2.1311 | Val  Acc: 0.3047
 Site-Others_utk                    | Val  Loss: 2.0845 | Val  Acc: 0.4524
 Site-Others_utk                    | Val  Loss: 2.0933 | Val  Acc: 0.3492
 Site-Southeast_Asian               | Val  Loss: 2.1355 | Val  Acc: 0.3214
 Site-Southeast_Asian               | Val  Loss: 2.1249 | Val  Acc: 0.3140
 Site-Middle_Eastern_gan            | Val  Loss: 2.1368 | Val  Acc: 0.2632
 Site-Middle_Eastern_gan            | Val  Loss: 2.1031 | Val  Acc: 0.3621
Average Valid Accuracy: 0.3104
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.1675
 Best site-White_utk                 | Epoch:2 | Val Acc: 0.1605
 Best site-East_Asian                | Epoch:2 | Val Acc: 0.3507
 Best site-East_Asian                | Epoch:2 | Val Acc: 0.3607
 Best site-Indian_utk                | Epoch:2 | Val Acc: 0.3077
 Best site-Indian_utk                | Epoch:2 | Val Acc: 0.2747
 Best site-Black_utk                 | Epoch:2 | Val Acc: 0.3571
 Best site-Black_utk                 | Epoch:2 | Val Acc: 0.3047
 Best site-Others_utk                | Epoch:2 | Val Acc: 0.4524
 Best site-Others_utk                | Epoch:2 | Val Acc: 0.3492
 Best site-Southeast_Asian           | Epoch:2 | Val Acc: 0.3214
 Best site-Southeast_Asian           | Epoch:2 | Val Acc: 0.3140
 Best site-Middle_Eastern_gan        | Epoch:2 | Val Acc: 0.2632
 Best site-Middle_Eastern_gan        | Epoch:2 | Val Acc: 0.3621
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_even-mix5_1.0_1_random_dis_cluster_-1/fedavg...
============ Train epoch 3 ============
 Site-White_utk                     | Train Loss: 2.1474 | Train Acc: 0.1858
 Site-White_utk                     | Train Loss: 2.1474 | Train Acc: 0.1892
 Site-East_Asian                    | Train Loss: 2.0407 | Train Acc: 0.4129
 Site-East_Asian                    | Train Loss: 2.0503 | Train Acc: 0.3924
 Site-Indian_utk                    | Train Loss: 2.0891 | Train Acc: 0.2774
 Site-Indian_utk                    | Train Loss: 2.0939 | Train Acc: 0.3236
 Site-Black_utk                     | Train Loss: 2.1066 | Train Acc: 0.3125
 Site-Black_utk                     | Train Loss: 2.1041 | Train Acc: 0.3646
 Site-Others_utk                    | Train Loss: 2.0903 | Train Acc: 0.3651
 Site-Others_utk                    | Train Loss: 2.0505 | Train Acc: 0.4339
 Site-Southeast_Asian               | Train Loss: 2.0789 | Train Acc: 0.3023
 Site-Southeast_Asian               | Train Loss: 2.0699 | Train Acc: 0.3023
 Site-Middle_Eastern_gan            | Train Loss: 1.9629 | Train Acc: 0.5862
 Site-Middle_Eastern_gan            | Train Loss: 2.0273 | Train Acc: 0.4368
Average Train Accuracy: 0.3489
 Site-White_utk                     | Val  Loss: 2.1551 | Val  Acc: 0.2030
 Site-White_utk                     | Val  Loss: 2.1486 | Val  Acc: 0.1841
 Site-East_Asian                    | Val  Loss: 2.0244 | Val  Acc: 0.4030
 Site-East_Asian                    | Val  Loss: 2.0454 | Val  Acc: 0.3881
 Site-Indian_utk                    | Val  Loss: 2.0856 | Val  Acc: 0.3297
 Site-Indian_utk                    | Val  Loss: 2.0905 | Val  Acc: 0.3663
 Site-Black_utk                     | Val  Loss: 2.1096 | Val  Acc: 0.3095
 Site-Black_utk                     | Val  Loss: 2.1146 | Val  Acc: 0.3203
 Site-Others_utk                    | Val  Loss: 2.0462 | Val  Acc: 0.4762
 Site-Others_utk                    | Val  Loss: 2.0478 | Val  Acc: 0.4444
 Site-Southeast_Asian               | Val  Loss: 2.0934 | Val  Acc: 0.3571
 Site-Southeast_Asian               | Val  Loss: 2.1069 | Val  Acc: 0.2791
 Site-Middle_Eastern_gan            | Val  Loss: 2.0784 | Val  Acc: 0.4211
 Site-Middle_Eastern_gan            | Val  Loss: 2.0553 | Val  Acc: 0.4138
Average Valid Accuracy: 0.3497
 Best site-White_utk                 | Epoch:3 | Val Acc: 0.2030
