===2023-06-14 06:03:55===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[296,888,201,604,137,411,64,192,63,189,43,129,29,87,]
client_nums=[2,2,2,2,2,2,2,]
len_dataset=[3952,2688,1828,856,846,575,391,]
domain number = -1
============ Train epoch 0 ============
denominator: 31020.34765625
 Site-White_utk                     | Train Loss: 2.2034 | Train Acc: 0.1216
 Site-White_utk                     | Train Loss: 2.2053 | Train Acc: 0.0935
 Site-East_Asian                    | Train Loss: 2.1707 | Train Acc: 0.1542
 Site-East_Asian                    | Train Loss: 2.1752 | Train Acc: 0.1159
 Site-Indian_utk                    | Train Loss: 2.2135 | Train Acc: 0.0803
 Site-Indian_utk                    | Train Loss: 2.2049 | Train Acc: 0.0827
 Site-Black_utk                     | Train Loss: 2.2008 | Train Acc: 0.0938
 Site-Black_utk                     | Train Loss: 2.1970 | Train Acc: 0.1094
 Site-Others_utk                    | Train Loss: 2.2004 | Train Acc: 0.1111
 Site-Others_utk                    | Train Loss: 2.1815 | Train Acc: 0.1429
 Site-Southeast_Asian               | Train Loss: 2.1727 | Train Acc: 0.0698
 Site-Southeast_Asian               | Train Loss: 2.1453 | Train Acc: 0.1008
 Site-Middle_Eastern_gan            | Train Loss: 2.2239 | Train Acc: 0.0000
 Site-Middle_Eastern_gan            | Train Loss: 2.1835 | Train Acc: 0.1379
Average Train Accuracy: 0.1010
 Site-White_utk                     | Val  Loss: 2.2167 | Val  Acc: 0.0964
 Site-White_utk                     | Val  Loss: 2.2020 | Val  Acc: 0.0946
 Site-East_Asian                    | Val  Loss: 2.1538 | Val  Acc: 0.1716
 Site-East_Asian                    | Val  Loss: 2.1727 | Val  Acc: 0.1393
 Site-Indian_utk                    | Val  Loss: 2.2120 | Val  Acc: 0.0549
 Site-Indian_utk                    | Val  Loss: 2.1990 | Val  Acc: 0.0879
 Site-Black_utk                     | Val  Loss: 2.2005 | Val  Acc: 0.0952
 Site-Black_utk                     | Val  Loss: 2.1996 | Val  Acc: 0.1172
 Site-Others_utk                    | Val  Loss: 2.1757 | Val  Acc: 0.1667
 Site-Others_utk                    | Val  Loss: 2.1800 | Val  Acc: 0.1429
 Site-Southeast_Asian               | Val  Loss: 2.1958 | Val  Acc: 0.0357
 Site-Southeast_Asian               | Val  Loss: 2.1845 | Val  Acc: 0.1163
 Site-Middle_Eastern_gan            | Val  Loss: 2.2548 | Val  Acc: 0.0000
 Site-Middle_Eastern_gan            | Val  Loss: 2.2084 | Val  Acc: 0.0345
Average Valid Accuracy: 0.0967
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.0964
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.0946
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.1716
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.1393
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.0549
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.0879
 Best site-Black_utk                 | Epoch:0 | Val Acc: 0.0952
 Best site-Black_utk                 | Epoch:0 | Val Acc: 0.1172
 Best site-Others_utk                | Epoch:0 | Val Acc: 0.1667
 Best site-Others_utk                | Epoch:0 | Val Acc: 0.1429
 Best site-Southeast_Asian           | Epoch:0 | Val Acc: 0.0357
