===2023-05-14 10:45:03===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[82,247,82,247,82,247,82,247,82,247,82,247,82,247,]
client_nums=[2,2,2,2,2,2,2,]
len_dataset=[1100,1100,1100,1100,1100,1100,1100,]
label set of clients: [9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, ]
domain number = 7
============ Train epoch 0 ============
 Site-White           | Train Loss: 1.9508 | Train Acc: 0.3293
 Site-White           | Train Loss: 1.9217 | Train Acc: 0.3198
 Site-Latino_Hispanic | Train Loss: 2.0316 | Train Acc: 0.2683
 Site-Latino_Hispanic | Train Loss: 2.0040 | Train Acc: 0.2672
 Site-Black           | Train Loss: 2.1029 | Train Acc: 0.2439
 Site-Black           | Train Loss: 1.9751 | Train Acc: 0.2874
 Site-East_Asian      | Train Loss: 1.9590 | Train Acc: 0.3780
 Site-East_Asian      | Train Loss: 1.9346 | Train Acc: 0.3239
 Site-Indian          | Train Loss: 2.0756 | Train Acc: 0.2317
 Site-Indian          | Train Loss: 2.1854 | Train Acc: 0.2308
 Site-Southeast_Asian | Train Loss: 2.1611 | Train Acc: 0.3049
 Site-Southeast_Asian | Train Loss: 2.1020 | Train Acc: 0.3036
 Site-Middle_Eastern  | Train Loss: 1.7844 | Train Acc: 0.3415
 Site-Middle_Eastern  | Train Loss: 1.9066 | Train Acc: 0.3603
 Site-White           | Val  Loss: 1.9854 | Val  Acc: 0.3273
 Site-White           | Val  Loss: 1.9566 | Val  Acc: 0.3152
 Site-Latino_Hispanic | Val  Loss: 2.0055 | Val  Acc: 0.2909
 Site-Latino_Hispanic | Val  Loss: 2.0115 | Val  Acc: 0.2667
 Site-Black           | Val  Loss: 2.2427 | Val  Acc: 0.1818
 Site-Black           | Val  Loss: 1.9521 | Val  Acc: 0.2970
 Site-East_Asian      | Val  Loss: 1.9060 | Val  Acc: 0.3091
 Site-East_Asian      | Val  Loss: 1.9263 | Val  Acc: 0.3515
 Site-Indian          | Val  Loss: 2.1978 | Val  Acc: 0.2182
 Site-Indian          | Val  Loss: 2.1970 | Val  Acc: 0.2242
 Site-Southeast_Asian | Val  Loss: 2.1247 | Val  Acc: 0.2909
 Site-Southeast_Asian | Val  Loss: 2.0952 | Val  Acc: 0.3030
 Site-Middle_Eastern  | Val  Loss: 2.0251 | Val  Acc: 0.3273
 Site-Middle_Eastern  | Val  Loss: 1.9621 | Val  Acc: 0.3273
Average Valid Accuracy: 0.2879
 Best site-White            | Epoch:0 | Val Acc: 0.3273
 Best site-White            | Epoch:0 | Val Acc: 0.3152
 Best site-Latino_Hispanic  | Epoch:0 | Val Acc: 0.2909
 Best site-Latino_Hispanic  | Epoch:0 | Val Acc: 0.2667
 Best site-Black            | Epoch:0 | Val Acc: 0.1818
 Best site-Black            | Epoch:0 | Val Acc: 0.2970
 Best site-East_Asian       | Epoch:0 | Val Acc: 0.3091
 Best site-East_Asian       | Epoch:0 | Val Acc: 0.3515
 Best site-Indian           | Epoch:0 | Val Acc: 0.2182
 Best site-Indian           | Epoch:0 | Val Acc: 0.2242
 Best site-Southeast_Asian  | Epoch:0 | Val Acc: 0.2909
 Best site-Southeast_Asian  | Epoch:0 | Val Acc: 0.3030
 Best site-Middle_Eastern   | Epoch:0 | Val Acc: 0.3273
 Best site-Middle_Eastern   | Epoch:0 | Val Acc: 0.3273
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_even_1.0_1/CoCoOP...
============ Train epoch 1 ============
 Site-White           | Train Loss: 1.9060 | Train Acc: 0.3049
 Site-White           | Train Loss: 1.9156 | Train Acc: 0.3401
 Site-Latino_Hispanic | Train Loss: 1.8893 | Train Acc: 0.3049
 Site-Latino_Hispanic | Train Loss: 1.9250 | Train Acc: 0.2348
 Site-Black           | Train Loss: 1.9598 | Train Acc: 0.2195
 Site-Black           | Train Loss: 1.8873 | Train Acc: 0.2834
 Site-East_Asian      | Train Loss: 1.7721 | Train Acc: 0.3415
 Site-East_Asian      | Train Loss: 1.8904 | Train Acc: 0.2874
 Site-Indian          | Train Loss: 2.0069 | Train Acc: 0.2195
 Site-Indian          | Train Loss: 2.0971 | Train Acc: 0.2146
 Site-Southeast_Asian | Train Loss: 2.1754 | Train Acc: 0.2561
 Site-Southeast_Asian | Train Loss: 2.0993 | Train Acc: 0.2915
 Site-Middle_Eastern  | Train Loss: 1.9733 | Train Acc: 0.3049
 Site-Middle_Eastern  | Train Loss: 1.8626 | Train Acc: 0.3522
 Site-White           | Val  Loss: 2.0185 | Val  Acc: 0.2727
 Site-White           | Val  Loss: 1.9628 | Val  Acc: 0.3030
 Site-Latino_Hispanic | Val  Loss: 1.8839 | Val  Acc: 0.2727
 Site-Latino_Hispanic | Val  Loss: 1.9328 | Val  Acc: 0.2242
 Site-Black           | Val  Loss: 2.0989 | Val  Acc: 0.1636
 Site-Black           | Val  Loss: 1.8704 | Val  Acc: 0.2909
 Site-East_Asian      | Val  Loss: 1.8499 | Val  Acc: 0.3636
 Site-East_Asian      | Val  Loss: 1.8738 | Val  Acc: 0.3152
 Site-Indian          | Val  Loss: 2.0790 | Val  Acc: 0.2182
 Site-Indian          | Val  Loss: 2.1032 | Val  Acc: 0.2121
 Site-Southeast_Asian | Val  Loss: 2.1400 | Val  Acc: 0.2909
 Site-Southeast_Asian | Val  Loss: 2.0888 | Val  Acc: 0.2848
 Site-Middle_Eastern  | Val  Loss: 1.9704 | Val  Acc: 0.2727
 Site-Middle_Eastern  | Val  Loss: 1.9179 | Val  Acc: 0.2848
Average Valid Accuracy: 0.2693
============ Train epoch 2 ============
 Site-White           | Train Loss: 1.8193 | Train Acc: 0.3415
 Site-White           | Train Loss: 1.8952 | Train Acc: 0.3320
 Site-Latino_Hispanic | Train Loss: 1.8361 | Train Acc: 0.2805
 Site-Latino_Hispanic | Train Loss: 1.9049 | Train Acc: 0.2753
 Site-Black           | Train Loss: 1.9540 | Train Acc: 0.2561
 Site-Black           | Train Loss: 1.8579 | Train Acc: 0.2510
 Site-East_Asian      | Train Loss: 1.7811 | Train Acc: 0.3659
 Site-East_Asian      | Train Loss: 1.8653 | Train Acc: 0.2915
 Site-Indian          | Train Loss: 1.9319 | Train Acc: 0.1951
 Site-Indian          | Train Loss: 2.0772 | Train Acc: 0.2308
 Site-Southeast_Asian | Train Loss: 1.9887 | Train Acc: 0.2683
 Site-Southeast_Asian | Train Loss: 2.0495 | Train Acc: 0.3036
 Site-Middle_Eastern  | Train Loss: 1.7944 | Train Acc: 0.3415
 Site-Middle_Eastern  | Train Loss: 1.8428 | Train Acc: 0.3117
 Site-White           | Val  Loss: 1.9488 | Val  Acc: 0.2909
 Site-White           | Val  Loss: 1.9207 | Val  Acc: 0.3212
 Site-Latino_Hispanic | Val  Loss: 1.8668 | Val  Acc: 0.3273
 Site-Latino_Hispanic | Val  Loss: 1.9082 | Val  Acc: 0.2667
 Site-Black           | Val  Loss: 2.0505 | Val  Acc: 0.1818
 Site-Black           | Val  Loss: 1.8492 | Val  Acc: 0.2667
 Site-East_Asian      | Val  Loss: 1.8502 | Val  Acc: 0.3091
 Site-East_Asian      | Val  Loss: 1.8604 | Val  Acc: 0.3091
 Site-Indian          | Val  Loss: 2.0236 | Val  Acc: 0.2545
 Site-Indian          | Val  Loss: 2.0388 | Val  Acc: 0.2303
 Site-Southeast_Asian | Val  Loss: 2.0920 | Val  Acc: 0.2727
 Site-Southeast_Asian | Val  Loss: 2.0495 | Val  Acc: 0.2909
 Site-Middle_Eastern  | Val  Loss: 1.9289 | Val  Acc: 0.3273
 Site-Middle_Eastern  | Val  Loss: 1.8895 | Val  Acc: 0.2970
Average Valid Accuracy: 0.2818
============ Train epoch 3 ============
 Site-White           | Train Loss: 1.8254 | Train Acc: 0.3293
 Site-White           | Train Loss: 1.8841 | Train Acc: 0.3360
 Site-Latino_Hispanic | Train Loss: 1.8277 | Train Acc: 0.2805
 Site-Latino_Hispanic | Train Loss: 1.8684 | Train Acc: 0.2794
 Site-Black           | Train Loss: 1.8773 | Train Acc: 0.2561
 Site-Black           | Train Loss: 1.8410 | Train Acc: 0.2713
 Site-East_Asian      | Train Loss: 1.8309 | Train Acc: 0.3780
 Site-East_Asian      | Train Loss: 1.8423 | Train Acc: 0.3117
 Site-Indian          | Train Loss: 1.9206 | Train Acc: 0.3049
 Site-Indian          | Train Loss: 2.0156 | Train Acc: 0.2267
 Site-Southeast_Asian | Train Loss: 2.1349 | Train Acc: 0.2805
 Site-Southeast_Asian | Train Loss: 2.0071 | Train Acc: 0.2996
 Site-Middle_Eastern  | Train Loss: 1.7668 | Train Acc: 0.3659
 Site-Middle_Eastern  | Train Loss: 1.8150 | Train Acc: 0.3563
 Site-White           | Val  Loss: 1.9552 | Val  Acc: 0.3273
 Site-White           | Val  Loss: 1.9207 | Val  Acc: 0.3091
 Site-Latino_Hispanic | Val  Loss: 1.8601 | Val  Acc: 0.3091
 Site-Latino_Hispanic | Val  Loss: 1.8797 | Val  Acc: 0.2788
 Site-Black           | Val  Loss: 2.0257 | Val  Acc: 0.1455
 Site-Black           | Val  Loss: 1.8275 | Val  Acc: 0.2909
 Site-East_Asian      | Val  Loss: 1.8727 | Val  Acc: 0.2727
 Site-East_Asian      | Val  Loss: 1.8353 | Val  Acc: 0.3576
 Site-Indian          | Val  Loss: 1.9744 | Val  Acc: 0.2364
 Site-Indian          | Val  Loss: 2.0209 | Val  Acc: 0.2545
 Site-Southeast_Asian | Val  Loss: 2.0336 | Val  Acc: 0.3091
 Site-Southeast_Asian | Val  Loss: 2.0115 | Val  Acc: 0.2727
 Site-Middle_Eastern  | Val  Loss: 1.9085 | Val  Acc: 0.3273
 Site-Middle_Eastern  | Val  Loss: 1.8687 | Val  Acc: 0.3212
Average Valid Accuracy: 0.2866
============ Train epoch 4 ============
 Site-White           | Train Loss: 1.8205 | Train Acc: 0.3171
 Site-White           | Train Loss: 1.8496 | Train Acc: 0.3401
 Site-Latino_Hispanic | Train Loss: 1.7600 | Train Acc: 0.3049
 Site-Latino_Hispanic | Train Loss: 1.8561 | Train Acc: 0.2470
 Site-Black           | Train Loss: 1.8562 | Train Acc: 0.2317
 Site-Black           | Train Loss: 1.8292 | Train Acc: 0.2834
 Site-East_Asian      | Train Loss: 1.6429 | Train Acc: 0.3780
 Site-East_Asian      | Train Loss: 1.8150 | Train Acc: 0.3320
 Site-Indian          | Train Loss: 1.9448 | Train Acc: 0.2805
 Site-Indian          | Train Loss: 2.0003 | Train Acc: 0.2267
 Site-Southeast_Asian | Train Loss: 1.9314 | Train Acc: 0.3171
 Site-Southeast_Asian | Train Loss: 1.9739 | Train Acc: 0.2955
 Site-Middle_Eastern  | Train Loss: 1.8050 | Train Acc: 0.3171
 Site-Middle_Eastern  | Train Loss: 1.8052 | Train Acc: 0.3441
