===2023-05-14 12:06:29===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[82,247,82,247,82,247,82,247,82,247,82,247,82,247,]
client_nums=[2,2,2,2,2,2,2,]
len_dataset=[1100,1100,1100,1100,1100,1100,1100,]
label set of clients: [9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, ]
domain number = 7
============ Train epoch 0 ============
 Site-White           | Train Loss: 1.7217 | Train Acc: 0.3415
 Site-White           | Train Loss: 1.7040 | Train Acc: 0.3401
 Site-Latino_Hispanic | Train Loss: 1.7554 | Train Acc: 0.2927
 Site-Latino_Hispanic | Train Loss: 1.7533 | Train Acc: 0.2955
 Site-Black           | Train Loss: 1.7598 | Train Acc: 0.2805
 Site-Black           | Train Loss: 1.7529 | Train Acc: 0.3117
 Site-East_Asian      | Train Loss: 1.5227 | Train Acc: 0.4878
 Site-East_Asian      | Train Loss: 1.6586 | Train Acc: 0.4008
 Site-Indian          | Train Loss: 1.9256 | Train Acc: 0.2805
 Site-Indian          | Train Loss: 1.9159 | Train Acc: 0.2713
 Site-Southeast_Asian | Train Loss: 1.9092 | Train Acc: 0.3415
 Site-Southeast_Asian | Train Loss: 1.8660 | Train Acc: 0.3522
 Site-Middle_Eastern  | Train Loss: 1.7349 | Train Acc: 0.3659
 Site-Middle_Eastern  | Train Loss: 1.6744 | Train Acc: 0.3806
 Site-White           | Val  Loss: 1.7381 | Val  Acc: 0.3273
 Site-White           | Val  Loss: 1.7140 | Val  Acc: 0.3455
 Site-Latino_Hispanic | Val  Loss: 1.7150 | Val  Acc: 0.3091
 Site-Latino_Hispanic | Val  Loss: 1.7420 | Val  Acc: 0.2970
 Site-Black           | Val  Loss: 1.9829 | Val  Acc: 0.2364
 Site-Black           | Val  Loss: 1.7414 | Val  Acc: 0.3212
 Site-East_Asian      | Val  Loss: 1.7274 | Val  Acc: 0.3636
 Site-East_Asian      | Val  Loss: 1.6283 | Val  Acc: 0.4182
 Site-Indian          | Val  Loss: 1.9589 | Val  Acc: 0.2545
 Site-Indian          | Val  Loss: 1.9147 | Val  Acc: 0.2667
 Site-Southeast_Asian | Val  Loss: 1.8733 | Val  Acc: 0.3455
 Site-Southeast_Asian | Val  Loss: 1.8808 | Val  Acc: 0.3515
 Site-Middle_Eastern  | Val  Loss: 1.7478 | Val  Acc: 0.3455
 Site-Middle_Eastern  | Val  Loss: 1.7549 | Val  Acc: 0.3636
Average Valid Accuracy: 0.3247
 Best site-White            | Epoch:0 | Val Acc: 0.3273
 Best site-White            | Epoch:0 | Val Acc: 0.3455
 Best site-Latino_Hispanic  | Epoch:0 | Val Acc: 0.3091
 Best site-Latino_Hispanic  | Epoch:0 | Val Acc: 0.2970
 Best site-Black            | Epoch:0 | Val Acc: 0.2364
 Best site-Black            | Epoch:0 | Val Acc: 0.3212
 Best site-East_Asian       | Epoch:0 | Val Acc: 0.3636
 Best site-East_Asian       | Epoch:0 | Val Acc: 0.4182
 Best site-Indian           | Epoch:0 | Val Acc: 0.2545
 Best site-Indian           | Epoch:0 | Val Acc: 0.2667
 Best site-Southeast_Asian  | Epoch:0 | Val Acc: 0.3455
 Best site-Southeast_Asian  | Epoch:0 | Val Acc: 0.3515
 Best site-Middle_Eastern   | Epoch:0 | Val Acc: 0.3455
 Best site-Middle_Eastern   | Epoch:0 | Val Acc: 0.3636
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_even_1.0_1/harmo-fl...
============ Train epoch 1 ============
 Site-White           | Train Loss: 1.4802 | Train Acc: 0.3902
 Site-White           | Train Loss: 1.5165 | Train Acc: 0.4008
 Site-Latino_Hispanic | Train Loss: 1.5630 | Train Acc: 0.3659
 Site-Latino_Hispanic | Train Loss: 1.5234 | Train Acc: 0.4008
 Site-Black           | Train Loss: 1.4663 | Train Acc: 0.4268
 Site-Black           | Train Loss: 1.6219 | Train Acc: 0.4008
 Site-East_Asian      | Train Loss: 1.3539 | Train Acc: 0.5244
 Site-East_Asian      | Train Loss: 1.4727 | Train Acc: 0.4615
 Site-Indian          | Train Loss: 1.5277 | Train Acc: 0.4024
 Site-Indian          | Train Loss: 1.6217 | Train Acc: 0.3441
 Site-Southeast_Asian | Train Loss: 1.6346 | Train Acc: 0.4512
 Site-Southeast_Asian | Train Loss: 1.5758 | Train Acc: 0.4251
 Site-Middle_Eastern  | Train Loss: 1.5166 | Train Acc: 0.4268
 Site-Middle_Eastern  | Train Loss: 1.5014 | Train Acc: 0.4615
 Site-White           | Val  Loss: 1.5101 | Val  Acc: 0.3818
 Site-White           | Val  Loss: 1.5310 | Val  Acc: 0.3818
 Site-Latino_Hispanic | Val  Loss: 1.4535 | Val  Acc: 0.4000
 Site-Latino_Hispanic | Val  Loss: 1.5267 | Val  Acc: 0.3879
 Site-Black           | Val  Loss: 1.7124 | Val  Acc: 0.3818
 Site-Black           | Val  Loss: 1.5914 | Val  Acc: 0.4606
 Site-East_Asian      | Val  Loss: 1.5589 | Val  Acc: 0.3818
 Site-East_Asian      | Val  Loss: 1.4612 | Val  Acc: 0.4727
 Site-Indian          | Val  Loss: 1.6083 | Val  Acc: 0.3455
 Site-Indian          | Val  Loss: 1.6211 | Val  Acc: 0.3697
 Site-Southeast_Asian | Val  Loss: 1.5511 | Val  Acc: 0.3818
 Site-Southeast_Asian | Val  Loss: 1.5516 | Val  Acc: 0.4182
 Site-Middle_Eastern  | Val  Loss: 1.5600 | Val  Acc: 0.4545
 Site-Middle_Eastern  | Val  Loss: 1.5352 | Val  Acc: 0.4424
Average Valid Accuracy: 0.4043
 Best site-White            | Epoch:1 | Val Acc: 0.3818
 Best site-White            | Epoch:1 | Val Acc: 0.3818
 Best site-Latino_Hispanic  | Epoch:1 | Val Acc: 0.4000
 Best site-Latino_Hispanic  | Epoch:1 | Val Acc: 0.3879
 Best site-Black            | Epoch:1 | Val Acc: 0.3818
 Best site-Black            | Epoch:1 | Val Acc: 0.4606
 Best site-East_Asian       | Epoch:1 | Val Acc: 0.3818
 Best site-East_Asian       | Epoch:1 | Val Acc: 0.4727
 Best site-Indian           | Epoch:1 | Val Acc: 0.3455
 Best site-Indian           | Epoch:1 | Val Acc: 0.3697
 Best site-Southeast_Asian  | Epoch:1 | Val Acc: 0.3818
 Best site-Southeast_Asian  | Epoch:1 | Val Acc: 0.4182
 Best site-Middle_Eastern   | Epoch:1 | Val Acc: 0.4545
 Best site-Middle_Eastern   | Epoch:1 | Val Acc: 0.4424
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_even_1.0_1/harmo-fl...
============ Train epoch 2 ============
 Site-White           | Train Loss: 1.3904 | Train Acc: 0.4634
 Site-White           | Train Loss: 1.4007 | Train Acc: 0.4534
 Site-Latino_Hispanic | Train Loss: 1.4891 | Train Acc: 0.4024
 Site-Latino_Hispanic | Train Loss: 1.4387 | Train Acc: 0.4453
 Site-Black           | Train Loss: 1.4414 | Train Acc: 0.5488
 Site-Black           | Train Loss: 1.5278 | Train Acc: 0.4372
 Site-East_Asian      | Train Loss: 1.2987 | Train Acc: 0.5488
 Site-East_Asian      | Train Loss: 1.3693 | Train Acc: 0.4858
 Site-Indian          | Train Loss: 1.4366 | Train Acc: 0.4634
 Site-Indian          | Train Loss: 1.5127 | Train Acc: 0.4170
 Site-Southeast_Asian | Train Loss: 1.4272 | Train Acc: 0.5244
 Site-Southeast_Asian | Train Loss: 1.4304 | Train Acc: 0.4696
 Site-Middle_Eastern  | Train Loss: 1.4895 | Train Acc: 0.4878
 Site-Middle_Eastern  | Train Loss: 1.3533 | Train Acc: 0.5020
 Site-White           | Val  Loss: 1.4207 | Val  Acc: 0.4182
 Site-White           | Val  Loss: 1.4038 | Val  Acc: 0.4485
 Site-Latino_Hispanic | Val  Loss: 1.3689 | Val  Acc: 0.4364
 Site-Latino_Hispanic | Val  Loss: 1.4408 | Val  Acc: 0.4121
 Site-Black           | Val  Loss: 1.6237 | Val  Acc: 0.3818
 Site-Black           | Val  Loss: 1.5256 | Val  Acc: 0.4364
 Site-East_Asian      | Val  Loss: 1.4584 | Val  Acc: 0.4545
 Site-East_Asian      | Val  Loss: 1.3145 | Val  Acc: 0.5212
