===2023-06-09 02:51:46===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[361,532,246,361,167,245,113,167,77,113,52,76,35,52,]
client_nums=[2,2,2,2,2,2,2,]
len_dataset=[2980,2027,1378,937,637,433,294,]
domain number = 7
============ Train epoch 0 ============
 Site-White                    | Train Loss: 1.8394 | Train Acc: 0.3490
 Site-White                    | Train Loss: 1.8190 | Train Acc: 0.3571
 Site-Latino_Hispanic          | Train Loss: 1.9676 | Train Acc: 0.2561
 Site-Latino_Hispanic          | Train Loss: 1.9496 | Train Acc: 0.2548
 Site-Black                    | Train Loss: 2.0069 | Train Acc: 0.2455
 Site-Black                    | Train Loss: 2.0421 | Train Acc: 0.2408
 Site-East_Asian               | Train Loss: 1.8580 | Train Acc: 0.3628
 Site-East_Asian               | Train Loss: 1.7841 | Train Acc: 0.4072
 Site-Indian                   | Train Loss: 2.1377 | Train Acc: 0.2338
 Site-Indian                   | Train Loss: 2.1013 | Train Acc: 0.2478
 Site-Southeast_Asian          | Train Loss: 2.1037 | Train Acc: 0.2692
 Site-Southeast_Asian          | Train Loss: 2.2039 | Train Acc: 0.3026
 Site-Middle_Eastern           | Train Loss: 2.1380 | Train Acc: 0.2286
 Site-Middle_Eastern           | Train Loss: 1.9677 | Train Acc: 0.3077
 Site-White                         | Val  Loss: 1.8461 | Val  Acc: 0.3402
 Site-White                         | Val  Loss: 1.8576 | Val  Acc: 0.3475
 Site-Latino_Hispanic               | Val  Loss: 1.9599 | Val  Acc: 0.2761
 Site-Latino_Hispanic               | Val  Loss: 1.9663 | Val  Acc: 0.2614
 Site-Black                         | Val  Loss: 1.9241 | Val  Acc: 0.2973
 Site-Black                         | Val  Loss: 2.0080 | Val  Acc: 0.2270
 Site-East_Asian                    | Val  Loss: 2.0259 | Val  Acc: 0.4000
 Site-East_Asian                    | Val  Loss: 1.7867 | Val  Acc: 0.4144
 Site-Indian                        | Val  Loss: 2.1091 | Val  Acc: 0.2353
 Site-Indian                        | Val  Loss: 2.1356 | Val  Acc: 0.2533
 Site-Southeast_Asian               | Val  Loss: 2.2253 | Val  Acc: 0.2353
 Site-Southeast_Asian               | Val  Loss: 2.0303 | Val  Acc: 0.3137
 Site-Middle_Eastern                | Val  Loss: 2.2809 | Val  Acc: 0.1304
 Site-Middle_Eastern                | Val  Loss: 1.9169 | Val  Acc: 0.3529
Average Valid Accuracy: 0.2918
 Best site-White                     | Epoch:0 | Val Acc: 0.3402
 Best site-White                     | Epoch:0 | Val Acc: 0.3475
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.2761
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.2614
 Best site-Black                     | Epoch:0 | Val Acc: 0.2973
 Best site-Black                     | Epoch:0 | Val Acc: 0.2270
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.4000
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.4144
 Best site-Indian                    | Epoch:0 | Val Acc: 0.2353
 Best site-Indian                    | Epoch:0 | Val Acc: 0.2533
 Best site-Southeast_Asian           | Epoch:0 | Val Acc: 0.2353
 Best site-Southeast_Asian           | Epoch:0 | Val Acc: 0.3137
 Best site-Middle_Eastern            | Epoch:0 | Val Acc: 0.1304
 Best site-Middle_Eastern            | Epoch:0 | Val Acc: 0.3529
