===2023-06-13 18:55:59===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[128,168,220,288,378,144,188,247,323,138,181,238,110,145,164,214,307,125,]
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[3952,3016,1865,856,1265,1024,419,]
domain number = -1
============ Train epoch 0 ============
 Site-White_utk                     | Train Loss: 2.2870 | Train Acc: 0.1094
 Site-White_utk                     | Train Loss: 2.2720 | Train Acc: 0.1131
 Site-White_utk                     | Train Loss: 2.2611 | Train Acc: 0.1227
 Site-White_utk                     | Train Loss: 2.2938 | Train Acc: 0.1146
 Site-White_utk                     | Train Loss: 2.2742 | Train Acc: 0.1111
 Site-East_Asian                    | Train Loss: 1.8893 | Train Acc: 0.3889
 Site-East_Asian                    | Train Loss: 1.8532 | Train Acc: 0.3883
 Site-East_Asian                    | Train Loss: 1.8943 | Train Acc: 0.3644
 Site-East_Asian                    | Train Loss: 1.8123 | Train Acc: 0.3994
 Site-Indian_utk                    | Train Loss: 1.9057 | Train Acc: 0.3623
 Site-Indian_utk                    | Train Loss: 1.9505 | Train Acc: 0.3591
 Site-Indian_utk                    | Train Loss: 1.9467 | Train Acc: 0.3529
 Site-Black_utk                     | Train Loss: 1.9540 | Train Acc: 0.3182
 Site-Black_utk                     | Train Loss: 1.9309 | Train Acc: 0.3103
 Site-Others_utk                    | Train Loss: 1.7954 | Train Acc: 0.4329
 Site-Others_utk                    | Train Loss: 1.8663 | Train Acc: 0.4019
 Site-Southeast_Asian               | Train Loss: 2.0104 | Train Acc: 0.3127
 Site-Middle_Eastern_gan            | Train Loss: 1.5604 | Train Acc: 0.6800
Average Train Accuracy: 0.3135
 Site-White_utk                     | Val  Loss: 2.2860 | Val  Acc: 0.1059
 Site-White_utk                     | Val  Loss: 2.2811 | Val  Acc: 0.1071
 Site-White_utk                     | Val  Loss: 2.2886 | Val  Acc: 0.1020
 Site-White_utk                     | Val  Loss: 2.2554 | Val  Acc: 0.1146
