===2023-06-13 21:21:29===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[128,168,220,288,378,144,188,247,323,138,181,238,110,145,164,214,307,125,]
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[3952,3016,1865,856,1265,1024,419,]
domain number = -1
============ Train epoch 0 ============
 Site-White_utk                     | Train Loss: 2.2045 | Train Acc: 0.0859
 Site-White_utk                     | Train Loss: 2.2054 | Train Acc: 0.1012
 Site-White_utk                     | Train Loss: 2.2061 | Train Acc: 0.0864
 Site-White_utk                     | Train Loss: 2.1972 | Train Acc: 0.0938
 Site-White_utk                     | Train Loss: 2.2019 | Train Acc: 0.0979
 Site-East_Asian                    | Train Loss: 2.1754 | Train Acc: 0.1181
 Site-East_Asian                    | Train Loss: 2.1770 | Train Acc: 0.1436
 Site-East_Asian                    | Train Loss: 2.1822 | Train Acc: 0.1174
 Site-East_Asian                    | Train Loss: 2.1599 | Train Acc: 0.1331
 Site-Indian_utk                    | Train Loss: 2.2193 | Train Acc: 0.0725
 Site-Indian_utk                    | Train Loss: 2.2086 | Train Acc: 0.0939
 Site-Indian_utk                    | Train Loss: 2.2042 | Train Acc: 0.0924
 Site-Black_utk                     | Train Loss: 2.2009 | Train Acc: 0.1182
 Site-Black_utk                     | Train Loss: 2.2046 | Train Acc: 0.1103
 Site-Others_utk                    | Train Loss: 2.1901 | Train Acc: 0.0854
 Site-Others_utk                    | Train Loss: 2.1860 | Train Acc: 0.1215
 Site-Southeast_Asian               | Train Loss: 2.1854 | Train Acc: 0.1140
 Site-Middle_Eastern_gan            | Train Loss: 2.1990 | Train Acc: 0.1120
Average Train Accuracy: 0.1054
 Site-White_utk                     | Val  Loss: 2.2113 | Val  Acc: 0.0824
 Site-White_utk                     | Val  Loss: 2.2027 | Val  Acc: 0.1071
 Site-White_utk                     | Val  Loss: 2.1866 | Val  Acc: 0.1497
 Site-White_utk                     | Val  Loss: 2.2030 | Val  Acc: 0.1042
 Site-White_utk                     | Val  Loss: 2.2119 | Val  Acc: 0.1071
 Site-East_Asian                    | Val  Loss: 2.1688 | Val  Acc: 0.1667
 Site-East_Asian                    | Val  Loss: 2.1719 | Val  Acc: 0.1440
 Site-East_Asian                    | Val  Loss: 2.1770 | Val  Acc: 0.1463
 Site-East_Asian                    | Val  Loss: 2.1749 | Val  Acc: 0.1343
 Site-Indian_utk                    | Val  Loss: 2.2005 | Val  Acc: 0.1087
 Site-Indian_utk                    | Val  Loss: 2.1995 | Val  Acc: 0.0744
 Site-Indian_utk                    | Val  Loss: 2.2115 | Val  Acc: 0.0696
 Site-Black_utk                     | Val  Loss: 2.1872 | Val  Acc: 0.1486
 Site-Black_utk                     | Val  Loss: 2.2045 | Val  Acc: 0.0625
 Site-Others_utk                    | Val  Loss: 2.2011 | Val  Acc: 0.0734
 Site-Others_utk                    | Val  Loss: 2.1863 | Val  Acc: 0.0979
 Site-Southeast_Asian               | Val  Loss: 2.2062 | Val  Acc: 0.0931
 Site-Middle_Eastern_gan            | Val  Loss: 2.1913 | Val  Acc: 0.1687
Average Valid Accuracy: 0.1133
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.0824
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1071
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1497
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1042
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1071
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.1667
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.1440
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.1463
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.1343
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.1087
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.0744
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.0696
 Best site-Black_utk                 | Epoch:0 | Val Acc: 0.1486
 Best site-Black_utk                 | Epoch:0 | Val Acc: 0.0625
 Best site-Others_utk                | Epoch:0 | Val Acc: 0.0734
 Best site-Others_utk                | Epoch:0 | Val Acc: 0.0979
 Best site-Southeast_Asian           | Epoch:0 | Val Acc: 0.0931
 Best site-Middle_Eastern_gan        | Epoch:0 | Val Acc: 0.1687
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven-mix5_1.31_1_random_dis_cluster_-1/fedavg...
============ Train epoch 1 ============
 Site-White_utk                     | Train Loss: 2.1945 | Train Acc: 0.1250
 Site-White_utk                     | Train Loss: 2.1986 | Train Acc: 0.1310
 Site-White_utk                     | Train Loss: 2.1992 | Train Acc: 0.1227
 Site-White_utk                     | Train Loss: 2.1908 | Train Acc: 0.1181
 Site-White_utk                     | Train Loss: 2.1944 | Train Acc: 0.1323
 Site-East_Asian                    | Train Loss: 2.1500 | Train Acc: 0.2292
 Site-East_Asian                    | Train Loss: 2.1547 | Train Acc: 0.1862
 Site-East_Asian                    | Train Loss: 2.1515 | Train Acc: 0.2389
 Site-East_Asian                    | Train Loss: 2.1330 | Train Acc: 0.1950
 Site-Indian_utk                    | Train Loss: 2.1932 | Train Acc: 0.0870
 Site-Indian_utk                    | Train Loss: 2.1859 | Train Acc: 0.1271
 Site-Indian_utk                    | Train Loss: 2.1832 | Train Acc: 0.0924
 Site-Black_utk                     | Train Loss: 2.1904 | Train Acc: 0.1636
