===2023-06-20 07:23:24===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[501,657,861,1128,1478,529,693,908,1189,669,876,1148,890,1167,567,742,1198,915,]
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[7712,5534,4493,3430,2184,1998,1525,]
domain number = -1
============ Train epoch 0 ============
 Site-White                         | Train Loss: 2.2130 | Train Acc: 0.0798
 Site-White                         | Train Loss: 2.2070 | Train Acc: 0.0868
 Site-White                         | Train Loss: 2.2120 | Train Acc: 0.0732
 Site-White                         | Train Loss: 2.2127 | Train Acc: 0.0727
 Site-White                         | Train Loss: 2.2106 | Train Acc: 0.0846
 Site-Latino_Hispanic               | Train Loss: 2.2158 | Train Acc: 0.0756
 Site-Latino_Hispanic               | Train Loss: 2.2196 | Train Acc: 0.0664
 Site-Latino_Hispanic               | Train Loss: 2.2168 | Train Acc: 0.0760
 Site-Latino_Hispanic               | Train Loss: 2.2153 | Train Acc: 0.0715
 Site-Black                         | Train Loss: 2.2039 | Train Acc: 0.0957
 Site-Black                         | Train Loss: 2.2057 | Train Acc: 0.0947
 Site-Black                         | Train Loss: 2.1996 | Train Acc: 0.1071
 Site-East_Asian                    | Train Loss: 2.2166 | Train Acc: 0.0416
 Site-East_Asian                    | Train Loss: 2.2178 | Train Acc: 0.0454
 Site-Indian                        | Train Loss: 2.2038 | Train Acc: 0.0829
 Site-Indian                        | Train Loss: 2.2066 | Train Acc: 0.1024
 Site-Southeast_Asian               | Train Loss: 2.2039 | Train Acc: 0.0785
 Site-Middle_Eastern                | Train Loss: 2.2105 | Train Acc: 0.0896
Average Train Accuracy: 0.0791
 Site-White                         | Val  Loss: 2.2074 | Val  Acc: 0.0808
 Site-White                         | Val  Loss: 2.2150 | Val  Acc: 0.0776
 Site-White                         | Val  Loss: 2.2166 | Val  Acc: 0.0645
 Site-White                         | Val  Loss: 2.2134 | Val  Acc: 0.0758
 Site-White                         | Val  Loss: 2.2109 | Val  Acc: 0.0711
 Site-Latino_Hispanic               | Val  Loss: 2.2156 | Val  Acc: 0.0739
 Site-Latino_Hispanic               | Val  Loss: 2.2213 | Val  Acc: 0.0736
 Site-Latino_Hispanic               | Val  Loss: 2.2165 | Val  Acc: 0.0744
 Site-Latino_Hispanic               | Val  Loss: 2.2174 | Val  Acc: 0.0669
 Site-Black                         | Val  Loss: 2.1985 | Val  Acc: 0.1099
 Site-Black                         | Val  Loss: 2.2011 | Val  Acc: 0.0890
 Site-Black                         | Val  Loss: 2.2061 | Val  Acc: 0.0889
 Site-East_Asian                    | Val  Loss: 2.2193 | Val  Acc: 0.0320
 Site-East_Asian                    | Val  Loss: 2.2157 | Val  Acc: 0.0463
 Site-Indian                        | Val  Loss: 2.2045 | Val  Acc: 0.0928
 Site-Indian                        | Val  Loss: 2.2080 | Val  Acc: 0.0909
 Site-Southeast_Asian               | Val  Loss: 2.2008 | Val  Acc: 0.0876
 Site-Middle_Eastern                | Val  Loss: 2.2161 | Val  Acc: 0.0820
Average Valid Accuracy: 0.0766
 Best site-White                     | Epoch:0 | Val Acc: 0.0808
 Best site-White                     | Epoch:0 | Val Acc: 0.0776
 Best site-White                     | Epoch:0 | Val Acc: 0.0645
 Best site-White                     | Epoch:0 | Val Acc: 0.0758
 Best site-White                     | Epoch:0 | Val Acc: 0.0711
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.0739
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.0736
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.0744
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.0669
 Best site-Black                     | Epoch:0 | Val Acc: 0.1099
 Best site-Black                     | Epoch:0 | Val Acc: 0.0890
 Best site-Black                     | Epoch:0 | Val Acc: 0.0889
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.0320
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.0463
 Best site-Indian                    | Epoch:0 | Val Acc: 0.0928
