===2023-06-21 11:34:57===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: True
    power_relu: 1
    Ea_val: False
data_number=[257,336,441,578,757,288,377,494,648,277,364,476,222,290,348,455,614,468,]
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[3952,3016,1865,856,1341,1024,781,]
domain number = -1
============ Train epoch 0 ============
 Site-White_utk                     | Train Loss: 2.2122 | Train Acc: 0.1634
 Site-White_utk                     | Train Loss: 2.2021 | Train Acc: 0.1637
 Site-White_utk                     | Train Loss: 2.1939 | Train Acc: 0.1224
 Site-White_utk                     | Train Loss: 2.1947 | Train Acc: 0.1384
 Site-White_utk                     | Train Loss: 2.1882 | Train Acc: 0.1585
 Site-East_Asian                    | Train Loss: 2.1161 | Train Acc: 0.3611
 Site-East_Asian                    | Train Loss: 2.1085 | Train Acc: 0.3873
 Site-East_Asian                    | Train Loss: 2.1193 | Train Acc: 0.3482
 Site-East_Asian                    | Train Loss: 2.1170 | Train Acc: 0.3611
 Site-Indian_utk                    | Train Loss: 2.1197 | Train Acc: 0.3321
 Site-Indian_utk                    | Train Loss: 2.1130 | Train Acc: 0.3352
 Site-Indian_utk                    | Train Loss: 2.0956 | Train Acc: 0.3992
 Site-Black_utk                     | Train Loss: 2.1278 | Train Acc: 0.2838
 Site-Black_utk                     | Train Loss: 2.1499 | Train Acc: 0.2724
 Site-Southeast_Asian               | Train Loss: 2.1345 | Train Acc: 0.2787
 Site-Southeast_Asian               | Train Loss: 2.1353 | Train Acc: 0.3033
 Site-Asian_ffhq                    | Train Loss: 2.0708 | Train Acc: 0.4577
 Site-Latino_Hispanic_ffhq          | Train Loss: 2.0718 | Train Acc: 0.4359
Average Train Accuracy: 0.2946
 Site-White_utk                     | Val  Loss: 2.1932 | Val  Acc: 0.1462
