===2023-06-13 18:55:18===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[12,17,26,38,56,82,121,179,263,387,27,40,59,86,127,187,276,43,64,94,139,205,55,81,119,102,150,172,117,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[3952,2688,1828,856,846,575,391,]
domain number = -1
============ Train epoch 0 ============
 Site-White_utk                     | Train Loss: 2.0463 | Train Acc: 0.0833
 Site-White_utk                     | Train Loss: 2.1945 | Train Acc: 0.1176
 Site-White_utk                     | Train Loss: 2.2128 | Train Acc: 0.1154
 Site-White_utk                     | Train Loss: 2.2709 | Train Acc: 0.1053
 Site-White_utk                     | Train Loss: 2.1926 | Train Acc: 0.1250
 Site-White_utk                     | Train Loss: 2.2146 | Train Acc: 0.1098
 Site-White_utk                     | Train Loss: 2.2089 | Train Acc: 0.1157
 Site-White_utk                     | Train Loss: 2.2262 | Train Acc: 0.1117
 Site-White_utk                     | Train Loss: 2.1822 | Train Acc: 0.1179
 Site-White_utk                     | Train Loss: 2.1884 | Train Acc: 0.1085
 Site-East_Asian                    | Train Loss: 1.8720 | Train Acc: 0.4074
 Site-East_Asian                    | Train Loss: 1.9202 | Train Acc: 0.4500
 Site-East_Asian                    | Train Loss: 1.9240 | Train Acc: 0.3559
 Site-East_Asian                    | Train Loss: 1.9658 | Train Acc: 0.3488
 Site-East_Asian                    | Train Loss: 1.9242 | Train Acc: 0.3858
 Site-East_Asian                    | Train Loss: 1.9487 | Train Acc: 0.3636
 Site-East_Asian                    | Train Loss: 1.9083 | Train Acc: 0.4130
 Site-Indian_utk                    | Train Loss: 1.9853 | Train Acc: 0.3488
 Site-Indian_utk                    | Train Loss: 1.9489 | Train Acc: 0.3906
 Site-Indian_utk                    | Train Loss: 1.9800 | Train Acc: 0.3404
 Site-Indian_utk                    | Train Loss: 1.9889 | Train Acc: 0.3525
 Site-Indian_utk                    | Train Loss: 2.0038 | Train Acc: 0.3512
 Site-Black_utk                     | Train Loss: 1.9436 | Train Acc: 0.3273
 Site-Black_utk                     | Train Loss: 1.9984 | Train Acc: 0.2840
 Site-Black_utk                     | Train Loss: 2.0032 | Train Acc: 0.2941
 Site-Others_utk                    | Train Loss: 1.9418 | Train Acc: 0.3627
 Site-Others_utk                    | Train Loss: 1.9074 | Train Acc: 0.4467
 Site-Southeast_Asian               | Train Loss: 2.0389 | Train Acc: 0.2733
 Site-Middle_Eastern_gan            | Train Loss: 1.7121 | Train Acc: 0.6239
Average Train Accuracy: 0.2838
 Site-White_utk                     | Val  Loss: 2.1925 | Val  Acc: 0.1250
 Site-White_utk                     | Val  Loss: 2.2361 | Val  Acc: 0.0909
 Site-White_utk                     | Val  Loss: 2.1946 | Val  Acc: 0.1765
 Site-White_utk                     | Val  Loss: 2.1958 | Val  Acc: 0.1600
 Site-White_utk                     | Val  Loss: 2.2617 | Val  Acc: 0.0811
 Site-White_utk                     | Val  Loss: 2.1698 | Val  Acc: 0.0909
 Site-White_utk                     | Val  Loss: 2.1910 | Val  Acc: 0.1235
 Site-White_utk                     | Val  Loss: 2.2209 | Val  Acc: 0.1345
 Site-White_utk                     | Val  Loss: 2.2120 | Val  Acc: 0.1200
 Site-White_utk                     | Val  Loss: 2.2744 | Val  Acc: 0.1085
 Site-East_Asian                    | Val  Loss: 2.1084 | Val  Acc: 0.2222
 Site-East_Asian                    | Val  Loss: 1.9164 | Val  Acc: 0.3846
 Site-East_Asian                    | Val  Loss: 1.9597 | Val  Acc: 0.3846
 Site-East_Asian                    | Val  Loss: 1.9075 | Val  Acc: 0.4211
 Site-East_Asian                    | Val  Loss: 1.9807 | Val  Acc: 0.4118
 Site-East_Asian                    | Val  Loss: 1.8983 | Val  Acc: 0.4160
 Site-East_Asian                    | Val  Loss: 1.9351 | Val  Acc: 0.3859
 Site-Indian_utk                    | Val  Loss: 1.9933 | Val  Acc: 0.3793
 Site-Indian_utk                    | Val  Loss: 1.9907 | Val  Acc: 0.3256
 Site-Indian_utk                    | Val  Loss: 1.9426 | Val  Acc: 0.3810
 Site-Indian_utk                    | Val  Loss: 1.9781 | Val  Acc: 0.3587
 Site-Indian_utk                    | Val  Loss: 1.9059 | Val  Acc: 0.3603
 Site-Black_utk                     | Val  Loss: 1.9863 | Val  Acc: 0.3056
 Site-Black_utk                     | Val  Loss: 2.0062 | Val  Acc: 0.3148
