===2023-06-20 05:48:09===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[47,69,101,149,220,323,475,699,1028,1511,106,157,231,339,499,733,1078,171,252,370,544,800,314,462,679,400,589,673,458,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[7712,5246,3568,2427,1651,1123,764,]
domain number = -1
============ Train epoch 0 ============
 Site-White                         | Train Loss: 2.1206 | Train Acc: 0.3617
 Site-White                         | Train Loss: 2.1965 | Train Acc: 0.2899
 Site-White                         | Train Loss: 2.1175 | Train Acc: 0.3465
 Site-White                         | Train Loss: 2.1281 | Train Acc: 0.3154
 Site-White                         | Train Loss: 2.1319 | Train Acc: 0.3182
 Site-White                         | Train Loss: 2.1142 | Train Acc: 0.3684
 Site-White                         | Train Loss: 2.1263 | Train Acc: 0.3263
 Site-White                         | Train Loss: 2.1294 | Train Acc: 0.3190
 Site-White                         | Train Loss: 2.1174 | Train Acc: 0.3346
 Site-White                         | Train Loss: 2.1178 | Train Acc: 0.3422
 Site-Latino_Hispanic               | Train Loss: 2.1372 | Train Acc: 0.3208
 Site-Latino_Hispanic               | Train Loss: 2.1472 | Train Acc: 0.2293
 Site-Latino_Hispanic               | Train Loss: 2.1461 | Train Acc: 0.2727
 Site-Latino_Hispanic               | Train Loss: 2.1532 | Train Acc: 0.2714
 Site-Latino_Hispanic               | Train Loss: 2.1526 | Train Acc: 0.2465
 Site-Latino_Hispanic               | Train Loss: 2.1465 | Train Acc: 0.2606
 Site-Latino_Hispanic               | Train Loss: 2.1422 | Train Acc: 0.2672
 Site-Black                         | Train Loss: 2.1564 | Train Acc: 0.1813
 Site-Black                         | Train Loss: 2.1405 | Train Acc: 0.2500
 Site-Black                         | Train Loss: 2.1545 | Train Acc: 0.2162
 Site-Black                         | Train Loss: 2.1466 | Train Acc: 0.2408
 Site-Black                         | Train Loss: 2.1476 | Train Acc: 0.2475
 Site-East_Asian                    | Train Loss: 2.1324 | Train Acc: 0.3280
 Site-East_Asian                    | Train Loss: 2.1328 | Train Acc: 0.3333
 Site-East_Asian                    | Train Loss: 2.1335 | Train Acc: 0.3299
 Site-Indian                        | Train Loss: 2.1434 | Train Acc: 0.2450
 Site-Indian                        | Train Loss: 2.1522 | Train Acc: 0.2326
 Site-Southeast_Asian               | Train Loss: 2.1478 | Train Acc: 0.2719
 Site-Middle_Eastern                | Train Loss: 2.1513 | Train Acc: 0.2533
Average Train Accuracy: 0.2869
 Site-White                         | Val  Loss: 2.1214 | Val  Acc: 0.2581
 Site-White                         | Val  Loss: 2.1183 | Val  Acc: 0.3043
 Site-White                         | Val  Loss: 2.1870 | Val  Acc: 0.3433
 Site-White                         | Val  Loss: 2.1361 | Val  Acc: 0.2929
 Site-White                         | Val  Loss: 2.1386 | Val  Acc: 0.3493
 Site-White                         | Val  Loss: 2.1262 | Val  Acc: 0.3395
 Site-White                         | Val  Loss: 2.1269 | Val  Acc: 0.3375
 Site-White                         | Val  Loss: 2.1314 | Val  Acc: 0.3112
 Site-White                         | Val  Loss: 2.1299 | Val  Acc: 0.3109
 Site-White                         | Val  Loss: 2.1297 | Val  Acc: 0.3198
 Site-Latino_Hispanic               | Val  Loss: 2.1920 | Val  Acc: 0.1972
 Site-Latino_Hispanic               | Val  Loss: 2.1674 | Val  Acc: 0.2115
 Site-Latino_Hispanic               | Val  Loss: 2.1583 | Val  Acc: 0.2468
 Site-Latino_Hispanic               | Val  Loss: 2.1401 | Val  Acc: 0.2566
 Site-Latino_Hispanic               | Val  Loss: 2.1381 | Val  Acc: 0.2741
 Site-Latino_Hispanic               | Val  Loss: 2.1421 | Val  Acc: 0.2618
 Site-Latino_Hispanic               | Val  Loss: 2.1572 | Val  Acc: 0.2476
 Site-Black                         | Val  Loss: 2.1382 | Val  Acc: 0.2807
 Site-Black                         | Val  Loss: 2.1599 | Val  Acc: 0.2262
 Site-Black                         | Val  Loss: 2.1642 | Val  Acc: 0.1984
 Site-Black                         | Val  Loss: 2.1485 | Val  Acc: 0.2397
 Site-Black                         | Val  Loss: 2.1519 | Val  Acc: 0.2397
 Site-East_Asian                    | Val  Loss: 2.1458 | Val  Acc: 0.3301
 Site-East_Asian                    | Val  Loss: 2.1328 | Val  Acc: 0.3257
 Site-East_Asian                    | Val  Loss: 2.1329 | Val  Acc: 0.3230
 Site-Indian                        | Val  Loss: 2.1608 | Val  Acc: 0.2097
 Site-Indian                        | Val  Loss: 2.1582 | Val  Acc: 0.2347
 Site-Southeast_Asian               | Val  Loss: 2.1462 | Val  Acc: 0.2650
 Site-Middle_Eastern                | Val  Loss: 2.1456 | Val  Acc: 0.2557
Average Valid Accuracy: 0.2756
 Best site-White                     | Epoch:0 | Val Acc: 0.2581
 Best site-White                     | Epoch:0 | Val Acc: 0.3043
 Best site-White                     | Epoch:0 | Val Acc: 0.3433
 Best site-White                     | Epoch:0 | Val Acc: 0.2929
 Best site-White                     | Epoch:0 | Val Acc: 0.3493
 Best site-White                     | Epoch:0 | Val Acc: 0.3395
 Best site-White                     | Epoch:0 | Val Acc: 0.3375
 Best site-White                     | Epoch:0 | Val Acc: 0.3112
 Best site-White                     | Epoch:0 | Val Acc: 0.3109
 Best site-White                     | Epoch:0 | Val Acc: 0.3198
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.1972
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.2115
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.2468
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.2566
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.2741
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.2618
 Best site-Latino_Hispanic           | Epoch:0 | Val Acc: 0.2476
 Best site-Black                     | Epoch:0 | Val Acc: 0.2807
 Best site-Black                     | Epoch:0 | Val Acc: 0.2262
 Best site-Black                     | Epoch:0 | Val Acc: 0.1984
 Best site-Black                     | Epoch:0 | Val Acc: 0.2397
 Best site-Black                     | Epoch:0 | Val Acc: 0.2397
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.3301
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.3257
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.3230
 Best site-Indian                    | Epoch:0 | Val Acc: 0.2097
 Best site-Indian                    | Epoch:0 | Val Acc: 0.2347
 Best site-Southeast_Asian           | Epoch:0 | Val Acc: 0.2650
 Best site-Middle_Eastern            | Epoch:0 | Val Acc: 0.2557
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven-mix5_1.47_1_random_dis_cluster_-1/afl...
============ Train epoch 1 ============
 Site-White                         | Train Loss: 2.0490 | Train Acc: 0.3830
