===2023-06-20 15:31:48===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: True
    power_relu: 1
    Ea_val: False
data_number=[24,35,52,76,112,165,243,358,526,774,54,80,118,173,255,375,552,87,129,189,279,410,110,162,239,205,301,345,234,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[3952,2688,1828,856,846,575,391,]
domain number = -1
============ Train epoch 0 ============
 Site-White_utk                     | Train Loss: 2.2236 | Train Acc: 0.0833
 Site-White_utk                     | Train Loss: 2.2081 | Train Acc: 0.2571
 Site-White_utk                     | Train Loss: 2.2196 | Train Acc: 0.0962
 Site-White_utk                     | Train Loss: 2.2040 | Train Acc: 0.1447
 Site-White_utk                     | Train Loss: 2.2173 | Train Acc: 0.1071
 Site-White_utk                     | Train Loss: 2.2199 | Train Acc: 0.0909
 Site-White_utk                     | Train Loss: 2.2150 | Train Acc: 0.0823
 Site-White_utk                     | Train Loss: 2.2107 | Train Acc: 0.1341
 Site-White_utk                     | Train Loss: 2.2115 | Train Acc: 0.1008
 Site-White_utk                     | Train Loss: 2.2117 | Train Acc: 0.1202
 Site-East_Asian                    | Train Loss: 2.2108 | Train Acc: 0.0741
 Site-East_Asian                    | Train Loss: 2.2273 | Train Acc: 0.0375
 Site-East_Asian                    | Train Loss: 2.2261 | Train Acc: 0.0593
 Site-East_Asian                    | Train Loss: 2.2202 | Train Acc: 0.0231
 Site-East_Asian                    | Train Loss: 2.2195 | Train Acc: 0.0196
 Site-East_Asian                    | Train Loss: 2.2271 | Train Acc: 0.0187
 Site-East_Asian                    | Train Loss: 2.2209 | Train Acc: 0.0453
 Site-Indian_utk                    | Train Loss: 2.2109 | Train Acc: 0.0690
 Site-Indian_utk                    | Train Loss: 2.1841 | Train Acc: 0.1628
 Site-Indian_utk                    | Train Loss: 2.1927 | Train Acc: 0.0899
 Site-Indian_utk                    | Train Loss: 2.1896 | Train Acc: 0.1183
 Site-Indian_utk                    | Train Loss: 2.1812 | Train Acc: 0.1317
 Site-Black_utk                     | Train Loss: 2.1916 | Train Acc: 0.1636
 Site-Black_utk                     | Train Loss: 2.1999 | Train Acc: 0.0802
 Site-Black_utk                     | Train Loss: 2.1968 | Train Acc: 0.1004
 Site-Southeast_Asian               | Train Loss: 2.2077 | Train Acc: 0.0634
 Site-Southeast_Asian               | Train Loss: 2.2128 | Train Acc: 0.1096
 Site-Asian_ffhq                    | Train Loss: 2.2158 | Train Acc: 0.0406
 Site-Latino_Hispanic_ffhq          | Train Loss: 2.2017 | Train Acc: 0.0812
Average Train Accuracy: 0.0933
 Site-White_utk                     | Val  Loss: 2.2370 | Val  Acc: 0.1875
 Site-White_utk                     | Val  Loss: 2.2377 | Val  Acc: 0.1304
 Site-White_utk                     | Val  Loss: 2.2275 | Val  Acc: 0.0588
 Site-White_utk                     | Val  Loss: 2.2027 | Val  Acc: 0.0588
 Site-White_utk                     | Val  Loss: 2.2100 | Val  Acc: 0.1200
 Site-White_utk                     | Val  Loss: 2.2199 | Val  Acc: 0.0727
 Site-White_utk                     | Val  Loss: 2.2107 | Val  Acc: 0.1358
 Site-White_utk                     | Val  Loss: 2.2088 | Val  Acc: 0.1261
 Site-White_utk                     | Val  Loss: 2.2138 | Val  Acc: 0.0855
 Site-White_utk                     | Val  Loss: 2.2152 | Val  Acc: 0.0911
 Site-East_Asian                    | Val  Loss: 2.2422 | Val  Acc: 0.0000
 Site-East_Asian                    | Val  Loss: 2.2373 | Val  Acc: 0.0000
 Site-East_Asian                    | Val  Loss: 2.2294 | Val  Acc: 0.0256
 Site-East_Asian                    | Val  Loss: 2.2238 | Val  Acc: 0.0517
 Site-East_Asian                    | Val  Loss: 2.2291 | Val  Acc: 0.0294
 Site-East_Asian                    | Val  Loss: 2.2215 | Val  Acc: 0.0240
 Site-East_Asian                    | Val  Loss: 2.2262 | Val  Acc: 0.0272
