===2023-06-16 21:47:42===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[14,20,30,44,65,96,142,208,307,451,31,46,68,101,149,219,322,51,74,110,162,239,64,94,139,119,175,200,136,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[3952,2688,1828,856,846,575,391,]
domain number = -1
============ Train epoch 0 ============
 Site-White_utk-0                   | Train Loss: 2.2051 | Train Acc: 0.0000
 Site-White_utk-1                   | Train Loss: 2.1803 | Train Acc: 0.1500
 Site-White_utk-2                   | Train Loss: 2.2186 | Train Acc: 0.0667
 Site-White_utk-3                   | Train Loss: 2.1930 | Train Acc: 0.1591
 Site-White_utk-4                   | Train Loss: 2.3421 | Train Acc: 0.0923
 Site-White_utk-5                   | Train Loss: 2.2064 | Train Acc: 0.1250
 Site-White_utk-6                   | Train Loss: 2.1943 | Train Acc: 0.1127
 Site-White_utk-7                   | Train Loss: 2.1959 | Train Acc: 0.1058
 Site-White_utk-8                   | Train Loss: 2.1988 | Train Acc: 0.1205
 Site-White_utk-9                   | Train Loss: 2.1828 | Train Acc: 0.1153
 Site-East_Asian-0                  | Train Loss: 2.1633 | Train Acc: 0.2581
 Site-East_Asian-1                  | Train Loss: 2.1541 | Train Acc: 0.1739
 Site-East_Asian-2                  | Train Loss: 2.2007 | Train Acc: 0.2206
 Site-East_Asian-3                  | Train Loss: 2.1740 | Train Acc: 0.1881
 Site-East_Asian-4                  | Train Loss: 2.1648 | Train Acc: 0.1946
 Site-East_Asian-5                  | Train Loss: 2.1583 | Train Acc: 0.1872
 Site-East_Asian-6                  | Train Loss: 2.1550 | Train Acc: 0.2547
 Site-Indian_utk-0                  | Train Loss: 2.1597 | Train Acc: 0.2157
 Site-Indian_utk-1                  | Train Loss: 2.1305 | Train Acc: 0.3514
 Site-Indian_utk-2                  | Train Loss: 2.1364 | Train Acc: 0.3091
 Site-Indian_utk-3                  | Train Loss: 2.1319 | Train Acc: 0.3272
 Site-Indian_utk-4                  | Train Loss: 2.1305 | Train Acc: 0.3347
 Site-Black_utk-0                   | Train Loss: 2.1690 | Train Acc: 0.1875
 Site-Black_utk-1                   | Train Loss: 2.1734 | Train Acc: 0.1809
 Site-Black_utk-2                   | Train Loss: 2.1505 | Train Acc: 0.2086
 Site-Southeast_Asian-0             | Train Loss: 2.1708 | Train Acc: 0.1681
 Site-Southeast_Asian-1             | Train Loss: 2.1583 | Train Acc: 0.1943
 Site-Asian_ffhq-0                  | Train Loss: 2.1540 | Train Acc: 0.2600
