===2023-05-29 06:50:39===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 12
    quantile: 0.5
    std_rw: False
data_number=[18,27,40,58,87,127,188,276,406,442,42,61,91,134,197,290,418,67,99,146,215,316,124,182,268,158,232,266,181,]
client_nums=[10,7,5,3,2,1,1,]
domain number = 12
multiply 100 for Ea!
use train loss for Ea
============ Train epoch 0 ============
cnt=[4, 6, 4, 2, 1, 1, 1, 3, 1, 1, 2, 3, ]
power_decay: 0.9, powerI: 0.9500, powerC: 0.0500
min_w=0.00349, quan_i=1.00, quan_c=1.00
minimize weight of clients:[]
 Site-White_Male               | Train Loss: 1.9185 | Train Acc: 0.2778
 Site-White_Female             | Train Loss: 1.8471 | Train Acc: 0.4074
 Site-White_Male               | Train Loss: 2.0289 | Train Acc: 0.3250
 Site-White_Female             | Train Loss: 1.6882 | Train Acc: 0.4483
 Site-White_Male               | Train Loss: 2.1077 | Train Acc: 0.2644
 Site-White_Female             | Train Loss: 1.8080 | Train Acc: 0.3622
 Site-White_Male               | Train Loss: 2.0383 | Train Acc: 0.2447
 Site-White_Female             | Train Loss: 1.8313 | Train Acc: 0.3696
 Site-White_Male               | Train Loss: 2.0890 | Train Acc: 0.2438
 Site-White_Female             | Train Loss: 1.8086 | Train Acc: 0.3710
 Site-Latino_Hispanic_Male     | Train Loss: 1.8719 | Train Acc: 0.2143
 Site-Latino_Hispanic_Female   | Train Loss: 2.0144 | Train Acc: 0.2951
 Site-Latino_Hispanic_Male     | Train Loss: 2.1447 | Train Acc: 0.2308
 Site-Latino_Hispanic_Female   | Train Loss: 1.9331 | Train Acc: 0.2910
 Site-Latino_Hispanic_Male     | Train Loss: 2.1391 | Train Acc: 0.2234
 Site-Latino_Hispanic_Female   | Train Loss: 1.9923 | Train Acc: 0.2759
 Site-Latino_Hispanic_Male     | Train Loss: 2.0346 | Train Acc: 0.2321
 Site-Black_Female             | Train Loss: 1.7318 | Train Acc: 0.3134
 Site-Black_Male               | Train Loss: 2.0054 | Train Acc: 0.2323
 Site-Black_Female             | Train Loss: 1.9131 | Train Acc: 0.3630
 Site-Black_Male               | Train Loss: 1.9916 | Train Acc: 0.2419
 Site-Black_Female             | Train Loss: 1.9259 | Train Acc: 0.2911
 Site-East_Asian_Male          | Train Loss: 1.9257 | Train Acc: 0.3306
 Site-East_Asian_Female        | Train Loss: 1.7283 | Train Acc: 0.4725
 Site-East_Asian_Male          | Train Loss: 1.8937 | Train Acc: 0.3209
 Site-Indian_Female            | Train Loss: 2.2397 | Train Acc: 0.2532
 Site-Indian_Male              | Train Loss: 2.0559 | Train Acc: 0.2241
 Site-Southeast_Asian_Female   | Train Loss: 2.1564 | Train Acc: 0.3271
 Site-Middle_Eastern_Male      | Train Loss: 2.2610 | Train Acc: 0.1713
 Site-White_Male                (6) | Val  Loss: 1.7643 | Val  Acc: 0.5000
 Site-White_Female              (8) | Val  Loss: 2.0021 | Val  Acc: 0.2778
 Site-White_Male                (4) | Val  Loss: 2.1548 | Val  Acc: 0.1923
 Site-White_Female              (0) | Val  Loss: 1.7357 | Val  Acc: 0.4103
 Site-White_Male                (1) | Val  Loss: 2.0757 | Val  Acc: 0.2414
 Site-White_Female              (0) | Val  Loss: 1.8194 | Val  Acc: 0.3765
 Site-White_Male                (1) | Val  Loss: 2.0301 | Val  Acc: 0.2720
 Site-White_Female              (0) | Val  Loss: 1.7890 | Val  Acc: 0.3913
 Site-White_Male                (1) | Val  Loss: 1.9523 | Val  Acc: 0.2620
 Site-White_Female              (0) | Val  Loss: 1.8054 | Val  Acc: 0.3810
 Site-Latino_Hispanic_Male      (5) | Val  Loss: 2.1855 | Val  Acc: 0.3571
 Site-Latino_Hispanic_Female    (9) | Val  Loss: 2.0360 | Val  Acc: 0.2195
 Site-Latino_Hispanic_Male      (1) | Val  Loss: 1.9121 | Val  Acc: 0.2667
 Site-Latino_Hispanic_Female    (3) | Val  Loss: 2.0053 | Val  Acc: 0.2472
 Site-Latino_Hispanic_Male      (1) | Val  Loss: 1.8464 | Val  Acc: 0.2137
 Site-Latino_Hispanic_Female    (3) | Val  Loss: 1.7529 | Val  Acc: 0.2591
 Site-Latino_Hispanic_Male      (7) | Val  Loss: 2.0626 | Val  Acc: 0.2266
 Site-Black_Female              (2) | Val  Loss: 2.0388 | Val  Acc: 0.2889
 Site-Black_Male                (11)| Val  Loss: 2.2202 | Val  Acc: 0.1818
 Site-Black_Female              (2) | Val  Loss: 2.0346 | Val  Acc: 0.2990
 Site-Black_Male                (11)| Val  Loss: 1.7166 | Val  Acc: 0.2797
 Site-Black_Female              (2) | Val  Loss: 1.8677 | Val  Acc: 0.3175
 Site-East_Asian_Male           (7) | Val  Loss: 2.1038 | Val  Acc: 0.2683
 Site-East_Asian_Female         (10)| Val  Loss: 1.6981 | Val  Acc: 0.4545
 Site-East_Asian_Male           (7) | Val  Loss: 1.9440 | Val  Acc: 0.2921
 Site-Indian_Female             (2) | Val  Loss: 2.1600 | Val  Acc: 0.2762
 Site-Indian_Male               (11)| Val  Loss: 2.1073 | Val  Acc: 0.1871
 Site-Southeast_Asian_Female    (10)| Val  Loss: 2.1657 | Val  Acc: 0.3164
 Site-Middle_Eastern_Male       (1) | Val  Loss: 2.2901 | Val  Acc: 0.1333
Average Valid Accuracy: 0.2893
Aggregated Acc | Val Acc: 0.2984
 Best site-White_Male               (6)  | Epoch:0 | Val Acc: 0.5000
 Best site-White_Female             (8)  | Epoch:0 | Val Acc: 0.2778
 Best site-White_Male               (4)  | Epoch:0 | Val Acc: 0.1923
 Best site-White_Female             (0)  | Epoch:0 | Val Acc: 0.4103
 Best site-White_Male               (1)  | Epoch:0 | Val Acc: 0.2414
 Best site-White_Female             (0)  | Epoch:0 | Val Acc: 0.3765
 Best site-White_Male               (1)  | Epoch:0 | Val Acc: 0.2720
 Best site-White_Female             (0)  | Epoch:0 | Val Acc: 0.3913
 Best site-White_Male               (1)  | Epoch:0 | Val Acc: 0.2620
 Best site-White_Female             (0)  | Epoch:0 | Val Acc: 0.3810
 Best site-Latino_Hispanic_Male     (5)  | Epoch:0 | Val Acc: 0.3571
 Best site-Latino_Hispanic_Female   (9)  | Epoch:0 | Val Acc: 0.2195
 Best site-Latino_Hispanic_Male     (1)  | Epoch:0 | Val Acc: 0.2667
 Best site-Latino_Hispanic_Female   (3)  | Epoch:0 | Val Acc: 0.2472
 Best site-Latino_Hispanic_Male     (1)  | Epoch:0 | Val Acc: 0.2137
 Best site-Latino_Hispanic_Female   (3)  | Epoch:0 | Val Acc: 0.2591
 Best site-Latino_Hispanic_Male     (7)  | Epoch:0 | Val Acc: 0.2266
 Best site-Black_Female             (2)  | Epoch:0 | Val Acc: 0.2889
 Best site-Black_Male               (11) | Epoch:0 | Val Acc: 0.1818
 Best site-Black_Female             (2)  | Epoch:0 | Val Acc: 0.2990
 Best site-Black_Male               (11) | Epoch:0 | Val Acc: 0.2797
 Best site-Black_Female             (2)  | Epoch:0 | Val Acc: 0.3175
 Best site-East_Asian_Male          (7)  | Epoch:0 | Val Acc: 0.2683
 Best site-East_Asian_Female        (10) | Epoch:0 | Val Acc: 0.4545
 Best site-East_Asian_Male          (7)  | Epoch:0 | Val Acc: 0.2921
 Best site-Indian_Female            (2)  | Epoch:0 | Val Acc: 0.2762
 Best site-Indian_Male              (11) | Epoch:0 | Val Acc: 0.1871
 Best site-Southeast_Asian_Female   (10) | Epoch:0 | Val Acc: 0.3164
 Best site-Middle_Eastern_Male      (1)  | Epoch:0 | Val Acc: 0.1333
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven-quan_1.47_1_gender_cluster_12/ccop_q=1...
============ Train epoch 1 ============
cnt=[2, 8, 1, 3, 2, 1, 4, 1, 2, 3, 1, 1, ]
power_decay: 0.9, powerI: 0.9050, powerC: 0.0950
min_w=0.01310, quan_i=2.00, quan_c=2.04
minimize weight of clients:[1, 3, 5, 7, 9, 10, 13, 19, 21, 23, ]
 Site-White_Male               | Train Loss: 1.8264 | Train Acc: 0.2778
 Site-White_Female             | Train Loss: 1.8381 | Train Acc: 0.3704
 Site-White_Male               | Train Loss: 1.9301 | Train Acc: 0.3000
 Site-White_Female             | Train Loss: 1.7396 | Train Acc: 0.3793
 Site-White_Male               | Train Loss: 1.9547 | Train Acc: 0.2529
 Site-White_Female             | Train Loss: 1.8200 | Train Acc: 0.3307
 Site-White_Male               | Train Loss: 1.9393 | Train Acc: 0.2447
 Site-White_Female             | Train Loss: 1.8469 | Train Acc: 0.3478
 Site-White_Male               | Train Loss: 1.9653 | Train Acc: 0.2685
 Site-White_Female             | Train Loss: 1.8089 | Train Acc: 0.3756
 Site-Latino_Hispanic_Male     | Train Loss: 1.8540 | Train Acc: 0.1905
 Site-Latino_Hispanic_Female   | Train Loss: 1.9338 | Train Acc: 0.2787
 Site-Latino_Hispanic_Male     | Train Loss: 2.0186 | Train Acc: 0.2308
 Site-Latino_Hispanic_Female   | Train Loss: 1.8475 | Train Acc: 0.2612
 Site-Latino_Hispanic_Male     | Train Loss: 1.8994 | Train Acc: 0.2640
 Site-Latino_Hispanic_Female   | Train Loss: 1.8992 | Train Acc: 0.2862
 Site-Latino_Hispanic_Male     | Train Loss: 1.9271 | Train Acc: 0.2440
 Site-Black_Female             | Train Loss: 2.0111 | Train Acc: 0.3134
 Site-Black_Male               | Train Loss: 1.9937 | Train Acc: 0.2020
 Site-Black_Female             | Train Loss: 1.8642 | Train Acc: 0.3356
 Site-Black_Male               | Train Loss: 1.9779 | Train Acc: 0.2279
 Site-Black_Female             | Train Loss: 1.8868 | Train Acc: 0.3070
 Site-East_Asian_Male          | Train Loss: 1.8750 | Train Acc: 0.3065
 Site-East_Asian_Female        | Train Loss: 1.7308 | Train Acc: 0.4560
 Site-East_Asian_Male          | Train Loss: 1.8703 | Train Acc: 0.2985
 Site-Indian_Female            | Train Loss: 2.0760 | Train Acc: 0.2405
 Site-Indian_Male              | Train Loss: 1.9876 | Train Acc: 0.2500
 Site-Southeast_Asian_Female   | Train Loss: 2.0918 | Train Acc: 0.2895
 Site-Middle_Eastern_Male      | Train Loss: 2.1322 | Train Acc: 0.1823
 Site-White_Male                (1) | Val  Loss: 1.7860 | Val  Acc: 0.4167
 Site-White_Female              (7) | Val  Loss: 2.0381 | Val  Acc: 0.2778
 Site-White_Male                (1) | Val  Loss: 2.0063 | Val  Acc: 0.1923
 Site-White_Female              (2) | Val  Loss: 1.7729 | Val  Acc: 0.4103
 Site-White_Male                (1) | Val  Loss: 1.9408 | Val  Acc: 0.2931
 Site-White_Female              (9) | Val  Loss: 1.8126 | Val  Acc: 0.4353
 Site-White_Male                (1) | Val  Loss: 1.9553 | Val  Acc: 0.2160
 Site-White_Female              (9) | Val  Loss: 1.8054 | Val  Acc: 0.3750
 Site-White_Male                (1) | Val  Loss: 1.8790 | Val  Acc: 0.2694
 Site-White_Female              (9) | Val  Loss: 1.8218 | Val  Acc: 0.3639
 Site-Latino_Hispanic_Male      (5) | Val  Loss: 2.0359 | Val  Acc: 0.3571
 Site-Latino_Hispanic_Female    (3) | Val  Loss: 1.9565 | Val  Acc: 0.2927
 Site-Latino_Hispanic_Male      (6) | Val  Loss: 1.8572 | Val  Acc: 0.3167
 Site-Latino_Hispanic_Female    (3) | Val  Loss: 1.9278 | Val  Acc: 0.2360
 Site-Latino_Hispanic_Male      (6) | Val  Loss: 1.8348 | Val  Acc: 0.2366
 Site-Latino_Hispanic_Female    (3) | Val  Loss: 1.7727 | Val  Acc: 0.2694
 Site-Latino_Hispanic_Male      (6) | Val  Loss: 1.9184 | Val  Acc: 0.2338
