===2023-05-30 15:12:43===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 13
    quantile: 0.7
    std_rw: False
data_number=[18,27,40,58,87,127,188,276,406,442,42,61,91,134,197,290,418,67,99,146,215,316,124,182,268,158,232,266,181,]
client_nums=[10,7,5,3,2,1,1,]
domain number = 13
multiply 100 for Ea!
use train loss for Ea
============ Train epoch 0 ============
cnt=[3, 6, 4, 2, 1, 1, 1, 3, 1, 1, 2, 3, 1, ]
power_decay: 0.9, powerI: 0.9500, powerC: 0.0500
min_w=0.00349, quan_i=1.00, quan_c=1.00
minimize weight of clients:[]
 Site-White_Male               | Train Loss: 1.9185 | Train Acc: 0.2778
 Site-White_Female             | Train Loss: 1.8471 | Train Acc: 0.4074
 Site-White_Male               | Train Loss: 2.0289 | Train Acc: 0.3250
 Site-White_Female             | Train Loss: 1.6882 | Train Acc: 0.4483
 Site-White_Male               | Train Loss: 2.1077 | Train Acc: 0.2644
 Site-White_Female             | Train Loss: 1.8080 | Train Acc: 0.3622
 Site-White_Male               | Train Loss: 2.0383 | Train Acc: 0.2447
 Site-White_Female             | Train Loss: 1.8313 | Train Acc: 0.3696
 Site-White_Male               | Train Loss: 2.0890 | Train Acc: 0.2438
 Site-White_Female             | Train Loss: 1.8086 | Train Acc: 0.3710
 Site-Latino_Hispanic_Male     | Train Loss: 1.8719 | Train Acc: 0.2143
 Site-Latino_Hispanic_Female   | Train Loss: 2.0144 | Train Acc: 0.2951
 Site-Latino_Hispanic_Male     | Train Loss: 2.1447 | Train Acc: 0.2308
 Site-Latino_Hispanic_Female   | Train Loss: 1.9331 | Train Acc: 0.2910
 Site-Latino_Hispanic_Male     | Train Loss: 2.1391 | Train Acc: 0.2234
 Site-Latino_Hispanic_Female   | Train Loss: 1.9923 | Train Acc: 0.2759
 Site-Latino_Hispanic_Male     | Train Loss: 2.0346 | Train Acc: 0.2321
 Site-Black_Female             | Train Loss: 1.7318 | Train Acc: 0.3134
 Site-Black_Male               | Train Loss: 2.0054 | Train Acc: 0.2323
 Site-Black_Female             | Train Loss: 1.9131 | Train Acc: 0.3630
 Site-Black_Male               | Train Loss: 1.9916 | Train Acc: 0.2419
 Site-Black_Female             | Train Loss: 1.9259 | Train Acc: 0.2911
 Site-East_Asian_Male          | Train Loss: 1.9257 | Train Acc: 0.3306
 Site-East_Asian_Female        | Train Loss: 1.7283 | Train Acc: 0.4725
 Site-East_Asian_Male          | Train Loss: 1.8937 | Train Acc: 0.3209
 Site-Indian_Female            | Train Loss: 2.2397 | Train Acc: 0.2532
 Site-Indian_Male              | Train Loss: 2.0559 | Train Acc: 0.2241
 Site-Southeast_Asian_Female   | Train Loss: 2.1564 | Train Acc: 0.3271
 Site-Middle_Eastern_Male      | Train Loss: 2.2610 | Train Acc: 0.1713
 Site-White_Male                (6) | Val  Loss: 1.7643 | Val  Acc: 0.5000
 Site-White_Female              (8) | Val  Loss: 2.0021 | Val  Acc: 0.2778
 Site-White_Male                (4) | Val  Loss: 2.1548 | Val  Acc: 0.1923
 Site-White_Female              (12)| Val  Loss: 1.7357 | Val  Acc: 0.4103
 Site-White_Male                (1) | Val  Loss: 2.0757 | Val  Acc: 0.2414
 Site-White_Female              (0) | Val  Loss: 1.8194 | Val  Acc: 0.3765
 Site-White_Male                (1) | Val  Loss: 2.0301 | Val  Acc: 0.2720
 Site-White_Female              (0) | Val  Loss: 1.7890 | Val  Acc: 0.3913
 Site-White_Male                (1) | Val  Loss: 1.9523 | Val  Acc: 0.2620
 Site-White_Female              (0) | Val  Loss: 1.8054 | Val  Acc: 0.3810
 Site-Latino_Hispanic_Male      (5) | Val  Loss: 2.1855 | Val  Acc: 0.3571
 Site-Latino_Hispanic_Female    (9) | Val  Loss: 2.0360 | Val  Acc: 0.2195
 Site-Latino_Hispanic_Male      (1) | Val  Loss: 1.9121 | Val  Acc: 0.2667
 Site-Latino_Hispanic_Female    (3) | Val  Loss: 2.0053 | Val  Acc: 0.2472
 Site-Latino_Hispanic_Male      (1) | Val  Loss: 1.8464 | Val  Acc: 0.2137
 Site-Latino_Hispanic_Female    (3) | Val  Loss: 1.7529 | Val  Acc: 0.2591
 Site-Latino_Hispanic_Male      (7) | Val  Loss: 2.0626 | Val  Acc: 0.2266
 Site-Black_Female              (2) | Val  Loss: 2.0388 | Val  Acc: 0.2889
 Site-Black_Male                (11)| Val  Loss: 2.2202 | Val  Acc: 0.1818
 Site-Black_Female              (2) | Val  Loss: 2.0346 | Val  Acc: 0.2990
 Site-Black_Male                (11)| Val  Loss: 1.7166 | Val  Acc: 0.2797
 Site-Black_Female              (2) | Val  Loss: 1.8677 | Val  Acc: 0.3175
 Site-East_Asian_Male           (7) | Val  Loss: 2.1038 | Val  Acc: 0.2683
 Site-East_Asian_Female         (10)| Val  Loss: 1.6981 | Val  Acc: 0.4545
 Site-East_Asian_Male           (7) | Val  Loss: 1.9440 | Val  Acc: 0.2921
 Site-Indian_Female             (2) | Val  Loss: 2.1600 | Val  Acc: 0.2762
 Site-Indian_Male               (11)| Val  Loss: 2.1073 | Val  Acc: 0.1871
 Site-Southeast_Asian_Female    (10)| Val  Loss: 2.1657 | Val  Acc: 0.3164
 Site-Middle_Eastern_Male       (1) | Val  Loss: 2.2901 | Val  Acc: 0.1333
Average Valid Accuracy: 0.2893
Aggregated Acc | Val Acc: 0.3065
 Best site-White_Male               (6)  | Epoch:0 | Val Acc: 0.5000
 Best site-White_Female             (8)  | Epoch:0 | Val Acc: 0.2778
 Best site-White_Male               (4)  | Epoch:0 | Val Acc: 0.1923
 Best site-White_Female             (12) | Epoch:0 | Val Acc: 0.4103
 Best site-White_Male               (1)  | Epoch:0 | Val Acc: 0.2414
 Best site-White_Female             (0)  | Epoch:0 | Val Acc: 0.3765
 Best site-White_Male               (1)  | Epoch:0 | Val Acc: 0.2720
 Best site-White_Female             (0)  | Epoch:0 | Val Acc: 0.3913
 Best site-White_Male               (1)  | Epoch:0 | Val Acc: 0.2620
 Best site-White_Female             (0)  | Epoch:0 | Val Acc: 0.3810
 Best site-Latino_Hispanic_Male     (5)  | Epoch:0 | Val Acc: 0.3571
 Best site-Latino_Hispanic_Female   (9)  | Epoch:0 | Val Acc: 0.2195
 Best site-Latino_Hispanic_Male     (1)  | Epoch:0 | Val Acc: 0.2667
 Best site-Latino_Hispanic_Female   (3)  | Epoch:0 | Val Acc: 0.2472
 Best site-Latino_Hispanic_Male     (1)  | Epoch:0 | Val Acc: 0.2137
 Best site-Latino_Hispanic_Female   (3)  | Epoch:0 | Val Acc: 0.2591
 Best site-Latino_Hispanic_Male     (7)  | Epoch:0 | Val Acc: 0.2266
 Best site-Black_Female             (2)  | Epoch:0 | Val Acc: 0.2889
 Best site-Black_Male               (11) | Epoch:0 | Val Acc: 0.1818
 Best site-Black_Female             (2)  | Epoch:0 | Val Acc: 0.2990
 Best site-Black_Male               (11) | Epoch:0 | Val Acc: 0.2797
 Best site-Black_Female             (2)  | Epoch:0 | Val Acc: 0.3175
 Best site-East_Asian_Male          (7)  | Epoch:0 | Val Acc: 0.2683
 Best site-East_Asian_Female        (10) | Epoch:0 | Val Acc: 0.4545
 Best site-East_Asian_Male          (7)  | Epoch:0 | Val Acc: 0.2921
 Best site-Indian_Female            (2)  | Epoch:0 | Val Acc: 0.2762
 Best site-Indian_Male              (11) | Epoch:0 | Val Acc: 0.1871
 Best site-Southeast_Asian_Female   (10) | Epoch:0 | Val Acc: 0.3164
 Best site-Middle_Eastern_Male      (1)  | Epoch:0 | Val Acc: 0.1333
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven-quan_1.47_1_gender_cluster_13/ccop_q=1...
============ Train epoch 1 ============
