===2023-05-24 23:12:33===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 2
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[17,25,37,54,80,118,173,255,374,551,38,57,84,123,181,267,393,62,91,135,198,291,114,168,247,145,214,244,166,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[2812,1912,1300,884,601,408,277,]
domain number = 7
multiply 100 for Ea!
use train loss for Ea
============ Train epoch 0 ============
cnt=[1, 12, 1, 10, 1, 1, 3, ]
power_decay: 0.9, powerI: 0.9500, powerC: 0.0500
sum of wi : 1.0000
 Site-White                    | Train Loss: 1.7431 | Train Acc: 0.3529
 Site-White                    | Train Loss: 2.1241 | Train Acc: 0.2400
 Site-White                    | Train Loss: 1.9625 | Train Acc: 0.3243
 Site-White                    | Train Loss: 1.8486 | Train Acc: 0.3519
 Site-White                    | Train Loss: 1.9301 | Train Acc: 0.3125
 Site-White                    | Train Loss: 1.8721 | Train Acc: 0.3220
 Site-White                    | Train Loss: 1.8885 | Train Acc: 0.3064
 Site-White                    | Train Loss: 1.8913 | Train Acc: 0.3098
 Site-White                    | Train Loss: 1.8826 | Train Acc: 0.3342
 Site-White                    | Train Loss: 1.8995 | Train Acc: 0.3140
 Site-Latino_Hispanic          | Train Loss: 1.8296 | Train Acc: 0.2105
 Site-Latino_Hispanic          | Train Loss: 2.1554 | Train Acc: 0.1228
 Site-Latino_Hispanic          | Train Loss: 1.8921 | Train Acc: 0.3214
 Site-Latino_Hispanic          | Train Loss: 1.9395 | Train Acc: 0.2846
 Site-Latino_Hispanic          | Train Loss: 2.0025 | Train Acc: 0.2210
 Site-Latino_Hispanic          | Train Loss: 1.8774 | Train Acc: 0.2809
 Site-Latino_Hispanic          | Train Loss: 1.9547 | Train Acc: 0.2646
 Site-Black                    | Train Loss: 1.8978 | Train Acc: 0.3065
 Site-Black                    | Train Loss: 1.9247 | Train Acc: 0.2967
 Site-Black                    | Train Loss: 2.0104 | Train Acc: 0.2593
 Site-Black                    | Train Loss: 1.9486 | Train Acc: 0.3030
 Site-Black                    | Train Loss: 1.9634 | Train Acc: 0.2784
 Site-East_Asian               | Train Loss: 1.8703 | Train Acc: 0.3333
 Site-East_Asian               | Train Loss: 1.9150 | Train Acc: 0.3452
 Site-East_Asian               | Train Loss: 1.8492 | Train Acc: 0.3482
 Site-Indian                   | Train Loss: 2.1706 | Train Acc: 0.2138
 Site-Indian                   | Train Loss: 2.1298 | Train Acc: 0.2243
 Site-Southeast_Asian          | Train Loss: 2.0674 | Train Acc: 0.3074
