cnt=[8, 5, 4, 1, 7, 1, 3, ]
power_decay: 0.9, powerI: 0.5750, powerC: 0.4250
power of clients=[
1.197,1.232,1.232,1.197,1.232,1.232,1.232,1.232,1.232,1.232,1.312,1.312,1.312,1.332,1.332,1.332,1.312,1.431,1.431,1.431,1.431,1.431,1.244,1.244,1.244,1.332,1.332,1.332,1.332,]
sum of wi : 1.0000
 Site-White                    | Train Loss: 1.2987 | Train Acc: 0.3889
 Site-White                    | Train Loss: 1.7153 | Train Acc: 0.3846
 Site-White                    | Train Loss: 1.4781 | Train Acc: 0.4103
 Site-White                    | Train Loss: 1.4702 | Train Acc: 0.4211
 Site-White                    | Train Loss: 1.3268 | Train Acc: 0.4588
 Site-White                    | Train Loss: 1.4458 | Train Acc: 0.4160
 Site-White                    | Train Loss: 1.4726 | Train Acc: 0.4481
 Site-White                    | Train Loss: 1.4273 | Train Acc: 0.4333
 Site-White                    | Train Loss: 1.4069 | Train Acc: 0.4358
 Site-White                    | Train Loss: 1.4189 | Train Acc: 0.4418
 Site-Latino_Hispanic          | Train Loss: 1.5993 | Train Acc: 0.3902
 Site-Latino_Hispanic          | Train Loss: 1.6906 | Train Acc: 0.3500
 Site-Latino_Hispanic          | Train Loss: 1.5595 | Train Acc: 0.4157
 Site-Latino_Hispanic          | Train Loss: 1.6372 | Train Acc: 0.4046
 Site-Latino_Hispanic          | Train Loss: 1.6038 | Train Acc: 0.3698
 Site-Latino_Hispanic          | Train Loss: 1.4905 | Train Acc: 0.4134
 Site-Latino_Hispanic          | Train Loss: 1.4539 | Train Acc: 0.4255
 Site-Black                    | Train Loss: 2.0038 | Train Acc: 0.3636
 Site-Black                    | Train Loss: 1.7274 | Train Acc: 0.3918
 Site-Black                    | Train Loss: 1.8055 | Train Acc: 0.3147
 Site-Black                    | Train Loss: 1.6399 | Train Acc: 0.3762
 Site-Black                    | Train Loss: 1.6401 | Train Acc: 0.3398
 Site-East_Asian               | Train Loss: 1.4263 | Train Acc: 0.4132
 Site-East_Asian               | Train Loss: 1.4882 | Train Acc: 0.4213
 Site-East_Asian               | Train Loss: 1.3731 | Train Acc: 0.4885
 Site-Indian                   | Train Loss: 1.5290 | Train Acc: 0.4286
 Site-Indian                   | Train Loss: 1.6262 | Train Acc: 0.3524
 Site-Southeast_Asian          | Train Loss: 1.5479 | Train Acc: 0.4054
 Site-Middle_Eastern           | Train Loss: 1.5125 | Train Acc: 0.4034
 Site-White                     (3) | Val  Loss: 1.8358 | Val  Acc: 0.3333
 Site-White                     (0) | Val  Loss: 1.1426 | Val  Acc: 0.6471
 Site-White                     (0) | Val  Loss: 1.2640 | Val  Acc: 0.5769
 Site-White                     (5) | Val  Loss: 1.4482 | Val  Acc: 0.5526
 Site-White                     (0) | Val  Loss: 1.4590 | Val  Acc: 0.4107
