===2023-05-26 17:55:05===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 7
    std_rw: True
data_number=[18,26,39,57,85,125,183,270,397,584,41,60,89,131,192,283,416,66,97,143,210,309,121,178,262,154,227,259,176,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[2980,2027,1378,937,637,433,294,]
label set of clients: [7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, ]
domain number = 7
multiply 100 for Ea!
use train loss for Ea
============ Train epoch 0 ============
cnt=[2, 5, 1, 4, 6, 10, 1, ]
power_decay: 0.9, powerI: 0.9500, powerC: 0.0500
domain fairness std = 0.0
sum of wi : 1.0000
 Site-White                    | Train Loss: 1.7079 | Train Acc: 0.4444
 Site-White                    | Train Loss: 2.0154 | Train Acc: 0.3077
 Site-White                    | Train Loss: 1.8835 | Train Acc: 0.2821
 Site-White                    | Train Loss: 1.7752 | Train Acc: 0.3684
 Site-White                    | Train Loss: 1.8492 | Train Acc: 0.3882
 Site-White                    | Train Loss: 1.7975 | Train Acc: 0.3760
 Site-White                    | Train Loss: 1.8217 | Train Acc: 0.3443
 Site-White                    | Train Loss: 1.8134 | Train Acc: 0.3444
 Site-White                    | Train Loss: 1.8426 | Train Acc: 0.3552
 Site-White                    | Train Loss: 1.8577 | Train Acc: 0.3442
 Site-Latino_Hispanic          | Train Loss: 1.9947 | Train Acc: 0.2927
 Site-Latino_Hispanic          | Train Loss: 1.9341 | Train Acc: 0.2667
 Site-Latino_Hispanic          | Train Loss: 2.0221 | Train Acc: 0.2584
 Site-Latino_Hispanic          | Train Loss: 1.9007 | Train Acc: 0.2672
 Site-Latino_Hispanic          | Train Loss: 2.0064 | Train Acc: 0.2396
 Site-Latino_Hispanic          | Train Loss: 1.9256 | Train Acc: 0.2827
 Site-Latino_Hispanic          | Train Loss: 1.9352 | Train Acc: 0.2476
 Site-Black                    | Train Loss: 1.9609 | Train Acc: 0.1818
