===2023-05-14 11:04:11===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[182,239,314,411,538,205,268,352,461,243,319,418,324,425,247,324,436,333,]
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[2812,2146,1638,1250,954,728,555,]
label set of clients: [9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, ]
domain number = 7
============ Train epoch 0 ============
 Site-White           | Train Loss: 1.8703 | Train Acc: 0.3407
 Site-White           | Train Loss: 1.9035 | Train Acc: 0.3138
 Site-White           | Train Loss: 1.8630 | Train Acc: 0.3057
 Site-White           | Train Loss: 1.9244 | Train Acc: 0.3090
 Site-White           | Train Loss: 1.9035 | Train Acc: 0.2862
 Site-Latino_Hispanic | Train Loss: 1.9270 | Train Acc: 0.2488
 Site-Latino_Hispanic | Train Loss: 2.0430 | Train Acc: 0.2687
 Site-Latino_Hispanic | Train Loss: 1.9956 | Train Acc: 0.2727
 Site-Latino_Hispanic | Train Loss: 1.9396 | Train Acc: 0.2560
 Site-Black           | Train Loss: 2.0054 | Train Acc: 0.2510
 Site-Black           | Train Loss: 1.9327 | Train Acc: 0.2915
 Site-Black           | Train Loss: 1.9836 | Train Acc: 0.2847
 Site-East_Asian      | Train Loss: 1.9165 | Train Acc: 0.2994
 Site-East_Asian      | Train Loss: 1.9090 | Train Acc: 0.2941
 Site-Indian          | Train Loss: 2.1733 | Train Acc: 0.1862
 Site-Indian          | Train Loss: 2.0111 | Train Acc: 0.2284
 Site-Southeast_Asian | Train Loss: 2.1116 | Train Acc: 0.2729
 Site-Middle_Eastern  | Train Loss: 1.9142 | Train Acc: 0.3423
 Site-White           | Val  Loss: 1.8583 | Val  Acc: 0.3140
 Site-White           | Val  Loss: 1.9743 | Val  Acc: 0.3019
 Site-White           | Val  Loss: 1.8957 | Val  Acc: 0.3110
 Site-White           | Val  Loss: 1.8760 | Val  Acc: 0.3066
 Site-White           | Val  Loss: 1.8999 | Val  Acc: 0.3064
 Site-Latino_Hispanic | Val  Loss: 2.2399 | Val  Acc: 0.2574
 Site-Latino_Hispanic | Val  Loss: 2.0309 | Val  Acc: 0.2402
 Site-Latino_Hispanic | Val  Loss: 2.0022 | Val  Acc: 0.2436
 Site-Latino_Hispanic | Val  Loss: 1.9680 | Val  Acc: 0.2671
 Site-Black           | Val  Loss: 1.9684 | Val  Acc: 0.2654
 Site-Black           | Val  Loss: 1.9765 | Val  Acc: 0.2676
 Site-Black           | Val  Loss: 1.9115 | Val  Acc: 0.2975
 Site-East_Asian      | Val  Loss: 1.9086 | Val  Acc: 0.3102
 Site-East_Asian      | Val  Loss: 1.8427 | Val  Acc: 0.3074
 Site-Indian          | Val  Loss: 2.1754 | Val  Acc: 0.2622
 Site-Indian          | Val  Loss: 2.1901 | Val  Acc: 0.2130
 Site-Southeast_Asian | Val  Loss: 2.1054 | Val  Acc: 0.2440
 Site-Middle_Eastern  | Val  Loss: 1.8868 | Val  Acc: 0.3288
Average Valid Accuracy: 0.2802
 Best site-White            | Epoch:0 | Val Acc: 0.3140
 Best site-White            | Epoch:0 | Val Acc: 0.3019
 Best site-White            | Epoch:0 | Val Acc: 0.3110
 Best site-White            | Epoch:0 | Val Acc: 0.3066
 Best site-White            | Epoch:0 | Val Acc: 0.3064
 Best site-Latino_Hispanic  | Epoch:0 | Val Acc: 0.2574
 Best site-Latino_Hispanic  | Epoch:0 | Val Acc: 0.2402
 Best site-Latino_Hispanic  | Epoch:0 | Val Acc: 0.2436
 Best site-Latino_Hispanic  | Epoch:0 | Val Acc: 0.2671
 Best site-Black            | Epoch:0 | Val Acc: 0.2654
 Best site-Black            | Epoch:0 | Val Acc: 0.2676
 Best site-Black            | Epoch:0 | Val Acc: 0.2975
 Best site-East_Asian       | Epoch:0 | Val Acc: 0.3102
 Best site-East_Asian       | Epoch:0 | Val Acc: 0.3074
 Best site-Indian           | Epoch:0 | Val Acc: 0.2622
 Best site-Indian           | Epoch:0 | Val Acc: 0.2130
 Best site-Southeast_Asian  | Epoch:0 | Val Acc: 0.2440
 Best site-Middle_Eastern   | Epoch:0 | Val Acc: 0.3288
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1/CoCoOP...
============ Train epoch 1 ============
 Site-White           | Train Loss: 1.8519 | Train Acc: 0.3297
 Site-White           | Train Loss: 1.8621 | Train Acc: 0.3305
 Site-White           | Train Loss: 1.8394 | Train Acc: 0.3217
 Site-White           | Train Loss: 1.8367 | Train Acc: 0.3236
 Site-White           | Train Loss: 1.8452 | Train Acc: 0.2937
 Site-Latino_Hispanic | Train Loss: 1.8484 | Train Acc: 0.2244
 Site-Latino_Hispanic | Train Loss: 1.8525 | Train Acc: 0.2537
 Site-Latino_Hispanic | Train Loss: 1.8339 | Train Acc: 0.2756
 Site-Latino_Hispanic | Train Loss: 1.8579 | Train Acc: 0.2430
 Site-Black           | Train Loss: 1.8749 | Train Acc: 0.2428
 Site-Black           | Train Loss: 1.8202 | Train Acc: 0.2978
 Site-Black           | Train Loss: 1.8599 | Train Acc: 0.2799
 Site-East_Asian      | Train Loss: 1.7457 | Train Acc: 0.3395
 Site-East_Asian      | Train Loss: 1.7773 | Train Acc: 0.3459
 Site-Indian          | Train Loss: 1.9691 | Train Acc: 0.2227
 Site-Indian          | Train Loss: 2.0082 | Train Acc: 0.2407
 Site-Southeast_Asian | Train Loss: 1.9748 | Train Acc: 0.2775
 Site-Middle_Eastern  | Train Loss: 1.7725 | Train Acc: 0.3664
 Site-White           | Val  Loss: 1.8660 | Val  Acc: 0.3058
 Site-White           | Val  Loss: 1.8930 | Val  Acc: 0.3270
 Site-White           | Val  Loss: 1.8666 | Val  Acc: 0.2727
 Site-White           | Val  Loss: 1.8475 | Val  Acc: 0.3212
 Site-White           | Val  Loss: 1.8418 | Val  Acc: 0.3092
 Site-Latino_Hispanic | Val  Loss: 1.9115 | Val  Acc: 0.2353
 Site-Latino_Hispanic | Val  Loss: 1.9028 | Val  Acc: 0.2402
 Site-Latino_Hispanic | Val  Loss: 1.8580 | Val  Acc: 0.2863
 Site-Latino_Hispanic | Val  Loss: 1.8327 | Val  Acc: 0.2638
 Site-Black           | Val  Loss: 1.8572 | Val  Acc: 0.2716
 Site-Black           | Val  Loss: 1.8093 | Val  Acc: 0.2676
 Site-Black           | Val  Loss: 1.7924 | Val  Acc: 0.3011
 Site-East_Asian      | Val  Loss: 1.7971 | Val  Acc: 0.3380
 Site-East_Asian      | Val  Loss: 1.7840 | Val  Acc: 0.3180
 Site-Indian          | Val  Loss: 1.9694 | Val  Acc: 0.2195
 Site-Indian          | Val  Loss: 1.9756 | Val  Acc: 0.2315
 Site-Southeast_Asian | Val  Loss: 1.9530 | Val  Acc: 0.2612
 Site-Middle_Eastern  | Val  Loss: 1.7933 | Val  Acc: 0.3198
Average Valid Accuracy: 0.2828
 Best site-White            | Epoch:1 | Val Acc: 0.3058
 Best site-White            | Epoch:1 | Val Acc: 0.3270
 Best site-White            | Epoch:1 | Val Acc: 0.2727
 Best site-White            | Epoch:1 | Val Acc: 0.3212
 Best site-White            | Epoch:1 | Val Acc: 0.3092
 Best site-Latino_Hispanic  | Epoch:1 | Val Acc: 0.2353
 Best site-Latino_Hispanic  | Epoch:1 | Val Acc: 0.2402
 Best site-Latino_Hispanic  | Epoch:1 | Val Acc: 0.2863
 Best site-Latino_Hispanic  | Epoch:1 | Val Acc: 0.2638
 Best site-Black            | Epoch:1 | Val Acc: 0.2716
 Best site-Black            | Epoch:1 | Val Acc: 0.2676
 Best site-Black            | Epoch:1 | Val Acc: 0.3011
 Best site-East_Asian       | Epoch:1 | Val Acc: 0.3380
 Best site-East_Asian       | Epoch:1 | Val Acc: 0.3180
 Best site-Indian           | Epoch:1 | Val Acc: 0.2195
 Best site-Indian           | Epoch:1 | Val Acc: 0.2315
 Best site-Southeast_Asian  | Epoch:1 | Val Acc: 0.2612
 Best site-Middle_Eastern   | Epoch:1 | Val Acc: 0.3198
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1/CoCoOP...
============ Train epoch 2 ============
 Site-White           | Train Loss: 1.7700 | Train Acc: 0.3352
 Site-White           | Train Loss: 1.8159 | Train Acc: 0.3347
 Site-White           | Train Loss: 1.8043 | Train Acc: 0.3153
 Site-White           | Train Loss: 1.8038 | Train Acc: 0.2968
 Site-White           | Train Loss: 1.7738 | Train Acc: 0.3216
 Site-Latino_Hispanic | Train Loss: 1.7765 | Train Acc: 0.3122
 Site-Latino_Hispanic | Train Loss: 1.8219 | Train Acc: 0.2537
 Site-Latino_Hispanic | Train Loss: 1.8249 | Train Acc: 0.3011
 Site-Latino_Hispanic | Train Loss: 1.8199 | Train Acc: 0.2798
 Site-Black           | Train Loss: 1.8328 | Train Acc: 0.2798
 Site-Black           | Train Loss: 1.7936 | Train Acc: 0.3072
 Site-Black           | Train Loss: 1.8140 | Train Acc: 0.2967
 Site-East_Asian      | Train Loss: 1.7690 | Train Acc: 0.3519
 Site-East_Asian      | Train Loss: 1.7270 | Train Acc: 0.3718
 Site-Indian          | Train Loss: 1.8951 | Train Acc: 0.2429
 Site-Indian          | Train Loss: 1.8754 | Train Acc: 0.2654
 Site-Southeast_Asian | Train Loss: 1.8684 | Train Acc: 0.3280
 Site-Middle_Eastern  | Train Loss: 1.7968 | Train Acc: 0.3453
 Site-White           | Val  Loss: 1.7632 | Val  Acc: 0.3554
 Site-White           | Val  Loss: 1.8112 | Val  Acc: 0.3396
 Site-White           | Val  Loss: 1.7830 | Val  Acc: 0.3254
 Site-White           | Val  Loss: 1.7940 | Val  Acc: 0.3139
 Site-White           | Val  Loss: 1.7939 | Val  Acc: 0.3148
 Site-Latino_Hispanic | Val  Loss: 1.7834 | Val  Acc: 0.2721
 Site-Latino_Hispanic | Val  Loss: 1.8495 | Val  Acc: 0.2737
 Site-Latino_Hispanic | Val  Loss: 1.8118 | Val  Acc: 0.2949
 Site-Latino_Hispanic | Val  Loss: 1.8011 | Val  Acc: 0.2866
 Site-Black           | Val  Loss: 1.8153 | Val  Acc: 0.2778
 Site-Black           | Val  Loss: 1.7823 | Val  Acc: 0.2911
 Site-Black           | Val  Loss: 1.8026 | Val  Acc: 0.2688
 Site-East_Asian      | Val  Loss: 1.6949 | Val  Acc: 0.3750
 Site-East_Asian      | Val  Loss: 1.7184 | Val  Acc: 0.3640
 Site-Indian          | Val  Loss: 1.9109 | Val  Acc: 0.2500
 Site-Indian          | Val  Loss: 1.9180 | Val  Acc: 0.2500
 Site-Southeast_Asian | Val  Loss: 1.8586 | Val  Acc: 0.2887
 Site-Middle_Eastern  | Val  Loss: 1.7585 | Val  Acc: 0.3874
Average Valid Accuracy: 0.3072
 Best site-White            | Epoch:2 | Val Acc: 0.3554
 Best site-White            | Epoch:2 | Val Acc: 0.3396
 Best site-White            | Epoch:2 | Val Acc: 0.3254
 Best site-White            | Epoch:2 | Val Acc: 0.3139
 Best site-White            | Epoch:2 | Val Acc: 0.3148
 Best site-Latino_Hispanic  | Epoch:2 | Val Acc: 0.2721
 Best site-Latino_Hispanic  | Epoch:2 | Val Acc: 0.2737
 Best site-Latino_Hispanic  | Epoch:2 | Val Acc: 0.2949
 Best site-Latino_Hispanic  | Epoch:2 | Val Acc: 0.2866
 Best site-Black            | Epoch:2 | Val Acc: 0.2778
 Best site-Black            | Epoch:2 | Val Acc: 0.2911
 Best site-Black            | Epoch:2 | Val Acc: 0.2688
 Best site-East_Asian       | Epoch:2 | Val Acc: 0.3750
 Best site-East_Asian       | Epoch:2 | Val Acc: 0.3640
 Best site-Indian           | Epoch:2 | Val Acc: 0.2500
