===2023-05-15 04:23:39===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[182,239,314,411,538,205,268,352,461,243,319,418,324,425,247,324,436,333,]
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[2812,2146,1638,1250,954,728,555,]
label set of clients: [9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, ]
domain number = 7
============ Train epoch 0 ============
 Site-White           | Train Loss: 2.2984 | Train Acc: 0.0824
 Site-White           | Train Loss: 2.2968 | Train Acc: 0.0962
 Site-White           | Train Loss: 2.2866 | Train Acc: 0.1465
 Site-White           | Train Loss: 2.2964 | Train Acc: 0.1119
 Site-White           | Train Loss: 2.2913 | Train Acc: 0.1245
 Site-Latino_Hispanic | Train Loss: 2.2772 | Train Acc: 0.1366
 Site-Latino_Hispanic | Train Loss: 2.2703 | Train Acc: 0.1866
 Site-Latino_Hispanic | Train Loss: 2.2647 | Train Acc: 0.1761
 Site-Latino_Hispanic | Train Loss: 2.2667 | Train Acc: 0.1432
 Site-Black           | Train Loss: 2.2728 | Train Acc: 0.1811
 Site-Black           | Train Loss: 2.2698 | Train Acc: 0.1850
 Site-Black           | Train Loss: 2.2832 | Train Acc: 0.1388
 Site-East_Asian      | Train Loss: 2.2849 | Train Acc: 0.1235
 Site-East_Asian      | Train Loss: 2.2730 | Train Acc: 0.1694
 Site-Indian          | Train Loss: 2.2650 | Train Acc: 0.1619
 Site-Indian          | Train Loss: 2.2813 | Train Acc: 0.1389
 Site-Southeast_Asian | Train Loss: 2.2644 | Train Acc: 0.1789
 Site-Middle_Eastern  | Train Loss: 2.2756 | Train Acc: 0.1712
 Site-White           | Val  Loss: 2.2954 | Val  Acc: 0.0909
 Site-White           | Val  Loss: 2.3022 | Val  Acc: 0.1006
 Site-White           | Val  Loss: 2.2950 | Val  Acc: 0.1053
 Site-White           | Val  Loss: 2.2913 | Val  Acc: 0.0985
 Site-White           | Val  Loss: 2.2911 | Val  Acc: 0.1198
 Site-Latino_Hispanic | Val  Loss: 2.2910 | Val  Acc: 0.0956
 Site-Latino_Hispanic | Val  Loss: 2.2751 | Val  Acc: 0.1453
 Site-Latino_Hispanic | Val  Loss: 2.2753 | Val  Acc: 0.1581
 Site-Latino_Hispanic | Val  Loss: 2.2721 | Val  Acc: 0.1596
 Site-Black           | Val  Loss: 2.2730 | Val  Acc: 0.1296
 Site-Black           | Val  Loss: 2.2670 | Val  Acc: 0.2066
 Site-Black           | Val  Loss: 2.2697 | Val  Acc: 0.1577
 Site-East_Asian      | Val  Loss: 2.2760 | Val  Acc: 0.1343
 Site-East_Asian      | Val  Loss: 2.2763 | Val  Acc: 0.1555
 Site-Indian          | Val  Loss: 2.2639 | Val  Acc: 0.1951
 Site-Indian          | Val  Loss: 2.2865 | Val  Acc: 0.1343
 Site-Southeast_Asian | Val  Loss: 2.2700 | Val  Acc: 0.1512
 Site-Middle_Eastern  | Val  Loss: 2.2745 | Val  Acc: 0.1622
Average Valid Accuracy: 0.1389
 Best site-White            | Epoch:0 | Val Acc: 0.0909
 Best site-White            | Epoch:0 | Val Acc: 0.1006
 Best site-White            | Epoch:0 | Val Acc: 0.1053
 Best site-White            | Epoch:0 | Val Acc: 0.0985
 Best site-White            | Epoch:0 | Val Acc: 0.1198
 Best site-Latino_Hispanic  | Epoch:0 | Val Acc: 0.0956
 Best site-Latino_Hispanic  | Epoch:0 | Val Acc: 0.1453
 Best site-Latino_Hispanic  | Epoch:0 | Val Acc: 0.1581
 Best site-Latino_Hispanic  | Epoch:0 | Val Acc: 0.1596
 Best site-Black            | Epoch:0 | Val Acc: 0.1296
 Best site-Black            | Epoch:0 | Val Acc: 0.2066
 Best site-Black            | Epoch:0 | Val Acc: 0.1577
 Best site-East_Asian       | Epoch:0 | Val Acc: 0.1343
 Best site-East_Asian       | Epoch:0 | Val Acc: 0.1555
 Best site-Indian           | Epoch:0 | Val Acc: 0.1951
 Best site-Indian           | Epoch:0 | Val Acc: 0.1343
 Best site-Southeast_Asian  | Epoch:0 | Val Acc: 0.1512
 Best site-Middle_Eastern   | Epoch:0 | Val Acc: 0.1622
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1/fedavg...
============ Train epoch 1 ============
 Site-White           | Train Loss: 2.2463 | Train Acc: 0.2198
 Site-White           | Train Loss: 2.2475 | Train Acc: 0.2218
 Site-White           | Train Loss: 2.2385 | Train Acc: 0.2357
 Site-White           | Train Loss: 2.2489 | Train Acc: 0.2141
 Site-White           | Train Loss: 2.2393 | Train Acc: 0.2323
 Site-Latino_Hispanic | Train Loss: 2.2281 | Train Acc: 0.2195
 Site-Latino_Hispanic | Train Loss: 2.2222 | Train Acc: 0.2724
 Site-Latino_Hispanic | Train Loss: 2.2262 | Train Acc: 0.2330
 Site-Latino_Hispanic | Train Loss: 2.2193 | Train Acc: 0.2061
 Site-Black           | Train Loss: 2.2338 | Train Acc: 0.2305
 Site-Black           | Train Loss: 2.2265 | Train Acc: 0.2571
 Site-Black           | Train Loss: 2.2427 | Train Acc: 0.2105
 Site-East_Asian      | Train Loss: 2.2528 | Train Acc: 0.2994
 Site-East_Asian      | Train Loss: 2.2186 | Train Acc: 0.2918
 Site-Indian          | Train Loss: 2.2382 | Train Acc: 0.1984
 Site-Indian          | Train Loss: 2.2258 | Train Acc: 0.2006
 Site-Southeast_Asian | Train Loss: 2.2233 | Train Acc: 0.2729
 Site-Middle_Eastern  | Train Loss: 2.2255 | Train Acc: 0.2883
 Site-White           | Val  Loss: 2.2494 | Val  Acc: 0.2066
 Site-White           | Val  Loss: 2.2576 | Val  Acc: 0.2138
 Site-White           | Val  Loss: 2.2436 | Val  Acc: 0.2297
 Site-White           | Val  Loss: 2.2394 | Val  Acc: 0.2044
 Site-White           | Val  Loss: 2.2426 | Val  Acc: 0.2117
 Site-Latino_Hispanic | Val  Loss: 2.2601 | Val  Acc: 0.2500
 Site-Latino_Hispanic | Val  Loss: 2.2331 | Val  Acc: 0.2570
 Site-Latino_Hispanic | Val  Loss: 2.2389 | Val  Acc: 0.2094
 Site-Latino_Hispanic | Val  Loss: 2.2237 | Val  Acc: 0.2476
 Site-Black           | Val  Loss: 2.2309 | Val  Acc: 0.2593
 Site-Black           | Val  Loss: 2.2245 | Val  Acc: 0.2394
 Site-Black           | Val  Loss: 2.2244 | Val  Acc: 0.2760
 Site-East_Asian      | Val  Loss: 2.2233 | Val  Acc: 0.2870
 Site-East_Asian      | Val  Loss: 2.2207 | Val  Acc: 0.2827
 Site-Indian          | Val  Loss: 2.2293 | Val  Acc: 0.2317
 Site-Indian          | Val  Loss: 2.2480 | Val  Acc: 0.1898
 Site-Southeast_Asian | Val  Loss: 2.2267 | Val  Acc: 0.2680
 Site-Middle_Eastern  | Val  Loss: 2.2198 | Val  Acc: 0.2883
Average Valid Accuracy: 0.2418
 Best site-White            | Epoch:1 | Val Acc: 0.2066
 Best site-White            | Epoch:1 | Val Acc: 0.2138
 Best site-White            | Epoch:1 | Val Acc: 0.2297
 Best site-White            | Epoch:1 | Val Acc: 0.2044
 Best site-White            | Epoch:1 | Val Acc: 0.2117
 Best site-Latino_Hispanic  | Epoch:1 | Val Acc: 0.2500
 Best site-Latino_Hispanic  | Epoch:1 | Val Acc: 0.2570
 Best site-Latino_Hispanic  | Epoch:1 | Val Acc: 0.2094
 Best site-Latino_Hispanic  | Epoch:1 | Val Acc: 0.2476
 Best site-Black            | Epoch:1 | Val Acc: 0.2593
 Best site-Black            | Epoch:1 | Val Acc: 0.2394
 Best site-Black            | Epoch:1 | Val Acc: 0.2760
 Best site-East_Asian       | Epoch:1 | Val Acc: 0.2870
 Best site-East_Asian       | Epoch:1 | Val Acc: 0.2827
 Best site-Indian           | Epoch:1 | Val Acc: 0.2317
 Best site-Indian           | Epoch:1 | Val Acc: 0.1898
 Best site-Southeast_Asian  | Epoch:1 | Val Acc: 0.2680
 Best site-Middle_Eastern   | Epoch:1 | Val Acc: 0.2883
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1/fedavg...
============ Train epoch 2 ============
 Site-White           | Train Loss: 2.1945 | Train Acc: 0.3132
 Site-White           | Train Loss: 2.2039 | Train Acc: 0.2845
 Site-White           | Train Loss: 2.1962 | Train Acc: 0.2771
 Site-White           | Train Loss: 2.1986 | Train Acc: 0.2944
 Site-White           | Train Loss: 2.1932 | Train Acc: 0.2807
 Site-Latino_Hispanic | Train Loss: 2.1846 | Train Acc: 0.2537
 Site-Latino_Hispanic | Train Loss: 2.1873 | Train Acc: 0.2463
 Site-Latino_Hispanic | Train Loss: 2.1891 | Train Acc: 0.2670
 Site-Latino_Hispanic | Train Loss: 2.1869 | Train Acc: 0.2603
 Site-Black           | Train Loss: 2.2003 | Train Acc: 0.2593
 Site-Black           | Train Loss: 2.1868 | Train Acc: 0.2790
 Site-Black           | Train Loss: 2.2027 | Train Acc: 0.2727
 Site-East_Asian      | Train Loss: 2.1767 | Train Acc: 0.3426
 Site-East_Asian      | Train Loss: 2.1746 | Train Acc: 0.3482
 Site-Indian          | Train Loss: 2.2029 | Train Acc: 0.2146
 Site-Indian          | Train Loss: 2.1996 | Train Acc: 0.2099
 Site-Southeast_Asian | Train Loss: 2.1899 | Train Acc: 0.3073
 Site-Middle_Eastern  | Train Loss: 2.1676 | Train Acc: 0.3453
 Site-White           | Val  Loss: 2.1977 | Val  Acc: 0.2397
 Site-White           | Val  Loss: 2.2091 | Val  Acc: 0.2830
 Site-White           | Val  Loss: 2.2046 | Val  Acc: 0.2919
 Site-White           | Val  Loss: 2.1983 | Val  Acc: 0.2883
 Site-White           | Val  Loss: 2.2006 | Val  Acc: 0.2758
 Site-Latino_Hispanic | Val  Loss: 2.2435 | Val  Acc: 0.2279
 Site-Latino_Hispanic | Val  Loss: 2.1923 | Val  Acc: 0.2458
 Site-Latino_Hispanic | Val  Loss: 2.1986 | Val  Acc: 0.2350
 Site-Latino_Hispanic | Val  Loss: 2.1878 | Val  Acc: 0.2508
 Site-Black           | Val  Loss: 2.1943 | Val  Acc: 0.2901
 Site-Black           | Val  Loss: 2.1818 | Val  Acc: 0.2817
 Site-Black           | Val  Loss: 2.1825 | Val  Acc: 0.2832
 Site-East_Asian      | Val  Loss: 2.1771 | Val  Acc: 0.3241
 Site-East_Asian      | Val  Loss: 2.1673 | Val  Acc: 0.3534
 Site-Indian          | Val  Loss: 2.1973 | Val  Acc: 0.2134
 Site-Indian          | Val  Loss: 2.2146 | Val  Acc: 0.2222
 Site-Southeast_Asian | Val  Loss: 2.1944 | Val  Acc: 0.3162
 Site-Middle_Eastern  | Val  Loss: 2.1808 | Val  Acc: 0.3649
Average Valid Accuracy: 0.2771
 Best site-White            | Epoch:2 | Val Acc: 0.2397
 Best site-White            | Epoch:2 | Val Acc: 0.2830
 Best site-White            | Epoch:2 | Val Acc: 0.2919
 Best site-White            | Epoch:2 | Val Acc: 0.2883
 Best site-White            | Epoch:2 | Val Acc: 0.2758
 Best site-Latino_Hispanic  | Epoch:2 | Val Acc: 0.2279
 Best site-Latino_Hispanic  | Epoch:2 | Val Acc: 0.2458
 Best site-Latino_Hispanic  | Epoch:2 | Val Acc: 0.2350
 Best site-Latino_Hispanic  | Epoch:2 | Val Acc: 0.2508
 Best site-Black            | Epoch:2 | Val Acc: 0.2901
