===2023-05-14 13:56:42===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[182,239,314,411,538,205,268,352,461,243,319,418,324,425,247,324,436,333,]
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[2812,2146,1638,1250,954,728,555,]
label set of clients: [9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, ]
domain number = 7
============ Train epoch 0 ============
 Site-White           | Train Loss: 1.5729 | Train Acc: 0.3846
 Site-White           | Train Loss: 1.6377 | Train Acc: 0.3347
 Site-White           | Train Loss: 1.5645 | Train Acc: 0.4013
 Site-White           | Train Loss: 1.6402 | Train Acc: 0.3382
 Site-White           | Train Loss: 1.6023 | Train Acc: 0.3699
 Site-Latino_Hispanic | Train Loss: 1.5623 | Train Acc: 0.3902
 Site-Latino_Hispanic | Train Loss: 1.7084 | Train Acc: 0.3284
 Site-Latino_Hispanic | Train Loss: 1.6659 | Train Acc: 0.2983
 Site-Latino_Hispanic | Train Loss: 1.6413 | Train Acc: 0.3341
 Site-Black           | Train Loss: 1.6809 | Train Acc: 0.3128
 Site-Black           | Train Loss: 1.6377 | Train Acc: 0.3480
 Site-Black           | Train Loss: 1.6511 | Train Acc: 0.3684
 Site-East_Asian      | Train Loss: 1.5669 | Train Acc: 0.4568
 Site-East_Asian      | Train Loss: 1.5196 | Train Acc: 0.4565
 Site-Indian          | Train Loss: 1.7898 | Train Acc: 0.3117
 Site-Indian          | Train Loss: 1.8506 | Train Acc: 0.2963
 Site-Southeast_Asian | Train Loss: 1.7518 | Train Acc: 0.3739
 Site-Middle_Eastern  | Train Loss: 1.5774 | Train Acc: 0.4144
 Site-White           | Val  Loss: 1.5906 | Val  Acc: 0.3802
 Site-White           | Val  Loss: 1.6393 | Val  Acc: 0.3459
 Site-White           | Val  Loss: 1.5877 | Val  Acc: 0.3732
 Site-White           | Val  Loss: 1.6066 | Val  Acc: 0.3577
 Site-White           | Val  Loss: 1.5801 | Val  Acc: 0.3760
 Site-Latino_Hispanic | Val  Loss: 1.7593 | Val  Acc: 0.3309
 Site-Latino_Hispanic | Val  Loss: 1.6706 | Val  Acc: 0.3352
 Site-Latino_Hispanic | Val  Loss: 1.6731 | Val  Acc: 0.2906
 Site-Latino_Hispanic | Val  Loss: 1.6454 | Val  Acc: 0.3192
 Site-Black           | Val  Loss: 1.6252 | Val  Acc: 0.4012
 Site-Black           | Val  Loss: 1.5948 | Val  Acc: 0.3521
 Site-Black           | Val  Loss: 1.6201 | Val  Acc: 0.3728
 Site-East_Asian      | Val  Loss: 1.5195 | Val  Acc: 0.4306
 Site-East_Asian      | Val  Loss: 1.5106 | Val  Acc: 0.4558
 Site-Indian          | Val  Loss: 1.7926 | Val  Acc: 0.2988
 Site-Indian          | Val  Loss: 1.8074 | Val  Acc: 0.2824
 Site-Southeast_Asian | Val  Loss: 1.7521 | Val  Acc: 0.3711
 Site-Middle_Eastern  | Val  Loss: 1.5705 | Val  Acc: 0.4099
Average Valid Accuracy: 0.3602
 Best site-White            | Epoch:0 | Val Acc: 0.3802
 Best site-White            | Epoch:0 | Val Acc: 0.3459
 Best site-White            | Epoch:0 | Val Acc: 0.3732
 Best site-White            | Epoch:0 | Val Acc: 0.3577
 Best site-White            | Epoch:0 | Val Acc: 0.3760
 Best site-Latino_Hispanic  | Epoch:0 | Val Acc: 0.3309
 Best site-Latino_Hispanic  | Epoch:0 | Val Acc: 0.3352
 Best site-Latino_Hispanic  | Epoch:0 | Val Acc: 0.2906
 Best site-Latino_Hispanic  | Epoch:0 | Val Acc: 0.3192
 Best site-Black            | Epoch:0 | Val Acc: 0.4012
 Best site-Black            | Epoch:0 | Val Acc: 0.3521
 Best site-Black            | Epoch:0 | Val Acc: 0.3728
 Best site-East_Asian       | Epoch:0 | Val Acc: 0.4306
 Best site-East_Asian       | Epoch:0 | Val Acc: 0.4558
 Best site-Indian           | Epoch:0 | Val Acc: 0.2988
 Best site-Indian           | Epoch:0 | Val Acc: 0.2824
 Best site-Southeast_Asian  | Epoch:0 | Val Acc: 0.3711
 Best site-Middle_Eastern   | Epoch:0 | Val Acc: 0.4099
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1/harmo-fl...
============ Train epoch 1 ============
 Site-White           | Train Loss: 1.3707 | Train Acc: 0.4890
 Site-White           | Train Loss: 1.3847 | Train Acc: 0.4184
 Site-White           | Train Loss: 1.3701 | Train Acc: 0.4777
 Site-White           | Train Loss: 1.3958 | Train Acc: 0.4891
 Site-White           | Train Loss: 1.4014 | Train Acc: 0.4684
 Site-Latino_Hispanic | Train Loss: 1.3948 | Train Acc: 0.4390
 Site-Latino_Hispanic | Train Loss: 1.4639 | Train Acc: 0.4291
 Site-Latino_Hispanic | Train Loss: 1.4612 | Train Acc: 0.4403
 Site-Latino_Hispanic | Train Loss: 1.4259 | Train Acc: 0.4230
 Site-Black           | Train Loss: 1.5217 | Train Acc: 0.4033
 Site-Black           | Train Loss: 1.5265 | Train Acc: 0.4263
 Site-Black           | Train Loss: 1.5236 | Train Acc: 0.4354
 Site-East_Asian      | Train Loss: 1.4025 | Train Acc: 0.4969
 Site-East_Asian      | Train Loss: 1.3313 | Train Acc: 0.5365
 Site-Indian          | Train Loss: 1.5264 | Train Acc: 0.4089
 Site-Indian          | Train Loss: 1.4615 | Train Acc: 0.4167
 Site-Southeast_Asian | Train Loss: 1.4181 | Train Acc: 0.5046
 Site-Middle_Eastern  | Train Loss: 1.4198 | Train Acc: 0.4805
 Site-White           | Val  Loss: 1.3914 | Val  Acc: 0.4711
 Site-White           | Val  Loss: 1.4275 | Val  Acc: 0.4591
 Site-White           | Val  Loss: 1.3393 | Val  Acc: 0.4641
 Site-White           | Val  Loss: 1.3943 | Val  Acc: 0.4526
 Site-White           | Val  Loss: 1.3722 | Val  Acc: 0.4791
 Site-Latino_Hispanic | Val  Loss: 1.4464 | Val  Acc: 0.3971
 Site-Latino_Hispanic | Val  Loss: 1.5202 | Val  Acc: 0.4022
 Site-Latino_Hispanic | Val  Loss: 1.4717 | Val  Acc: 0.4359
 Site-Latino_Hispanic | Val  Loss: 1.4641 | Val  Acc: 0.4300
 Site-Black           | Val  Loss: 1.4911 | Val  Acc: 0.4198
 Site-Black           | Val  Loss: 1.4513 | Val  Acc: 0.4695
 Site-Black           | Val  Loss: 1.5139 | Val  Acc: 0.4480
 Site-East_Asian      | Val  Loss: 1.3065 | Val  Acc: 0.5324
 Site-East_Asian      | Val  Loss: 1.2996 | Val  Acc: 0.5548
 Site-Indian          | Val  Loss: 1.4825 | Val  Acc: 0.4329
 Site-Indian          | Val  Loss: 1.5128 | Val  Acc: 0.4306
 Site-Southeast_Asian | Val  Loss: 1.4527 | Val  Acc: 0.4811
 Site-Middle_Eastern  | Val  Loss: 1.3851 | Val  Acc: 0.4595
Average Valid Accuracy: 0.4566
 Best site-White            | Epoch:1 | Val Acc: 0.4711
 Best site-White            | Epoch:1 | Val Acc: 0.4591
 Best site-White            | Epoch:1 | Val Acc: 0.4641
 Best site-White            | Epoch:1 | Val Acc: 0.4526
 Best site-White            | Epoch:1 | Val Acc: 0.4791
 Best site-Latino_Hispanic  | Epoch:1 | Val Acc: 0.3971
 Best site-Latino_Hispanic  | Epoch:1 | Val Acc: 0.4022
 Best site-Latino_Hispanic  | Epoch:1 | Val Acc: 0.4359
 Best site-Latino_Hispanic  | Epoch:1 | Val Acc: 0.4300
 Best site-Black            | Epoch:1 | Val Acc: 0.4198
 Best site-Black            | Epoch:1 | Val Acc: 0.4695
 Best site-Black            | Epoch:1 | Val Acc: 0.4480
 Best site-East_Asian       | Epoch:1 | Val Acc: 0.5324
 Best site-East_Asian       | Epoch:1 | Val Acc: 0.5548
 Best site-Indian           | Epoch:1 | Val Acc: 0.4329
 Best site-Indian           | Epoch:1 | Val Acc: 0.4306
 Best site-Southeast_Asian  | Epoch:1 | Val Acc: 0.4811
 Best site-Middle_Eastern   | Epoch:1 | Val Acc: 0.4595
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1/harmo-fl...
============ Train epoch 2 ============
 Site-White           | Train Loss: 1.2927 | Train Acc: 0.5055
 Site-White           | Train Loss: 1.3400 | Train Acc: 0.4100
 Site-White           | Train Loss: 1.2992 | Train Acc: 0.5032
 Site-White           | Train Loss: 1.3124 | Train Acc: 0.4550
 Site-White           | Train Loss: 1.2936 | Train Acc: 0.5019
 Site-Latino_Hispanic | Train Loss: 1.3301 | Train Acc: 0.4537
 Site-Latino_Hispanic | Train Loss: 1.3494 | Train Acc: 0.4590
 Site-Latino_Hispanic | Train Loss: 1.3538 | Train Acc: 0.4403
 Site-Latino_Hispanic | Train Loss: 1.3705 | Train Acc: 0.4620
 Site-Black           | Train Loss: 1.4133 | Train Acc: 0.4733
 Site-Black           | Train Loss: 1.4365 | Train Acc: 0.4671
 Site-Black           | Train Loss: 1.4236 | Train Acc: 0.4378
 Site-East_Asian      | Train Loss: 1.3240 | Train Acc: 0.5031
 Site-East_Asian      | Train Loss: 1.2615 | Train Acc: 0.5435
 Site-Indian          | Train Loss: 1.4572 | Train Acc: 0.4332
 Site-Indian          | Train Loss: 1.3187 | Train Acc: 0.4043
 Site-Southeast_Asian | Train Loss: 1.3334 | Train Acc: 0.5046
 Site-Middle_Eastern  | Train Loss: 1.2892 | Train Acc: 0.5135
 Site-White           | Val  Loss: 1.3432 | Val  Acc: 0.4628
 Site-White           | Val  Loss: 1.3727 | Val  Acc: 0.4843
 Site-White           | Val  Loss: 1.2505 | Val  Acc: 0.4737
 Site-White           | Val  Loss: 1.2899 | Val  Acc: 0.4708
 Site-White           | Val  Loss: 1.2779 | Val  Acc: 0.4791
 Site-Latino_Hispanic | Val  Loss: 1.2404 | Val  Acc: 0.4485
 Site-Latino_Hispanic | Val  Loss: 1.4055 | Val  Acc: 0.4302
 Site-Latino_Hispanic | Val  Loss: 1.3432 | Val  Acc: 0.4274
 Site-Latino_Hispanic | Val  Loss: 1.3702 | Val  Acc: 0.4528
 Site-Black           | Val  Loss: 1.4186 | Val  Acc: 0.4383
 Site-Black           | Val  Loss: 1.3610 | Val  Acc: 0.5023
 Site-Black           | Val  Loss: 1.4315 | Val  Acc: 0.4552
 Site-East_Asian      | Val  Loss: 1.2864 | Val  Acc: 0.5509
 Site-East_Asian      | Val  Loss: 1.2290 | Val  Acc: 0.5477
 Site-Indian          | Val  Loss: 1.4026 | Val  Acc: 0.4329
 Site-Indian          | Val  Loss: 1.4275 | Val  Acc: 0.4259
 Site-Southeast_Asian | Val  Loss: 1.3717 | Val  Acc: 0.4811
 Site-Middle_Eastern  | Val  Loss: 1.3173 | Val  Acc: 0.4820
Average Valid Accuracy: 0.4692
 Best site-White            | Epoch:2 | Val Acc: 0.4628
 Best site-White            | Epoch:2 | Val Acc: 0.4843
 Best site-White            | Epoch:2 | Val Acc: 0.4737
 Best site-White            | Epoch:2 | Val Acc: 0.4708
 Best site-White            | Epoch:2 | Val Acc: 0.4791
 Best site-Latino_Hispanic  | Epoch:2 | Val Acc: 0.4485
 Best site-Latino_Hispanic  | Epoch:2 | Val Acc: 0.4302
 Best site-Latino_Hispanic  | Epoch:2 | Val Acc: 0.4274
