===2023-05-25 01:47:48===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 9
data_number=[182,239,314,411,538,205,268,352,461,243,319,418,324,425,247,324,436,333,]
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[2812,2146,1638,1250,954,728,555,]
domain number = 9
multiply 100 for Ea!
use train loss for Ea
============ Train epoch 0 ============
cnt=[2, 6, 2, 3, 1, 1, 1, 1, 1, ]
power_decay: 0.9, powerI: 0.9500, powerC: 0.0500
sum of wi : 1.0000
 Site-White                    | Train Loss: 1.8910 | Train Acc: 0.3242
 Site-White                    | Train Loss: 1.8926 | Train Acc: 0.3180
 Site-White                    | Train Loss: 1.8697 | Train Acc: 0.3185
 Site-White                    | Train Loss: 1.9046 | Train Acc: 0.3212
 Site-White                    | Train Loss: 1.8947 | Train Acc: 0.3123
 Site-Latino_Hispanic          | Train Loss: 1.9607 | Train Acc: 0.2634
 Site-Latino_Hispanic          | Train Loss: 1.9916 | Train Acc: 0.2724
 Site-Latino_Hispanic          | Train Loss: 1.9677 | Train Acc: 0.2415
 Site-Latino_Hispanic          | Train Loss: 1.9295 | Train Acc: 0.2646
 Site-Black                    | Train Loss: 1.9420 | Train Acc: 0.2675
 Site-Black                    | Train Loss: 1.8867 | Train Acc: 0.2821
 Site-Black                    | Train Loss: 1.9186 | Train Acc: 0.2703
 Site-East_Asian               | Train Loss: 1.7367 | Train Acc: 0.3519
 Site-East_Asian               | Train Loss: 1.8612 | Train Acc: 0.3459
 Site-Indian                   | Train Loss: 2.1272 | Train Acc: 0.2227
 Site-Indian                   | Train Loss: 2.1347 | Train Acc: 0.2346
 Site-Southeast_Asian          | Train Loss: 2.0850 | Train Acc: 0.2959
 Site-Middle_Eastern           | Train Loss: 1.8506 | Train Acc: 0.3634
 Site-White                     (1) | Val  Loss: 1.8663 | Val  Acc: 0.3471
 Site-White                     (1) | Val  Loss: 1.9708 | Val  Acc: 0.3019
 Site-White                     (1) | Val  Loss: 1.8938 | Val  Acc: 0.3349
 Site-White                     (1) | Val  Loss: 1.8849 | Val  Acc: 0.3139
 Site-White                     (1) | Val  Loss: 1.8864 | Val  Acc: 0.3120
 Site-Latino_Hispanic           (0) | Val  Loss: 2.1957 | Val  Acc: 0.1985
 Site-Latino_Hispanic           (3) | Val  Loss: 2.0118 | Val  Acc: 0.2346
 Site-Latino_Hispanic           (0) | Val  Loss: 1.9834 | Val  Acc: 0.2564
 Site-Latino_Hispanic           (4) | Val  Loss: 1.9455 | Val  Acc: 0.2573
