===2023-05-24 04:44:01===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[198,259,340,446,360,222,291,382,457,264,346,448,352,462,268,352,474,330,]
client_nums=[5,4,3,2,2,1,1,]
domain number = -1
============ Train epoch 0 ============
 Site-White_Male               | Train Loss: 2.1023 | Train Acc: 0.2525
 Site-White_Female             | Train Loss: 1.6958 | Train Acc: 0.3822
 Site-White_Male               | Train Loss: 2.0653 | Train Acc: 0.2559
 Site-White_Female             | Train Loss: 1.8217 | Train Acc: 0.3700
 Site-White_Male               | Train Loss: 2.0588 | Train Acc: 0.2583
 Site-Latino_Hispanic_Female   | Train Loss: 1.9758 | Train Acc: 0.2928
 Site-Latino_Hispanic_Male     | Train Loss: 2.0623 | Train Acc: 0.2337
 Site-Latino_Hispanic_Female   | Train Loss: 2.0046 | Train Acc: 0.2696
 Site-Latino_Hispanic_Male     | Train Loss: 2.0066 | Train Acc: 0.2407
 Site-Black_Female             | Train Loss: 1.8489 | Train Acc: 0.2992
 Site-Black_Male               | Train Loss: 1.9895 | Train Acc: 0.2486
 Site-Black_Female             | Train Loss: 1.9168 | Train Acc: 0.2946
 Site-East_Asian_Male          | Train Loss: 1.9223 | Train Acc: 0.3153
 Site-East_Asian_Female        | Train Loss: 1.6833 | Train Acc: 0.4632
 Site-Indian_Male              | Train Loss: 2.0558 | Train Acc: 0.2201
 Site-Indian_Female            | Train Loss: 2.1772 | Train Acc: 0.2670
 Site-Southeast_Asian_Male     | Train Loss: 2.1112 | Train Acc: 0.2743
 Site-Middle_Eastern_Female    | Train Loss: 1.8505 | Train Acc: 0.3515
 Site-White_Male                    | Val  Loss: 1.8086 | Val  Acc: 0.2652
 Site-White_Female                  | Val  Loss: 1.7950 | Val  Acc: 0.3931
 Site-White_Male                    | Val  Loss: 2.0725 | Val  Acc: 0.2379
 Site-White_Female                  | Val  Loss: 1.8233 | Val  Acc: 0.3704
 Site-White_Male                    | Val  Loss: 2.0484 | Val  Acc: 0.2625
 Site-Latino_Hispanic_Female        | Val  Loss: 1.9349 | Val  Acc: 0.2838
 Site-Latino_Hispanic_Male          | Val  Loss: 2.0667 | Val  Acc: 0.2371
 Site-Latino_Hispanic_Female        | Val  Loss: 1.9861 | Val  Acc: 0.2756
 Site-Latino_Hispanic_Male          | Val  Loss: 2.0693 | Val  Acc: 0.2138
 Site-Black_Female                  | Val  Loss: 1.9662 | Val  Acc: 0.2841
 Site-Black_Male                    | Val  Loss: 1.9577 | Val  Acc: 0.2208
