===2023-05-24 11:46:06===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[198,259,340,446,360,222,291,382,457,264,346,448,352,462,268,352,474,330,]
client_nums=[5,4,3,2,2,1,1,]
domain number = -1
============ Train epoch 0 ============
 Site-White_Male               | Train Loss: 2.1838 | Train Acc: 0.1869
 Site-White_Female             | Train Loss: 2.1622 | Train Acc: 0.1931
 Site-White_Male               | Train Loss: 2.1729 | Train Acc: 0.1559
 Site-White_Female             | Train Loss: 2.1492 | Train Acc: 0.2265
 Site-White_Male               | Train Loss: 2.1660 | Train Acc: 0.1667
 Site-Latino_Hispanic_Female   | Train Loss: 2.1435 | Train Acc: 0.2207
 Site-Latino_Hispanic_Male     | Train Loss: 2.1502 | Train Acc: 0.1375
 Site-Latino_Hispanic_Female   | Train Loss: 2.1506 | Train Acc: 0.1754
 Site-Latino_Hispanic_Male     | Train Loss: 2.1524 | Train Acc: 0.1575
 Site-Black_Female             | Train Loss: 2.1663 | Train Acc: 0.1818
 Site-Black_Male               | Train Loss: 2.1741 | Train Acc: 0.1474
 Site-Black_Female             | Train Loss: 2.1682 | Train Acc: 0.1942
 Site-East_Asian_Male          | Train Loss: 2.1532 | Train Acc: 0.1847
 Site-East_Asian_Female        | Train Loss: 2.1425 | Train Acc: 0.1840
 Site-Indian_Male              | Train Loss: 2.1659 | Train Acc: 0.1567
 Site-Indian_Female            | Train Loss: 2.1719 | Train Acc: 0.1506
 Site-Southeast_Asian_Male     | Train Loss: 2.1773 | Train Acc: 0.1139
 Site-Middle_Eastern_Female    | Train Loss: 2.1574 | Train Acc: 0.1818
 Site-White_Male                    | Val  Loss: 2.1455 | Val  Acc: 0.1667
 Site-White_Female                  | Val  Loss: 2.1465 | Val  Acc: 0.2486
 Site-White_Male                    | Val  Loss: 2.1689 | Val  Acc: 0.1630
 Site-White_Female                  | Val  Loss: 2.1543 | Val  Acc: 0.1919
 Site-White_Male                    | Val  Loss: 2.1679 | Val  Acc: 0.1708
 Site-Latino_Hispanic_Female        | Val  Loss: 2.1421 | Val  Acc: 0.1554
 Site-Latino_Hispanic_Male          | Val  Loss: 2.1475 | Val  Acc: 0.1701
 Site-Latino_Hispanic_Female        | Val  Loss: 2.1470 | Val  Acc: 0.1850
 Site-Latino_Hispanic_Male          | Val  Loss: 2.1554 | Val  Acc: 0.1842
 Site-Black_Female                  | Val  Loss: 2.1711 | Val  Acc: 0.1250
 Site-Black_Male                    | Val  Loss: 2.1605 | Val  Acc: 0.1775
 Site-Black_Female                  | Val  Loss: 2.1650 | Val  Acc: 0.1577
 Site-East_Asian_Male               | Val  Loss: 2.1566 | Val  Acc: 0.2051
 Site-East_Asian_Female             | Val  Loss: 2.1458 | Val  Acc: 0.1883
 Site-Indian_Male                   | Val  Loss: 2.1706 | Val  Acc: 0.1285
 Site-Indian_Female                 | Val  Loss: 2.1650 | Val  Acc: 0.1496
 Site-Southeast_Asian_Male          | Val  Loss: 2.1765 | Val  Acc: 0.1551
 Site-Middle_Eastern_Female         | Val  Loss: 2.1556 | Val  Acc: 0.1909
Average Valid Accuracy: 0.1730
 Best site-White_Male                | Epoch:0 | Val Acc: 0.1667
 Best site-White_Female              | Epoch:0 | Val Acc: 0.2486
 Best site-White_Male                | Epoch:0 | Val Acc: 0.1630
 Best site-White_Female              | Epoch:0 | Val Acc: 0.1919
 Best site-White_Male                | Epoch:0 | Val Acc: 0.1708
 Best site-Latino_Hispanic_Female    | Epoch:0 | Val Acc: 0.1554
 Best site-Latino_Hispanic_Male      | Epoch:0 | Val Acc: 0.1701
 Best site-Latino_Hispanic_Female    | Epoch:0 | Val Acc: 0.1850
 Best site-Latino_Hispanic_Male      | Epoch:0 | Val Acc: 0.1842
 Best site-Black_Female              | Epoch:0 | Val Acc: 0.1250
 Best site-Black_Male                | Epoch:0 | Val Acc: 0.1775
 Best site-Black_Female              | Epoch:0 | Val Acc: 0.1577
 Best site-East_Asian_Male           | Epoch:0 | Val Acc: 0.2051
 Best site-East_Asian_Female         | Epoch:0 | Val Acc: 0.1883
 Best site-Indian_Male               | Epoch:0 | Val Acc: 0.1285
 Best site-Indian_Female             | Epoch:0 | Val Acc: 0.1496
 Best site-Southeast_Asian_Male      | Epoch:0 | Val Acc: 0.1551
 Best site-Middle_Eastern_Female     | Epoch:0 | Val Acc: 0.1909
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_gender_cluster_-1/fedavg...
============ Train epoch 1 ============
 Site-White_Male               | Train Loss: 2.1196 | Train Acc: 0.2121
 Site-White_Female             | Train Loss: 2.1175 | Train Acc: 0.2819
 Site-White_Male               | Train Loss: 2.1389 | Train Acc: 0.2235
 Site-White_Female             | Train Loss: 2.0974 | Train Acc: 0.3251
 Site-White_Male               | Train Loss: 2.1356 | Train Acc: 0.2444
 Site-Latino_Hispanic_Female   | Train Loss: 2.1013 | Train Acc: 0.2342
 Site-Latino_Hispanic_Male     | Train Loss: 2.1232 | Train Acc: 0.1959
 Site-Latino_Hispanic_Female   | Train Loss: 2.1164 | Train Acc: 0.2042
 Site-Latino_Hispanic_Male     | Train Loss: 2.1198 | Train Acc: 0.2166
 Site-Black_Female             | Train Loss: 2.1230 | Train Acc: 0.2386
