===2023-06-07 13:49:42===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: True
    save_iter: -1
data_number=[36,48,62,85,112,147,192,252,335,435,146,193,]
client_nums=[10,2,]
domain number = -1
============ Train epoch 0 ============
 Site-White-0                  | Train Loss: 2.1301 | Train Acc: 0.2500
 Site-White-1                  | Train Loss: 2.1084 | Train Acc: 0.3125
 Site-White-2                  | Train Loss: 2.0905 | Train Acc: 0.3710
 Site-White-3                  | Train Loss: 2.1124 | Train Acc: 0.2941
 Site-White-4                  | Train Loss: 2.1217 | Train Acc: 0.2946
 Site-White-5                  | Train Loss: 2.1208 | Train Acc: 0.2993
 Site-White-6                  | Train Loss: 2.1321 | Train Acc: 0.3021
 Site-White-7                  | Train Loss: 2.1201 | Train Acc: 0.2897
 Site-White-8                  | Train Loss: 2.1273 | Train Acc: 0.2806
 Site-White-9                  | Train Loss: 2.1243 | Train Acc: 0.2598
 Site-Black-0                  | Train Loss: 2.1097 | Train Acc: 0.2671
 Site-Black-1                  | Train Loss: 2.1297 | Train Acc: 0.2539
 Site-White-0                       | Val  Loss: 2.0662 | Val  Acc: 0.6667
 Site-White-1                       | Val  Loss: 2.0835 | Val  Acc: 0.3333
 Site-White-2                       | Val  Loss: 2.1649 | Val  Acc: 0.1250
 Site-White-3                       | Val  Loss: 2.1321 | Val  Acc: 0.3182
 Site-White-4                       | Val  Loss: 2.1523 | Val  Acc: 0.2500
 Site-White-5                       | Val  Loss: 2.1029 | Val  Acc: 0.2432
 Site-White-6                       | Val  Loss: 2.1605 | Val  Acc: 0.2449
 Site-White-7                       | Val  Loss: 2.1311 | Val  Acc: 0.2656
 Site-White-8                       | Val  Loss: 2.1275 | Val  Acc: 0.2619
 Site-White-9                       | Val  Loss: 2.1279 | Val  Acc: 0.3119
 Site-Black-0                       | Val  Loss: 2.1233 | Val  Acc: 0.2432
 Site-Black-1                       | Val  Loss: 2.1109 | Val  Acc: 0.3265
Average Valid Accuracy: 0.2992
 Best site-White-0                   | Epoch:0 | Val Acc: 0.6667
 Best site-White-1                   | Epoch:0 | Val Acc: 0.3333
 Best site-White-2                   | Epoch:0 | Val Acc: 0.1250
 Best site-White-3                   | Epoch:0 | Val Acc: 0.3182
 Best site-White-4                   | Epoch:0 | Val Acc: 0.2500
 Best site-White-5                   | Epoch:0 | Val Acc: 0.2432
 Best site-White-6                   | Epoch:0 | Val Acc: 0.2449
 Best site-White-7                   | Epoch:0 | Val Acc: 0.2656
 Best site-White-8                   | Epoch:0 | Val Acc: 0.2619
 Best site-White-9                   | Epoch:0 | Val Acc: 0.3119
 Best site-Black-0                   | Epoch:0 | Val Acc: 0.2432
 Best site-Black-1                   | Epoch:0 | Val Acc: 0.3265
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_random_dis_cluster_-1_binary_race/drfl...
============ Train epoch 1 ============
 Site-White-0                  | Train Loss: 2.0867 | Train Acc: 0.1944
 Site-White-1                  | Train Loss: 2.0519 | Train Acc: 0.3125
 Site-White-2                  | Train Loss: 2.0347 | Train Acc: 0.3548
 Site-White-3                  | Train Loss: 2.0598 | Train Acc: 0.2941
 Site-White-4                  | Train Loss: 2.0677 | Train Acc: 0.2946
 Site-White-5                  | Train Loss: 2.0615 | Train Acc: 0.3197
 Site-White-6                  | Train Loss: 2.0625 | Train Acc: 0.3385
 Site-White-7                  | Train Loss: 2.0587 | Train Acc: 0.2937
 Site-White-8                  | Train Loss: 2.0634 | Train Acc: 0.3045
 Site-White-9                  | Train Loss: 2.0703 | Train Acc: 0.2736
 Site-Black-0                  | Train Loss: 2.0592 | Train Acc: 0.2534
 Site-Black-1                  | Train Loss: 2.0667 | Train Acc: 0.2487
 Site-White-0                       | Val  Loss: 2.0072 | Val  Acc: 0.4444
 Site-White-1                       | Val  Loss: 2.0089 | Val  Acc: 0.3333
 Site-White-2                       | Val  Loss: 2.1188 | Val  Acc: 0.1875
 Site-White-3                       | Val  Loss: 2.0732 | Val  Acc: 0.3636
 Site-White-4                       | Val  Loss: 2.1101 | Val  Acc: 0.3214
 Site-White-5                       | Val  Loss: 2.0703 | Val  Acc: 0.2432
 Site-White-6                       | Val  Loss: 2.0963 | Val  Acc: 0.3061
 Site-White-7                       | Val  Loss: 2.0525 | Val  Acc: 0.2656
 Site-White-8                       | Val  Loss: 2.0705 | Val  Acc: 0.2857
 Site-White-9                       | Val  Loss: 2.0736 | Val  Acc: 0.3028
